relpath,verdict,asis_anchor,evidence,disposition
Script/CardEffectCommons/NewModelContinuousScan.cs,REHOUSED,"Permanent.cs:2397-2483 (HasBlocker) / 2486-2540 (HasJamming) / 2585-2611 (HasPierce) / 295-310+472 (DP fold) / 1872-1930 (SAttack 3-tier) / 975-1000 (LinkMax) / 2090 (CanAttack) / 2123 (CanBlock) / 2214 (CanAttackTargetDigimon); CardSource.cs cost folds","Mirror HasBlocker(547-592) = verbatim AS-IS Permanent.cs:2420-2483 triple scan (field permanents→face-up security→player) over EffectList(EffectTiming.None) with IBlockerEffect/CanTrigger(null)/IsBlocker; DP NotIsUpDown OrderBy(ActivatedTime) matches Permanent.cs:301; joints match Permanent.CanBlock/CanAttack scan homes. Substrate adaptations documented (AmbientMatchContext scope; PlayerOrder fallback; CausingEffectStandIn=RD-P6B-13 compromise). NOTE: mirror HasBlocker omits AS-IS Collision pre-region (Permanent.cs:2401-2418) — separate HasCollision exists; verify union covers it","Keep logic; relocate each Has*/Fold*/CanNot* body into same-path mirror Permanent.cs/CardSource.cs properties once legacy binding union (old gates) retires; verify Collision-in-HasBlocker parity"
Script/CardEffectCommons/ActivatedHashtableBridge.cs,MIXED,"HashtableSetting.cs:85/178/213/232/251/310 (payload builders); CardController.cs:5636-5648 (OnTapped) / 5746-5754 / 5433-5444 / 5481-5489 / 48-53 / 4369-4374 / 5807-5812; AttackProcess.cs:98/536-545; Permanent.cs:1108-1115/1281-1287","Payload key-shapes = rehoused AS-IS emit-site payloads: OnTapped {Permanents,IsBlock}+conditional CardEffect verified identical to CardController.cs:5636-5648; builder calls go to mirrored HashtableSetting builders (AS-IS :85-325 confirmed). Subject/Cause/Metadata resolution from GameEvent (SubjectCard/CauseStub/MetadataCards, lines 271-380) = pure substrate translation; known payload gaps are logged design items P6A-HT-*","Long-term dissolve: thread real payloads at the mirrored same-path emit sites (CardController.cs/AttackProcess.cs/Permanent.cs) per AS-IS; move residual event-plumbing (Subject/Cause resolution) to Headless/; near-term keep as documented bridge"
Script/CardEffectCommons/Conditions.cs,INVENTED,none,"File now holds only enum DigivolveCost (Free/Normal/Reduced/Fixed) — self-declared mirror invention projecting AS-IS payCost/reduceCost/fixedCost knobs; grep DigivolveCost over DCGO/ = 0 hits; the AS-IS play-condition types formerly here were already relocated to mirror CardSource.cs; only live user beyond bridge = TestFixtures/TfxDigivolveCostGate.cs","Dissolve: replace enum with the AS-IS knob parameters (payCost/reduceCost/fixedCost) at the select-and-digivolve API call sites and delete the file (or park the enum in Headless/ if the API projection must stay)"
Script/CardEffectCommons/ModifierHelpers.cs,MIXED,"ICardEffect.cs:940 (enum CalculateOrder); Permanent.cs:295-310+472 (DP NotIsUpDown OrderBy(ActivatedTime)) / 1872-1930 (SAttack UpToConstant→UpDownValue→DownToConstant) / 975-1000 (LinkMax); CardEffectInterfaces.cs:203-205 (IImmuneFromDPMinusEffect)","CalculateOrder enum (line 37) = 1:1 AS-IS ICardEffect.cs:940 rehoused; fold-order semantics (3-tier SAttack/LinkMax, DP ActivatedTime latest-wins, ImmuneFromDPMinus per-cause immunity) copied from Permanent.cs anchors (verified :301 OrderBy(ActivatedTime), :1872-1895 tier switch). But NumericModifier/Request/Result records + Evaluate + metadata-dictionary readers (lines 46-835) have no AS-IS analog — AS-IS folds live ICardEffect interfaces directly, no modifier record. Live seats remain: LinkHelpers, ContinuousEffectEvaluator, ICardEffect, ContinuousModifierGate, MatchStateMutationSink, BT25_104","Rehouse CalculateOrder into mirror ICardEffect.cs (same-path); retire the NumericModifier pipeline seat-by-seat as remaining folds cut over to NewModelContinuousScan interface scans (cost seats already 0 per W3c-final)"
Script/CardEffectCommons/CardEffectDispatch.cs,REHOUSED,CEntity_EffectController.cs:182-240,"AS-IS resolves card ClassName→Type via Type.GetType(ClassName) with DCGO.CardEffects.{ID}/{Tokens} namespace fallbacks + AddComponent, EmptyEffectClass when absent (verified :188-237); mirror = same class-name→CEntity_Effect-type resolution as assembly-reflection dictionary + effectClass alias metadata (substrate translation of Unity AddComponent). Mirror same-path CEntity_EffectController.cs EXISTS","Fold TryCreate/TryCreateForCard into the mirror same-path CEntity_EffectController.cs (the AS-IS home of this resolution); keep reflection-dictionary as the substrate translation of Type.GetType"
Script/CardEffectCommons/PlayCardsBridge.cs,REHOUSED,CardEffectCommons.cs:23-418,"1:1 symbol map verified: PlayPermanentCards:23, PlayOptionCards:59, PlaceDelayOptionCards:113, PlayToken:140 (incl. battle-area frame capacity check :150), all 14 token helpers PlayDiaboromonToken:182…PlayPetrificationToken:409; supporting gates CardSource.cs:1209 CanEnterField / :184 CanNotPlayThisOption. Substrate-translated bodies: option-play imperative resolution, MapRootToChoiceZone, BattleAreaFrameCount=16 const","Keep logic; fold this bridge-partial into the mirror same-path Script/CardEffectCommons.cs partial (mirror file exists) per mirror-into-AS-IS-file rule; NOT a dismantle candidate"
Script/CardEffectCommons/TimingPriorityHelpers.cs,INVENTED,none (AS-IS rule lives in AutoProcessing.cs:572 TriggeredSkillProcess / Players_ForTurnPlayer iteration),"TimingWindowTrigger/EffectScheduler/TimingPriorityOrderResult/TimingPriorityHelperFactory = 0 hits in DCGO/; zero callers in src/ (dead); duplicates live substrate Headless/Effects/MandatoryEffectOrdering.cs (identical OrderBy(PlayerOrder).ThenBy(Priority).ThenBy(Sequence).ThenBy(InputIndex) and turn/non-turn PlayerOrder)","Delete (dead invented duplicate); live equivalent = Headless/Effects/MandatoryEffectOrdering.cs; before deleting verify no unique turn/non-turn partition behavior is needed"
Script/CardEffectCommons/TriggerConditionHelpers.cs,INVENTED,none (AS-IS mechanism = isEvolution flag CardController.cs:300-844 + ICardEffect.IsOnPlay; WhenAttacking = EffectTiming/AttackProcess),"TriggerConditionKind/Request/Result + IsOnPlay/IsOnDigivolve/IsWhenAttacking derivations from MatchState = 0 hits in DCGO/; no AS-IS function derives OnPlay from state (AS-IS threads isEvolution). Sole consumer CanUseEffectHelpers.cs:178 — itself zero callers → entire chain dead","Delete together with dead sole consumer CanUseEffectHelpers.cs; any future need must re-derive from the AS-IS isEvolution/IsOnPlay mechanism, not this abstraction"
Script/CardEffectCommons/CardEffectRegistrar.cs,INVENTED,none (nearest live-query analog: CEntity_Effect.cs:10-17 CardEffects/GetCardEffects; Player.cs:830 EffectList),"CardEffectRegistrar/RegisterOnEnterPlay/RegisterCard/AllTimings = 0 hits in DCGO/; AS-IS never registers effects at enter-play (pure live query per timing); file self-documents retirement (UnregisterCard registry RemoveWhere RETIRED :118-127; RegisterOnEnterPlay registers NOTHING :155-178; BuildContinuousRequests DELETED :129). Two legitimate substrate seams inside: cEntity_Effect controller attach (:153 ≈ AS-IS AddCardEffect) + InitUseCountThisTurn (:113 ≈ CardSource.Init). Many live callers (EngineContext, PlayCardAction, DigivolveAction, SpecialPlayAction, FusionDigivolveHelpers)","Dismantle registrar shell: relocate the two load-bearing substrate seams (controller attach + use-count init + construction-side-effect enumeration) into a Headless/ enter-play driver; retire Register*/AllTimings naming (models a mechanism AS-IS does not have)"
Script/CardEffectCommons/KeyWordEffects/KeywordBaseBatch1.cs,INVENTED,"none as a unit (real keywords: Script/CardEffectCommons/KeyWordEffects/Blocker.cs:11 / Jamming.cs:10 / Reboot.cs:10 / Pierce.cs — NOT rehoused here)","Bundles Blocker/Jamming/Reboot/Piercing under invented KeywordBaseBatch1Kind enum + EffectMutation strings (GrantBlocker/PreventBattleDeletion/ScheduleRebootUnsuspend/SetSecurityCheck, :150-166) — 0 hits in DCGO/; AS-IS keyword files are CardEffectCommons partials with Gain* → CardEffectFactory *StaticEffect → AddEffectToPermanent (structurally unrelated); registration/binding entrypoints already deleted (RegisterBaseBatch1 zero production callers :279; ToBinding deleted :170); ContinuousKeywordGate.cs:96: constructed only in test; real per-keyword logic separately mirrored under Script/CardEffectFactory/KeyWordEffects/ (A-group)","Dismantle once the R6-Db Kind-dispatch weld (ContinuousAndRestrictionEffects.cs reference) is cut; live paths already rehoused to A-group factory + NewModelContinuousScan presence scans. Note: mirror per-keyword KeyWordEffects/*.cs are partials of this invented batch class, not mirrors of AS-IS per-keyword files"
