tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Services/IStateFingerprintService.cs,RL api,MatchState 정본 스냅샷 문자열화·해시 지문 인터페이스; RL 결정론 검증/재현 infra(순수 규칙 계산 없음)
src/HeadlessDCGO.Engine/Headless/Services/ITerminalOutcomeSink.cs,RL api,승자/무승부/사유 페이로드 sink; PlayerRuleAdapter 판정 결과를 DcgoMatch 공개 결과로 전달하는 RL 매치-결과 표면(자체 판정 없음)
src/HeadlessDCGO.Engine/Headless/Services/ITerminalStateController.cs,RL api,종료 플래그 세터 인터페이스(SetTerminal); InMemoryRuleQueryService의 RL 에이전트 표면 일부, 판정 로직 없음
src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs,Unity대체,존 이동 실행 인터페이스(핸드/트래시/시큐리티/드로우/셔플 등); 호출자가 지시한 이동을 실행만 하고 합법성/규칙 판단 없음
src/HeadlessDCGO.Engine/Headless/Services/IZoneStateReader.cs,Unity대체,플레이어별 존 카드 목록 읽기 전용 인터페이스; 순수 상태 조회
src/HeadlessDCGO.Engine/Headless/Services/IllegalAction.cs,RL api,거부된 액션 레코드(ActionType/Reason/Metadata); RL 에이전트 액션-표면의 불법 액션 응답 포맷
src/HeadlessDCGO.Engine/Headless/Services/InMemoryCardInstanceRepository.cs,Unity대체,CardInstanceRecord Dictionary 저장소(Upsert/TryGet/Snapshot/Clear); 순수 저장, 규칙 계산 없음
src/HeadlessDCGO.Engine/Headless/Services/InMemoryCardRepository.cs,Unity대체,CardRecord Dictionary 저장소; Query는 호출자 제공 predicate(CardQuery.Matches)를 그대로 위임 적용할 뿐 자체 판정 없음
src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs,Unity대체,로그 엔트리 리스트 저장(Info/Warn/Error 기록); Unity Debug.Log류 런타임 로깅 대체 infra
src/HeadlessDCGO.Engine/Headless/Services/InMemoryRuleQueryService.cs,RL api,합법 액션 리스트·종료 플래그 CRUD 저장소; RL 에이전트가 소비하는 legal-action/terminal 표면(TODO 주석: 실규칙 미이식 자리표시자)
src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs,Unity대체,존별 카드 리스트 컨테이너+이동 메커니즘 구현(삽입 top/bottom·PermanentBookkeeping 리셋 배선); 호출자가 지시한 이동을 실행할 뿐 합법성/승패 판정 없음
src/HeadlessDCGO.Engine/Headless/Services/LegalAction.cs,RL api,합법 액션 레코드(Id/PlayerId/ActionType/Parameters)+HeadlessAction 변환; RL 에이전트 액션-표면 데이터 포맷
src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs,Unity대체,ILogSink no-op 구현; 로깅 infra 대체
src/HeadlessDCGO.Engine/Headless/Services/StateFingerprintService.cs,RL api,MatchState canonical snapshot 직렬화+SHA256 해시 산출; RL 결정론/재현 검증 infra 구현체(게임 규칙 계산 아님)
src/HeadlessDCGO.Engine/Headless/Services/ZoneMoveRequest.cs,Unity대체,존 이동 요청 데이터 레코드+인수 검증(빈 id/Custom존/from=to 등 구조적 무결성만); 규칙 판정 없음
