tobe_path,asis_home_file,asis_symbol,asis_line,근거
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolutionStackHelpers.cs,DCGO/Assets/Scripts/Script/Permanent.cs,"Permanent.AddDigivolutionCardsTop / AddDigivolutionCardsBottom / AddCardSource / RemoveCardSource",1045;1064;1133;1297,"AS-IS 실측: AddCardSource(Permanent.cs:1045), AddDigivolutionCardsTop(:1064), AddDigivolutionCardsBottom(:1133, skipEffectAndActivateSkill+isFacedown 인자), RemoveCardSource(:1297) 확인. 서브 helper의 AddSourcesBottom/Top·OnAddDigivolutionCards emit·isFromSame/isFromDigimon from-flags가 이 메서드들의 미러(주석의 Permanent.cs:1203-1223/1064-1119는 근사; 실제 1064/1133)"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolutionStackHelpers.cs,DCGO/Assets/Scripts/Script/CardController.cs,"ITrashDigivolutionCards (OnDigivolutionCardDiscarded StackSkillInfos; AceOverflowClass.Overflow; CanNotTrashFromDigivolutionCards 필터; PlacePermanentToDigivolutionCards InitUseCountThisTurn)",5127;5215;5219;5160;3093,"실측: ITrashDigivolutionCards class(:5127), OnDigivolutionCardDiscarded StackSkillInfos(:5215), AceOverflowClass(_trashTargetCards).Overflow()(:5219), CanNotTrashFromDigivolutionCards 필터(:5158-5160), PlacePermanentToDigivolutionCards의 AddDigivolutionCardsBottom(:3090)+InitUseCountThisTurn(:3093) — TrashSpecificSourcesAsync/RemoveSourcesAsync/tuck-reset의 AS-IS 근거 전부 실확인"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolutionStackHelpers.cs,DCGO/Assets/Scripts/Script/CardObjectController.cs,"CardObjectController.RemoveFromAllArea (digivolution-stack detach arm: permanent.RemoveCardSource)",370;400,"실측: RemoveFromAllArea(:370), 내부 permanent.RemoveCardSource(cardSource)(:400) — DetachSourceFromHostAsync가 미러(주석 CardObjectController.cs:381-403 범위 내 확인)"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolveAction.cs,DCGO/Assets/Scripts/Script/CardController.cs,"진화 오케스트레이션 (isEvolution 아암 permanent.AddCardSource; IsAppFusion→CanAppFusionFromTargetPermanent; selectAppFusionEffect.AddToSources)",1365;400;787,"실측: 진화 아암 permanent=_targetPermanent; permanent.AddCardSource(card)(:1365-1375), IsAppFusion(card)+CanAppFusionFromTargetPermanent(:400-402), App-Fusion 링크 소재 AddToSources(LinkedCard)(:787-789) — GetLegalActions/Validate/App-Fusion 배선의 AS-IS 진입점"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolveAction.cs,DCGO/Assets/Scripts/Script/CardSource.cs,"CardSource.EvoCosts / CostList / GetPayingCostWithBaseCost / AddedDigivolutionCosts / AppFusionCondition",534;617;664;4298,"실측: EvoCosts(:534), CostList(:617), GetPayingCostWithBaseCost(:664), AddedDigivolutionCosts는 EvoCosts/CostList 스캔 경유, AppFusionCondition class(:4298, Func<Permanent,CardSource,bool> linkedCondition) — 진화비용 파이프라인·added/ignore 게이트의 AS-IS 원본"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolveAction.cs,DCGO/Assets/Scripts/Script/Player.cs,"Player.CanIgnoreDigivolutionRequirement",1422,"실측: CanIgnoreDigivolutionRequirement(Permanent, CardSource)(:1422) — IsDigivolveIgnoreBlocked의 라이브 veto 스캔이 이 게터의 NEGATION(주석 Player.cs:1422-1465 확인)"
src/HeadlessDCGO.Engine/Headless/Runtime/DigivolveCommons.cs,DCGO/Assets/Scripts/Script/CardController.cs,"isEvolution 공유 스텝: DigivolveCount_ThisTurn++ ; new DrawClass(owner,1,null).Draw()",1526,"실측: if(isEvolution){ card.Owner.DigivolveCount_ThisTurn++(:1528); DrawClass(card.Owner,1,null).Draw()(:1529) } — 주석의 CardController.cs:1526-1529 정확히 일치. OnDigivolveCompletedAsync가 이 스텝의 미러"
src/HeadlessDCGO.Engine/Headless/Runtime/DpBoostHelpers.cs,DCGO/Assets/Scripts/Script/Permanent.cs,"Permanent.Boosts / AddBoost / RemoveBoost / DPBoost class (DP fold: foreach(DPBoost boost in Boosts) DP+=boost.DP)",672;674;682;687,"실측: List<DPBoost> Boosts(:672), AddBoost(id 있으면 DP 교체)(:674-679), RemoveBoost(:682-685), class DPBoost(:687), DP fold foreach(:485/:654 DP+=boost.DP) — 주석 Permanent.cs:672-699/653-663 정확 일치. 헤드리스는 id→dp 메타데이터로 미러"
src/HeadlessDCGO.Engine/Headless/Runtime/EffectDrivenAttack.cs,DCGO/Assets/Scripts/Script/SelectAttackEffect.cs,"SelectAttackEffect (_defenderCondition; _canSelectNotAttack/SetCanNotSelectNotAttack; _withoutTap/SetWithoutTap; _isVortex)",8;17;40;45,"실측: class SelectAttackEffect(:8), defenderCondition 파라미터(:17,:22), _canSelectNotAttack(:25)+SetCanNotSelectNotAttack(:40-42), _withoutTap(:26)+SetWithoutTap(:45), _isVortex(:27) — EffectAttackOptions 플래그·GetTargets/RequestChoice의 AS-IS 원본"
src/HeadlessDCGO.Engine/Headless/Runtime/EffectDrivenAttack.cs,DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs,"SelectPermanentEffect Mode.Attack (attackPermanents 순차 루프: selectedPermanent.CanAttack)",345;922;1011,"실측: enum Mode(:126), case Mode.Attack(:345,:922), foreach(Permanent selectedPermanent in attackPermanents){ if(selectedPermanent.CanAttack(_cardEffect)) ... }(:1011-1018) — EffectAttackQueue 다중공격자 순차 재검사의 AS-IS 원본(주석 SelectPermanentEffect.cs:1009-1027 확인)"
src/HeadlessDCGO.Engine/Headless/Runtime/FreeDigivolveHelpers.cs,DCGO/Assets/Scripts/Script/CardController.cs,"진화 정상 아암 (payCost:false Blast/Arts): permanent=_targetPermanent; permanent.AddCardSource(card) — Permanent 객체 지속(top swap)",1365,"실측: isEvolution 아암 permanent=_targetPermanent; evoRoots/evoRootTops.Add(TopCard); permanent.AddCardSource(card)(:1365-1375) — 주석 CardController.cs:1372-1376 일치. Blast/Arts 무료단일진화가 FuseAsync(1소재)+permanentContinuity로 이 아암을 미러"
src/HeadlessDCGO.Engine/Headless/Runtime/FusionDigivolveHelpers.cs,DCGO/Assets/Scripts/Script/CardController.cs,"Jogress/DNA 진화 (new Permanent 생성; EnterFieldTurnCount=-1; AddDigivolutionCardsTop; DigivolutionCards InitUseCountThisTurn)",1497;1499;1503;1509,"실측: permanent=new Permanent(new List{card}){IsSuspended=false}(:1497), EnterFieldTurnCount=-1(:1499), newDigivolutionCards.Reverse()+AddDigivolutionCardsTop(:1501-1503), foreach DigivolutionCards InitUseCountThisTurn(:1509-1512) — 주석 CardController.cs:1497/1509-1512 일치"
src/HeadlessDCGO.Engine/Headless/Runtime/FusionDigivolveHelpers.cs,DCGO/Assets/Scripts/Script/SelectDigiXrosClass.cs,"DigiXros 소재 tuck: AddDigivolutionCardsBottom + cardSource.InitUseCountThisTurn",920;923,"실측: card.PermanentOfThisCard().AddDigivolutionCardsBottom(...)(:920), cardSource.cEntity_EffectController.InitUseCountThisTurn()(:923) — 주석 SelectDigiXrosClass.cs:923 일치. DigiXros 재료별 per-card 리셋 미러"
