relpath,verdict,asis_anchor,evidence,disposition
Script/OnEnterFieldHashtableParams.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardController.cs:1100-1146,"1:1 port of the nested `class OnEnterFieldHashtableParams` (ctor+props verbatim) that AS-IS lives inside the CardController MonoBehaviour; consumed by HashtableSetting.OnEnterFieldHashtable",CardController 미러 정본 위치로 이관(중첩 데이터홀더)
Script/DataTools/FilterCardList.cs,INVENTED,DCGO/Assets/Scripts/Script/FilterCardList.cs,"미러는 빈 스텁(주석 헤더뿐); AS-IS는 InputField/Dropdown/Toggle 순수 Unity UI MonoBehaviour(807줄)로 룰층·headless 무관",빈 스텁 삭제(AS-IS=Unity UI, 룰층/substrate 무관)
Script/DataTools/GameplayOption.cs,INVENTED,DCGO/Assets/Scripts/Script/GameplayOption.cs,"미러는 빈 스텁; AS-IS는 Photon+Animator+Toggle OffAnimation UI MonoBehaviour(386줄)로 룰층 무관",빈 스텁 삭제(AS-IS=Unity UI 옵션패널, 룰층 무관)
Script/CardEffectCommons/SpecialConditionHelpers.cs,MIXED,DCGO/Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs:782/:374 + CanUseEffects/OnDeletion.cs:144,"IsJogress=GetFromHashtable:782·IsDpZeroDelete=GetFromHashtable:374·IsTopCardInTrash=OnDeletion.cs:144(IsTopCardInTrashOnDeletion) 실존; IsDigiXros는 AS-IS 정의 부재(발명·substrate stamp)",GetFromHashtable.cs/OnDeletion.cs 미러로 이관·IsDigiXros AS-IS 재확인
Script/CardEffectCommons/MinMaxRequirementHelpers.cs,INVENTED,DCGO/Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/*.cs,"AS-IS IsMinDP/IsMaxDP/IsMinCost/IsMaxLevel 등의 정본 1:1 미러가 이미 MinMax_DP_Cost_Level/{DP,Cost,Level,DigivolutionCards}/*.cs에 존재; 본 파일은 Request/Result/Metric records 병렬 프레임워크로 미러 src 어디서도 미참조(고아)",해체·삭제(정본 미러 존재·미참조 고아)
Script/CardEffectCommons/CardRequirementHelpers.cs,INVENTED,없음(AS-IS는 CardSource.cs 인라인 형질/이름/색 술어),"AS-IS에 제네릭 HasName/HasColor/HasTrait 부재; TraitGroupValues(Bird→Avian 등) 하드코딩 그룹표는 단일 AS-IS 출처 없음(형질 그룹은 CardSource.cs:1861/:1897 등 카드별 인라인); 소비자=TargetFilterHelpers.cs",해체(TargetFilterHelpers 재배선; AS-IS 인라인 술어로 대체)
Script/CardEffectCommons/CanUseEffectHelpers.cs,INVENTED,없음(AS-IS는 ICardEffect maxcount 게이트 + per-timing CanTriggerXxx),"AS-IS에 통합 CanTrigger/CanActivate/CanUse 평가기 부재(ICardEffect.cs:341/368 isOverMaxCountPerTurn + CanUseEffects/*.cs 타이밍별 CanTriggerXxx(Hashtable)로 분산); Request/Condition/Result 프레임워크는 발명이며 미러 src 미참조",해체·삭제(미참조·통합 프레임워크 발명)
Script/CardEffectCommons/DigivolveAndTrashBridge.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons.cs:541/675/733/756/1106/1408,"partial class CardEffectCommons; AS-IS 동명 메서드가 CardEffectCommons.cs 모놀리스에 실존(TrashDigivolutionCardsFromTopOrBottom:675·ActivateMainOfOptionSide:733·DigivolveIntoHandOrTrashCard:756·DrawAndDiscardCards:1408) — AS-IS 시그니처 복원 오버로드",CardEffectCommons.cs 미러 partial로 파일명 정본화(흡수)
Script/CardEffectCommons/TurnOwnershipHelpers.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:780-782,"AS-IS IsOwnerTurn/IsOpponentTurn가 GameContextDeterminarion.cs:780-782에 실존; 미러 GameContextDeterminarion.cs도 존재하나 아직 미정의; 소비자=CardEffectCommons.cs",GameContextDeterminarion.cs로 이관
Script/CardEffectCommons/EffectTiming.cs,REHOUSED,DCGO/Assets/Scripts/Script/ICardEffect.cs:969,"AS-IS enum EffectTiming의 정본 위치는 ICardEffect.cs:969; 미러 ICardEffect.cs도 존재하나 enum을 별도 CardEffectCommons/EffectTiming.cs로 분리 하우징(선별 부분집합+재정렬); ToTriggerName은 substrate 편의",ICardEffect.cs 미러 정본 위치로 enum 이관
Script/CardEffectCommons/PermanentBookkeepingStore.cs,SUBSTRATE,DCGO/Assets/Scripts/Script/Permanent.cs:3686-3941,"필드셋(PlayingEffect:3686·LevelJustAfterPlayed:3890·CardNamesJustAfterPlayed:3898·IsBurstDigivolved:3938 등)은 AS-IS Permanent 인스턴스 필드; 뷰-기반 미러 Permanent가 인스턴스 상태를 못 담아 ConditionalWeakTable 매치스코프 스토어로 객체-수명 번역(R4 문서화 결정)",Headless/State로 이주(뷰-Permanent 부기 필드 substrate 반영)
