section,path,item_type,source_path,decision_basis,category,priority,purpose,porting_notes
Solution,src/HeadlessDCGO.Engine,Project,,PORT/USE,Mixed,HIGH,Core deterministic .NET headless engine,"Contains mirrored Assets/CardBaseEntity, Assets/Scripts/Script, and Assets/Scripts/CardEffect structure."
Solution,src/HeadlessDCGO.Engine.Tools,Project,,PORT,DataLoader,MEDIUM,Conversion and diagnostics tools,"Convert Unity .asset card master data to JSON or typed records."
Solution,src/HeadlessDCGO.Simulator,Project,,PORT,AIUseful,MEDIUM,CLI/local simulator runner,"Runs deterministic matches, scenarios, smoke simulations, and debug traces."
Solution,src/HeadlessDCGO.RL,Project,,PORT,AIUseful,MEDIUM,RL/self-play adapter,"Owns observations, action masks, rewards, policy adapters, and self-play loops."
Solution,tests/HeadlessDCGO.Engine.Tests,Project,,USE/PORT,Mixed,HIGH,Engine regression tests,"Rules, effects, data loading, deterministic simulation, and scenario tests."
Engine Assets,src/HeadlessDCGO.Engine/Assets/CardBaseEntity,Directory,Assets/CardBaseEntity/**/*.asset,USE,CardData,HIGH,Converted card master data,"Keep original set/color/kind folder layout; convert .asset to .json; ignore .meta."
Engine Assets,src/HeadlessDCGO.Engine/Assets/CardBaseEntity/AD1,Directory,Assets/CardBaseEntity/AD1/**/*.asset,USE,CardData,HIGH,AD1 card data,"Representative mirrored card set folder."
Engine Assets,src/HeadlessDCGO.Engine/Assets/CardBaseEntity/BT1,Directory,Assets/CardBaseEntity/BT1/**/*.asset,USE,CardData,HIGH,BT1 card data,"Representative mirrored card set folder."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script,Directory,Assets/Scripts/Script,PORT,Mixed,HIGH,Mirrored core script root,"Keep original location traceable while removing Unity dependencies."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect,Directory,Assets/Scripts/CardEffect/**/*.cs,PORT,CardEffect,HIGH,Per-card effect implementations,"Batch-port after core state model and effect scheduler exist."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction,Directory,Assets/Scripts/Script/MainPhaseAction/*.cs,PORT,AIUseful,HIGH,Action command surface,"Replace Photon serialization and bind to pure turn state machine."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection,Directory,Assets/Scripts/Script/PlayerSelection/*.cs,PORT,AIUseful,MEDIUM,Selection/action choice data,"Convert UI prompts into policy/action-mask choices."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons,Directory,Assets/Scripts/Script/CardEffectCommons/**/*.cs,PORT,CardEffect,HIGH,Shared effect predicates and mutation helpers,"Replace Coroutine/singleton access with explicit context and scheduler."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory,Directory,Assets/Scripts/Script/CardEffectFactory/**/*.cs,PORT,CardEffect,HIGH,Shared effect factory helpers,"Port after ICardEffect and EffectScheduler are available."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects,Directory,Assets/Scripts/Script/CardEffects/*.cs,PORT,CardEffect,HIGH,Effect capability classes,"Keep close to original path for traceability."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutomaticOrder,Directory,Assets/Scripts/Script/AutomaticOrder/*.cs,PORT,CoreRule,MEDIUM,Automatic effect ordering rules,"StartTurnTamerMemory is relevant after effect stack ordering exists."
Engine Scripts,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DataTools,Directory,"Assets/Scripts/Script/FilterCardList.cs; Assets/Scripts/Script/GameplayOption.cs",PORT,DataLoader/AIUseful,MEDIUM,Data filters and simulation-relevant options,"Optional relocation; can also keep original paths if preferred."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CEntity_Base.cs,File,Assets/Scripts/Script/CEntity_Base.cs,PORT,CardData,HIGH,Card data model,"Remove ScriptableObject, Sprite, and Unity image loading."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/GameRandom.cs,File,Assets/Scripts/Script/GameRandom.cs,USE,CoreRule,HIGH,Deterministic PRNG,"Keep nearly as-is; add seed and determinism tests."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DeckData.cs,File,Assets/Scripts/Script/DeckData.cs,PORT,CoreRule,HIGH,Deck encoding and card access,"Remove Unity Mathf dependency."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DeckCodeUtility.cs,File,Assets/Scripts/Script/DeckCodeUtility.cs,PORT,CoreRule,HIGH,Deck-builder import/export,"Replace ContinuousController singleton with CardDatabase dependency."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DeckBuildingRule.cs,File,Assets/Scripts/Script/DeckBuildingRule.cs,PORT,CoreRule,HIGH,Deck legality and banlist checks,"Remove MonoBehaviour and ContinuousController singleton."
Core Data,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DataBase.cs,File,Assets/Scripts/Script/DataBase.cs,PORT,DataLoader,MEDIUM,Static card names/colors/set helpers,"Split rendering color/icon data from pure lookup data."
Game State,src/HeadlessDCGO.Engine/Assets/Scripts/Script/GameContext.cs,File,Assets/Scripts/Script/GameContext.cs,PORT,GameState,HIGH,Match-level state,"Remove Photon player ID assignment and Unity using."
Game State,src/HeadlessDCGO.Engine/Assets/Scripts/Script/Player.cs,File,Assets/Scripts/Script/Player.cs,PORT,GameState,HIGH,Player zones and queues,"Extract library, hand, security, trash, field, action queue, selection queue; discard UI."
Game State,src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs,File,Assets/Scripts/Script/Permanent.cs,PORT,GameState,HIGH,Field stack/permanent state,"Replace GManager singleton access with GameContext/effect query services."
Game State,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardSource.cs,File,Assets/Scripts/Script/CardSource.cs,PORT,GameState,HIGH,Runtime card instance state,"Remove MonoBehaviour, PhotonView, GameObject naming, and visual face handling."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/TurnStateMachine.cs,File,Assets/Scripts/Script/TurnStateMachine.cs,PORT,CoreRule,HIGH,Turn and phase flow,"Extract pure start/active/draw/breeding/main/end state machine; replace Coroutine/Photon/UI waits."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/MainPhaseAction.cs,File,Assets/Scripts/Script/MainPhaseAction/MainPhaseAction.cs,PORT,AIUseful,HIGH,Base action command,"Keep as action abstraction; remove network packet coupling if needed."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/PlayCardAction.cs,File,Assets/Scripts/Script/MainPhaseAction/PlayCardAction.cs,PORT,AIUseful,HIGH,Play card command,"Replace Photon Protocol serialization with .NET serializer or record fields."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/PassAction.cs,File,Assets/Scripts/Script/MainPhaseAction/PassAction.cs,PORT,AIUseful,HIGH,Pass command,"Bind to pure TurnStateMachine."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/AttackPermanentAction.cs,File,Assets/Scripts/Script/MainPhaseAction/AttackPermanentAction.cs,PORT,AIUseful,HIGH,Attack command,"Bind to pure AttackProcess/BattleResolver."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/ActivateCardAction.cs,File,Assets/Scripts/Script/MainPhaseAction/ActivateCardAction.cs,PORT,AIUseful,HIGH,Activate card command,"Bind to pure effect activation pipeline."
Turn Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/ActivatePermanentAction.cs,File,Assets/Scripts/Script/MainPhaseAction/ActivatePermanentAction.cs,PORT,AIUseful,HIGH,Activate permanent command,"Bind to pure effect activation pipeline."
Battle Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs,File,Assets/Scripts/Script/AutoProcessing.cs,PORT,BattleLogic,HIGH,Rule timing and automatic processing,"Replace Coroutine loops and UI checks with EffectScheduler and rule services."
Battle Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AttackProcess.cs,File,Assets/Scripts/Script/AttackProcess.cs,PORT,BattleLogic,HIGH,Attack/counter/block/battle/end flow,"Extract attack state machine; ignore target arrows and visual outlines."
Battle Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,File,Assets/Scripts/Script/CardController.cs,PORT,BattleLogic,HIGH,Card play/digivolution/activation logic,"Separate card rules from card object UI interactions."
Battle Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardObjectController.cs,File,Assets/Scripts/Script/CardObjectController.cs,PORT,GameState,HIGH,Zone movement logic,"Keep movement/state mutation; remove GameObject creation and visual effects."
Battle Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/GManager.cs,File,Assets/Scripts/Script/GManager.cs,PORT,BattleLogic,HIGH,Current orchestration/singleton root,"Do not copy as singleton; extract services and match orchestration."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/ICardEffect.cs,File,Assets/Scripts/Script/ICardEffect.cs,PORT,CardEffect,HIGH,Effect base and timing model,"Remove UnityAction/UI callback pieces or wrap them as engine events."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectInterfaces.cs,File,Assets/Scripts/Script/CardEffectInterfaces.cs,PORT,CardEffect,HIGH,Effect capability interfaces,"Keep as typed interfaces where possible."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/SkillInfo.cs,File,Assets/Scripts/Script/SkillInfo.cs,USE,CardEffect,HIGH,Effect stack item,"Keep nearly as-is; consider typed context instead of Hashtable later."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/MultipleSkills.cs,File,Assets/Scripts/Script/MultipleSkills.cs,PORT,CardEffect,HIGH,Effect resolution ordering,"Replace Coroutine and player UI choice with IChoiceProvider."
