relpath,verdict,deviations,notes
Script/CardEffectCommons/GameContextDeterminarion.cs,DEVIATION,"GAP: AS-IS OwnerHas1OrLessTamers (:858-864, static bool, checks card.Owner's battle-area Tamer count <=1) has ZERO TO-BE definition anywhere in src tree, yet has 4 LIVE AS-IS callers (BT22_030.cs:75, EX10_017.cs:107, BT23_016.cs:98, BT23_042.cs:96) — all 4 caller cards are themselves unported (no TO-BE file exists for any of the 4), so the gap is currently latent but the primitive itself was dropped, unlike its sibling HasNoElement/MatchConditionPermanentCount which were pre-emptively rehoused; MINOR: TO-BE TurnOwnershipHelpers.IsOwner(HeadlessPlayerId,HeadlessPlayerId)/IsOpponent(...) (2 extra methods beside the AS-IS-anchored IsOwnerTurn/IsOpponentTurn) have no identifiable AS-IS symbol counterpart (no bare 'IsOwner'/'IsOpponent' method exists anywhere in AS-IS) and zero TO-BE callers anywhere — appears pre-existing from an earlier fold (present already in the prior TOBE_ONLY commit per git history) rather than freshly invented in this audit window.","(P6 cluster3) Sibling-partial file: TO-BE is a 55-line fragment porting only IsExistOnBattleAreaDigimonTrigger/Activate + TurnOwnershipHelpers, with the bulk of GameContextDeterminarion.cs's ~65 AS-IS symbols correctly rehoused elsewhere: IsExistOnBattleAreaTrigger/Activate confirmed ported verbatim in the sibling main CardEffectCommons.cs:1302-1309 (cross-referenced, collapsed-cache-check documented); HasNoElement<T> confirmed ported CardEffectCommons.cs:3795 (generic method — my first grep pass missed it due to <T>); MatchConditionPermanentCount confirmed rehoused with clear ADAPTATION doc-comment in CardEffectCommons/KeyWordEffects/Save.cs:24 (scoped card-overload, documented as 'the sole mirror overload of this name'). Confirmed legitimately UNPORTED as AS-IS DEAD CODE (zero external AS-IS callers verified via grep, only self-referencing definition file): IsExistOnFieldTrigger/Activate, IsExistOnBreedingAreaTrigger/Activate, IsExistDigivolutionCardsTrigger/Activate, IsExistLinkedTrigger/Activate, IsPermanentExistsOnOpponentBreedingArea, UniversalRootCanNoSelectCondition — these 10 symbols are correctly absent, not gaps."
Script/FieldPermanentCard.cs,BLOCKED,,"TO-BE is a bare 8-line skeleton stub ('TODO: Skeleton only. Port or implement deterministic .NET logic later.'), no reclassification annotation. AS-IS (894 lines) is a pure Unity MonoBehaviour view component for the on-field card visual (Image/Text/Animator/CommandPanel/DOTween fields, SetActive/instantiate methods) — no rule-mutating logic identified in a header scan. Consistent with the 'AS-IS FieldPermanentCard instantiation = UI (stripped)' comments already present in CardObjectController.cs:99 and elsewhere in the ported tree, but this specific file lacks the formal SKEL-Exhaust/reclassification note that sibling UI files (e.g. SelectCardPanel.cs in this same batch) carry — flagged BLOCKED per stub-without-reason protocol rather than silently accepted."
Script/SelectAssemblyClass.cs,MATCH-TRANSLATED,,"Rich, heavily AS-IS-line-annotated 1:1 mirror of all AS-IS instance-surface methods (ResetSelectAssemblyClass/AddDigivolutionCardInfos/SetExcludedCards/isTrashCard/CanSelectAssembly/CanFulfillConditions/CanFulfillEachElementCondition/Select/SelectTrashCard/EndSelectAssembly/AddDigivolutiuonCards/AddDigivolutiuonCardsByEffect), each keyed to AS-IS line ranges. Substrate-only translations: IEnumerator->Task, card.PermanentOfThisCard()->ICardEffect.ResolvePermanentOfThisCard, card.Owner.TrashCards->new Player(ctx,owner).TrashCards. Adds a documented STATIC feasibility half (TryMatchMaterials/CanFulfillConditions(EngineContext,...)/ValidateMaterials) explicitly labeled as the twin surface the parameterized PlayCardAction path needs (RD-EXT3-02) — same backtracking algorithm as CanFulfillEachElementCondition, reused as a static entry point; not new game logic."
Script/GManager.cs,MATCH-TRANSLATED,,"Documented substrate translation of the AS-IS GManager MonoBehaviourPun singleton (EFFECT-MODEL REBUILD) into a match-scoped accessor over EngineContext/AmbientMatchContext. UI/Photon/audio members (dozens of AudioClip/Canvas/Camera/SE fields, Awake/OnDestroy/ChangeBackground/Init/ReturnToTitle) correctly stripped as non-rule state. Game-logic handles preserved: turnStateMachine, autoProcessing/autoProcessing_CutIn, attackProcess, userSelectionManager, GetComponent<T>() switch covering SelectPermanentEffect/SelectCardEffect/SelectHandEffect/OptionalSkill/SelectCountEffect/SelectDigiXrosClass/SelectAssemblyClass/SelectDNACondition/SelectAttackEffect/SelectAppFusionEffect/SelectBurstDigivolutionEffect (unsupported T throws STOP per design item RD-W4-3, not silent). AS-IS selectJogressEffect field correctly absent — cross-checked against SelectJogressEffect.cs's own SKEL-Exhaust reclassification note (superseded by the ChoiceProvider-based DNA-digivolve substrate path), consistent, not an independent gap. StackSkillInfos absence is a pre-existing tracked design item (P2-STACKSKILLINFOS), not new."
Script/DeckData.cs,BLOCKED,,"TO-BE is a bare 8-line skeleton stub, no reclassification note. AS-IS (868 lines) is a plain (non-MonoBehaviour) C# class implementing deck-code string encode/decode (base-256 packing of card ID lists) plus deck metadata (DeckName/DeckID/counts) for the deck-builder/save-load UI feature. Cross-checked: the TO-BE Headless substrate has its own independent deck-loading mechanism (Headless/DataLoading/StarterDecks.cs, DeckListLoader.cs, DeckValidator.cs) that the engine's match setup actually uses — the one live TO-BE reference to 'DeckData' (SelectCardEffect.cs:490) is a comment noting the AS-IS DeckData sort/matching-first ordering is UI-panel display logic (stripped), not engine state. Plausibly legitimately out-of-scope (UI/save-format feature superseded by the substrate loader) but the manifest-generated stub header still marks it Category=CoreRule/Priority=HIGH and carries no explicit reclassification decision — flagged BLOCKED per stub-without-reason protocol."
Script/CardEffectCommons/CanUseEffects/OnDeletion.cs,MATCH-TRANSLATED,,"Byte-for-byte verbatim port of all 12 AS-IS functions (CanTriggerOnDeletion/CanTriggerOnPermanentDeleted/CanTriggerOnPermanentLeave/IsByBattle/IsByEffect/CanActivateOnDeletion/IsTopCardInTrashOnDeletion/IsTopCardSamePermanent/CanActivateSelfOnDeletionWithContainingCardName+OnDeletionWithContainingCardName/…WithContainingTrait/…WithCardColors/…WithSaveText), with one documented ADAPTATION: IsByBattle/IsByEffect gain an OR-fallback read of derived ByBattleCauseKey/ByEffectCauseKey markers (cross-referenced with HashtableSetting.cs's matching overloads in this same batch) for sink/battle/deferred-deletion transport paths that have no live IBattle/ICardEffect object yet (RD-C1-CARDEFFECT-IDTHREAD, pre-existing tracked non-scope item) — same truth table preserved for the faithful live-object path."
Script/SelectBurstDigivolutionEffect.cs,MATCH-TRANSLATED,,"All 4 AS-IS methods (SelectWheterToBurst/SelectTamer/BounceTamer/AddTrashTopCardAtTurnEnd) FULLY LANDED per the file's own 2026-07-20/07-18 completion notes — cross-verified: SelectTamer restored via CardSource.CanPlayBurst; BounceTamer restored via MatchStateMutationSink ReturnToHand carrier (HandBounceClaass's established mirror) with an explicit AS-IS-quirk-kept callout (the pick-branch guards on _endSelectCoroutine_Burst!=null but invokes _endSelectCoroutine_SelectTamer, kept 1:1 both sides); AddTrashTopCardAtTurnEnd ports the OnEndTurn ActivateClass registration + AceOverflowClass + CardObjectController zone statics 1:1, DOTween/display calls (CreateDebuffEffect/ShowPermanentData/RemoveDigivolveRootEffect) correctly stripped as pure UI. SelectWheterToBurst's two-option panel maps to a documented ChoiceType.ModeChoice ADAPTATION (same pattern as SelectAppFusionEffect in this batch)."
Script/CardEffectCommons/HashtableSetting.cs,MATCH-TRANSLATED,,"All 16 AS-IS hashtable-builder functions present and verbatim, each substrate ADAPTATION individually commented: Permanent(cardSources)->Permanent(context,instanceId,ownerId) transient-view ctor; .Clone()->.ToList() on IReadOnlyList mirror surfaces; CardColor list round-trip via CardSource.ToCardColorList; PermanentOfThisCard()->ICardEffect.ResolvePermanentOfThisCard bridge. Adds 2 documented ADAPTATION overloads (WhenPermanentWouldRemoveFieldCheckHashtable(permanents,byBattleCause,...) and OnDeletionHashtable(permanents,byEffectCause,byBattleCause,isDPZero)) that delegate to the faithful builder and stamp the ByBattleCauseKey/ByEffectCauseKey markers consumed by OnDeletion.cs's IsByBattle/IsByEffect fallback (cross-verified consistent with that file in this same batch) — same C2/RD-C1-CARDEFFECT-IDTHREAD transport-path rationale, not independent inventions. Also adds a shared BuildBattleResultPayload helper factoring out the AS-IS CardController.Battle :4694-4700 hashtable-population idiom, reused by PierceCheckHashtableOfPermanent's synthetic probe and documented as sharing technique with the real battle finalizer."
Script/SelectCardPanel.cs,BLOCKED,,"TO-BE is an 11-line stub explicitly reclassified (not a bare TODO): 'RECLASSIFIED: NOT a card-effect primitive. The AS-IS body is a pure Unity UI panel (MonoBehaviour : TextMeshProUGUI/ScrollRect/Button/DG.Tweening, GameObject.SetActive, Instantiate). Card selection in headless is driven by the ChoiceProvider substrate...out of scope for the engine freeze contract.' Verified AS-IS (688 lines) header confirms heavy TMPro/UI.ScrollRect/DG.Tweening/EventSystems imports consistent with this classification. Legitimate documented exclusion, not an oversight — flagged BLOCKED (stub) per protocol but with sufficient stated reason, distinguishing it from the 4 bare-TODO stubs in this same batch (FieldPermanentCard/DeckData/CardPrefab_CreateDeck/DetailCard_DeckEditor)."
Script/CardPrefab_CreateDeck.cs,BLOCKED,,"TO-BE is a bare 8-line skeleton stub, no reclassification note. AS-IS (636 lines) is a pure Unity MonoBehaviour deck-builder card-prefab view (Image/ScrollRect/Cover/Outline/Animator/CostIcons/TextMeshProUGUI/Coffee.UIEffects fields) — deck-construction UI display, not engine rule state. Zero TO-BE callers found anywhere in src tree. Plausibly legitimately out of engine scope (same class as SelectCardPanel.cs) but lacks the formal reclassification annotation — flagged BLOCKED per stub-without-reason protocol."
