port_file	original	port	what_differs
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:11	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:57	IDiscardHands ctor gains a `HeadlessEntityId? causeEffectSourceId` param and makes cardEffect optional; the id is stamped on the substrate trash move
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:25	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:78	added early-return `if (discardHands.Count == 0) return;` not in original, guarding the discardHands[0].CardSource.Context batch access
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:29	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:85	added `context.NextDiscardBatchId()` batch-id derivation threaded into each Discard() call, absent in original
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:97	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:133	Discard() gains `long? discardBatchId, HeadlessEntityId? causeEffectSourceId, CancellationToken` params for the substrate move
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:99	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:139	`cardSource.Owner.HandCards.Contains(cardSource)` became `zones.GetCards(Owner, ChoiceZone.Hand).Contains(InstanceId)`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:101	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:141	`DeleteHandCardEffectCoroutine(cardSource)` call removed (UI coroutine, no headless shim)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:103	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:144	`CardObjectController.AddTrashCard(cardSource)` became `context.ZoneMover.TrashCardAsync(Owner, InstanceId, discardBatchId, causeEffectSourceId, ...)`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:146	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2876	SetBurst bound `card.Owner.fieldCardFrames.Count-1` became `new Player(card.Context, card.Owner).GetFieldPermanents().Count-1`, a tighter compacted-list bound (no slot array)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:223	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2965	IsBurst `card.burstDigivolutionCondition` property became `card.BurstDigivolutionConditionOf()` method (re-evaluated each access)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:243	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2991	BurstTamer `card.Owner.fieldCardFrames[_burstTamerFrameID].GetFramePermanent()` became compacted `GetFieldPermanents()[_burstTamerFrameID]`
