port_file	original	port	what_differs
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/Player.cs:1521	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:386	SecurityRuleGateSeam.CanReduceSecurity mirrors AS-IS Player.CanReduceSecurity verbatim (whole body)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/Player.cs:1471	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:400	SecurityRuleGateSeam.CanAddSecurity mirrors the IsSecurityLooking guard half of AS-IS Player.CanAddSecurity (:1471-1474); the ICannotAddSecurityEffect scan half is hosted in mirror Player.CanAddSecurity (src Player.cs:494)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:750	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5457	added private static HasAwaitingActivateEffects(AutoProcessing) helper is a verbatim copy of AutoProcessing.HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:750	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5623	added private static HasAwaitingActivateEffects(AutoProcessing) helper is a verbatim copy of AutoProcessing.HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:750	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5838	added private static HasAwaitingActivateEffects(AutoProcessing) helper is a verbatim copy of AutoProcessing.HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:750	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5976	instance `autoProcessing_CutIn.HasAwaitingActivateEffects()` reimplemented as private static helper reading StackedSkillInfos (logic byte-identical to AutoProcessing.cs:750)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/AutoProcessing.cs:750	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:6213	added private static HasAwaitingActivateEffects; original calls instance method `autoProcessing_CutIn.HasAwaitingActivateEffects()` (AutoProcessing.cs:750), port inlines an identical copy and changes call site to `HasAwaitingActivateEffects(autoProcessing_CutIn)`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:2707	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4536	port-only extension JogressConditionOf mirrors AS-IS CardSource.jogressCondition property (CardSource.cs:2707) verbatim, only `EffectList`→`card.EffectList`/`this`→`card`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:2987	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4551	port-only extension BurstDigivolutionConditionOf mirrors AS-IS CardSource.burstDigivolutionCondition property (CardSource.cs:2987) verbatim
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:2959	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4574	port-only extension DigiXrosConditionOf mirrors AS-IS CardSource.digiXrosCondition property (CardSource.cs:2959) verbatim
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:2569	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4597	port-only extension HasDigiXros mirrors AS-IS CardSource.HasDigiXros (CardSource.cs:2569 `digiXrosCondition != null`) as `card.DigiXrosConditionOf() != null`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:3488	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4601	port-only extension IsPermanent corresponds to AS-IS CardSource.IsPermanent (CardSource.cs:3488 delegating to CEntity_Base.IsPermanent = Digimon||Tamer||DigiEgg) but re-expressed as `card.IsDigimon || card.IsTamer || card.IsDigiEgg` (no _cEntity_Base on mirror; equivalent)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardSource.cs:757	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4606	port-only extension BasePlayCostFromEntity corresponds to AS-IS CardSource.BasePlayCostFromEntity (CardSource.cs:757 returns `_cEntity_Base.PlayCost`) but returns `card.GetCostItself`, which in the mirror is `Definition?.PlayCost ?? 0` (same raw printed cost, equivalent)
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:303	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:2039	relocated CanPlayAsNewPermanent drops the `root` and `isBreedingArea` parameters entirely (never threaded through)
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:303	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:2039	relocated CanPlayAsNewPermanent drops the SelectDigiXrosClass/SelectAssemblyClass in-flight-selection lock checks
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:303	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:2039	relocated CanPlayAsNewPermanent replaces the per-frame `fieldCardFrames.Some(...CanPlayCardTargetFrame)` scan with a flat GetPayingCostWithBaseCost+MemoryController.CanPay check
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:41	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:491	IsExistOnBattleAreaTrigger/IsExistOnBattleAreaActivate collapse two AS-IS functions with different caching semantics into a single alias of IsExistOnBattleArea
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangeCardDP.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:503	ChangeSecurityDigimonCardDPPlayerEffect relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotAttack.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:1499	GainCanNotAttack relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBlock.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:1509	GainCanNotBlock relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/ChangePlayCost.cs:11	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:1800	ChangePlayCostPlayerEffect relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeOriginDP.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:1849	ChangeBaseDigimonDP relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeDP.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:539	ChangeDigimonDP relocated verbatim
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeSAttack.cs:10	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:579	ChangeDigimonSAttack relocated verbatim
