relpath,verdict,consumers,evidence
CardEffect/TestFixtures/TfxAllianceOnly.cs,FIXTURE-OK,"C-Atk-Alliance.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxArmorPurge.cs,FIXTURE-OK,"G3.5-F68.DeletionReplacementWindow.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxArmorPurgeWouldBeDeleted.cs,FIXTURE-OK,"R2-DeletionPipeline.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxAscension.cs,FIXTURE-OK,"C-Del-POST.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxBeforePayCost.cs,FIXTURE-OK,"G9-006.BeforePayCostWindowE2E.Tests;G9-007.BeforePayCostAvailability.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxBeforePayCostReduction.cs,FIXTURE-OK,"PRIM-P0.BeforePayCostReduction.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxBurstDigivolve.cs,FIXTURE-OK,"PRIM.BurstDigivolve.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxCanNotBeAffected.cs,FIXTURE-OK,"Ba-P0-1.ImmunityRehome.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxCanNotBeAffectedToggle.cs,FIXTURE-OK,"Ba-P0-1.ImmunityRehome.Tests;J2-UnsuspendRevival.Witness.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxCanNotMove.cs,FIXTURE-OK,"FAILd-03.CanNotMove.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxCanNotSelectBySkill.cs,FIXTURE-OK,"FAILd-01.CanNotSelectBySkill.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxCannotAddMemory.cs,FIXTURE-OK,"Ba-P0-1.ImmunityRehome.Tests;PRIM-P0.CannotAddMemory.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxCannotAddSecurity.cs,FIXTURE-OK,"FAILa-PPS.PlacePermanentInSecurity.Tests;PRIM-P0.CannotAddSecurity.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxCannotIgnoreDigivolution.cs,FIXTURE-OK,"FAILd-06.CannotIgnoreDigivolve.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxCannotReduceCost.cs,FIXTURE-OK,"FAILa-05.CannotReduceCostScope.Tests;G3.5-D8.CostReductionPipeline.Tests;PRIM-P0.CannotReduceCost.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 3 live consumer suite(s)"
CardEffect/TestFixtures/TfxCappedMemoryThenSelectTrash.cs,FIXTURE-OK,"B1-OncePerTurnInteractiveResume.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxChangeEndTurnMinMemory.cs,FIXTURE-OK,"FAILd-07.ChangeEndTurnMinMemory.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDeadTimingDraw.cs,FIXTURE-ORPHAN,"","Self-declared F1-DEAD infra fixture (draw at 6 dead timings); 0 live refs repo-wide; no consuming suite"
CardEffect/TestFixtures/TfxDecoy.cs,FIXTURE-OK,"G3.5-F68.DeletionReplacementWindow.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDestroy.cs,FIXTURE-OK,"G9-017.DestroyPermanents.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDigiBurst.cs,FIXTURE-OK,"PRIM.DigiBurst.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDigiBurstKeyword.cs,FIXTURE-OK,"PRIM.DigiBurst.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDigiTrashDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDigiXros.cs,FIXTURE-OK,"G9-049.SpecialPlayDiscovery.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDigivolveCostGate.cs,FIXTURE-OK,"BT23.PrimTranche3.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDiscardCounter.cs,FIXTURE-OK,"F1-Tier1-OnDiscard.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDnaFromHand.cs,FIXTURE-OK,"PRIM.DnaFromHand.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDoubleKeyWhenDigivolving.cs,FIXTURE-OK,"R4S3b-MainDispatch.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxDraw.cs,FIXTURE-OK,"G9-015.DrawEffect.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxEndTurnDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxEndTurnLose3Memory.cs,FIXTURE-ORPHAN,"","Self-declared static end-turn infra fixture for RD-6; 0 live refs repo-wide; no consuming suite"
