asis_path,비고1
DCGO/Assets/Scripts/Script/ProfanityFilter/Interfaces/IAllowList.cs,"MIT 3rd-party ProfanityFilter 라이브러리의 채팅 욕설 허용목록 인터페이스일 뿐 게임규칙 로직이 없어 헤드리스 엔진 스코프 밖(미포팅)"
DCGO/Assets/Scripts/Script/ProfanityFilter/Interfaces/IProfanityFilter.cs,"MIT 3rd-party 채팅 욕설필터 API 인터페이스(IsProfanity/CensorString 등)로 게임규칙 무관이라 미포팅"
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityBase.cs,"욕설 단어목록 add/remove/count 관리 베이스 클래스로 채팅 검열용이며 게임규칙 로직 없음(미포팅)"
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityFilter.cs,"정규식·다단어 매칭으로 채팅 텍스트 욕설 탐지/검열하는 3rd-party 구현이라 게임규칙과 무관(미포팅)"
DCGO/Assets/Scripts/Script/ProfanityFilter/ProfanityList.cs,"하드코딩 욕설 단어배열 데이터 파일로 순수 데이터이며 게임규칙 로직 없음(미포팅)"
DCGO/Assets/Scripts/Script/RectTransformExtension.cs,"RectTransform 화면 코너 가시성을 계산하는 Unity UI 유틸 확장으로 게임규칙 로직 없음(미포팅)"
DCGO/Assets/Scripts/Script/ResizeWindow.cs,"Screen.SetResolution/전체화면 토글 등 창 해상도 설정 UI라 순수 표시/입력(미포팅)"
DCGO/Assets/Scripts/Script/ResultObject.cs,"승/패/무/절단 결과를 이미지·텍스트로 표시하는 UI로 승자판정은 GManager가 전달받아 표시만 함(미포팅)"
DCGO/Assets/Scripts/Script/RoomManager.cs,"Photon 룸 로비 네트워킹+UI(방 생성/준비완료/씬 로드)로 규칙 로직 없이 매칭/네트워킹 담당(미포팅)"
DCGO/Assets/Scripts/Script/SecurityBreakGlass.cs,"시큐리티 깨지는 유리의 Rigidbody/Material 3D 연출 컴포넌트로 순수 비주얼(미포팅)"
DCGO/Assets/Scripts/Script/SecurityObject.cs,"시큐리티 스택 개수/faceup 아이콘을 표시하는 UI로 GManager.OnSecurityStackChanged를 구독해 표시만 하며 규칙은 엔진 소유(미포팅)"
DCGO/Assets/Scripts/Script/SelectBattleDeck.cs,"대전 덱 선택 UI 패널(스크롤/애니/선택버튼)로 순수 UI·입력(미포팅)"
DCGO/Assets/Scripts/Script/SelectBattleMode.cs,"랜덤/룸/봇 대전모드 선택 UI와 Photon 연결 흐름으로 UI·네트워킹뿐 규칙 없음(미포팅)"
DCGO/Assets/Scripts/Script/SelectCommand.cs,"커맨드 선택 버튼 UI 프리팹(텍스트/클릭 이벤트)으로 순수 UI(미포팅)"
DCGO/Assets/Scripts/Script/SelectCommandPanel.cs,"커맨드 선택 패널 UI(버튼 생성·애니)로 Command_SelectCommand도 UI 뷰모델이며 규칙 로직 없음(미포팅)"
DCGO/Assets/Scripts/Script/ServerRegionPanel.cs,"Photon 서버 리전 선택 설정 UI 패널로 게임규칙 무관(미포팅)"
DCGO/Assets/Scripts/Script/ServerRegionToggle.cs,"서버 리전 토글 UI 컴포넌트로 순수 UI(미포팅)"
DCGO/Assets/Scripts/Script/ShowEffectDiscriptionObject.cs,"효과 설명 텍스트·카드이미지를 DOTween으로 표시하는 팝업 UI로 표시 전용(미포팅)"
DCGO/Assets/Scripts/Script/ShowTurnPlayerObject.cs,"'Your/Opponent's Turn' 배너를 표시하는 UI로 표시 전용이며 규칙 없음(미포팅)"
DCGO/Assets/Scripts/Script/SideBar.cs,"사이드바 접기/펼치기 DOTween UI로 순수 UI(미포팅)"
DCGO/Assets/Scripts/Script/SimpleCircleLayoutGroup.cs,"자식 UI를 원형으로 배치하는 Unity 레이아웃 그룹으로 순수 UI 레이아웃(미포팅)"
DCGO/Assets/Scripts/Script/SoundObject.cs,"AudioSource로 효과음 재생 후 자기파괴하는 오디오 연출 컴포넌트로 규칙 로직 없음(미포팅)"
DCGO/Assets/Scripts/Script/TargetArrow.cs,"공격 타겟 화살표를 RectTransform으로 렌더/애니하는 UI로 순수 표시(미포팅)"
DCGO/Assets/Scripts/Script/TestWWW.cs,"digimoncard.com에서 카드 이미지/텍스트를 긁어 파일 저장하는 에디터용 개발 도구로 런타임 규칙과 무관(미포팅)"
DCGO/Assets/Scripts/Script/Title.cs,"타이틀 화면 UI(클릭 시 홈 전환·DOTween 페이드)로 순수 UI(미포팅)"
DCGO/Assets/Scripts/Script/TrialDraw.cs,"덱 에디터의 시험 드로우(goldfish) 미리보기 UI로 RandomUtility.ShuffledDeckCards 셔플만 쓰는 프리뷰이며 대전 규칙 아님(미포팅)"
DCGO/Assets/Scripts/Script/VolumePanel.cs,"SE/BGM 볼륨 슬라이더 설정 UI로 게임규칙 무관(미포팅)"
DCGO/Assets/Scripts/Script/YesNoObject.cs,"예/아니오 다이얼로그 UI 프리팹으로 순수 UI(미포팅)"
