port_file	original	port	what_differs
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:29	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:90	`yield return StartCoroutine(discardHand.Discard())` became `await discardHand.Discard(discardBatchId, _causeEffectSourceId, cancellationToken)`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1225	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:3873	`IEnumerator PlayPermanent()` → `async Task PlayPermanent(CancellationToken cancellationToken = default)`; all `yield return StartCoroutine(x)` → `await x`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2295	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5338	IEnumerator DeckBounce() became async Task DeckBounce(CancellationToken) with yield return StartCoroutine(x) rewritten to await x and cancellationToken threaded into DiscardEvoRoots/RemoveField/AddLibraryBottomCards
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2461	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5506	IEnumerator DeckBounce() became async Task DeckBounce(CancellationToken) with yield return StartCoroutine(x) rewritten to await x and cancellationToken threaded into DiscardEvoRoots/RemoveField/AddLibraryTopCards
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2622	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5669	IEnumerator Bounce() became async Task Bounce(CancellationToken) with yield return StartCoroutine(x) rewritten to await x and cancellationToken threaded into DiscardEvoRoots/RemoveField/RemoveFromAllArea/AddLibraryBottomCards/AddHandCards
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2867	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2274	PlacePermanentToDigivolutionCards IEnumerator→async Task, yield return StartCoroutine(X)→await X, yield break→return
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3164	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2472	PlacePermanentToLinkCards IEnumerator→async Task, yield return StartCoroutine(X)→await X, yield break→return
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3456	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2666	LinkCard IEnumerator→async Task, yield return StartCoroutine(X)→await X, yield break→return
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3519	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5884	PutSecurity IEnumerator→async Task with added CancellationToken param threaded through DiscardEvoRoots/RemoveField/AddSecurityCard/AddLibraryBottomCards/AddSecurity, yield break→return
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3667	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:6043	Destroy converted IEnumerator to async Task with CancellationToken, `yield break`→`return`, every `StartCoroutine(x)`→`await x`, DiscardEvoRoots/RemoveField/AddTrashCard gain cancellationToken arg
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3891	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4660	SecurityCheck converted IEnumerator to async Task with CancellationToken, `yield break`→`return`, `StartCoroutine(x)`→`await x`, local AfterSelectIndexCoroutine IEnumerator→async Task with `yield return null`→`await Task.CompletedTask`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4273	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:754	DestroySecurity converted IEnumerator to async Task with CancellationToken, `StartCoroutine(x)`→`await x`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4469	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5046	`Mathf.Clamp(statCheck,-1,1)` changed to `Math.Clamp(...)` (UnityEngine Mathf unavailable, identical int semantics)
Permanent	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/Permanent.cs:106	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:4143	DiscardEvoRoots is an IEnumerator using yield return StartCoroutine(...); the port is async Task using await (and .Clone() becomes new List<>()), body otherwise statement-for-statement identical.
Permanent	Permanent.cs:698	Permanent.cs:2545	Port never persists DPBoost.Condition (id->dp map only), so reconstructed Boosts always carry null Condition; behaviorally inert since AS-IS never reads boost.Condition anywhere
