relpath,verdict,asis_anchor,evidence,disposition
Script/OnEnterFieldHashtableParams.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardController.cs:1100-1146,1:1 port of the nested `class OnEnterFieldHashtableParams` (ctor+props verbatim) that AS-IS lives inside the CardController MonoBehaviour; consumed by HashtableSetting.OnEnterFieldHashtable,CardController 미러 정본 위치로 이관(중첩 데이터홀더)
Script/DataTools/FilterCardList.cs,INVENTED,DCGO/Assets/Scripts/Script/FilterCardList.cs,미러는 빈 스텁(주석 헤더뿐); AS-IS는 InputField/Dropdown/Toggle 순수 Unity UI MonoBehaviour(807줄)로 룰층·headless 무관,빈 스텁 삭제(AS-IS=Unity UI
Script/DataTools/GameplayOption.cs,INVENTED,DCGO/Assets/Scripts/Script/GameplayOption.cs,미러는 빈 스텁; AS-IS는 Photon+Animator+Toggle OffAnimation UI MonoBehaviour(386줄)로 룰층 무관,빈 스텁 삭제(AS-IS=Unity UI 옵션패널
Script/CardEffectCommons/SpecialConditionHelpers.cs,MIXED,DCGO/Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs:782/:374 + CanUseEffects/OnDeletion.cs:144,IsJogress=GetFromHashtable:782·IsDpZeroDelete=GetFromHashtable:374·IsTopCardInTrash=OnDeletion.cs:144(IsTopCardInTrashOnDeletion) 실존; IsDigiXros는 AS-IS 정의 부재(발명·substrate stamp),GetFromHashtable.cs/OnDeletion.cs 미러로 이관·IsDigiXros AS-IS 재확인
Script/CardEffectCommons/MinMaxRequirementHelpers.cs,INVENTED,DCGO/Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/*.cs,"AS-IS IsMinDP/IsMaxDP/IsMinCost/IsMaxLevel 등의 정본 1:1 미러가 이미 MinMax_DP_Cost_Level/{DP,Cost,Level,DigivolutionCards}/*.cs에 존재; 본 파일은 Request/Result/Metric records 병렬 프레임워크로 미러 src 어디서도 미참조(고아)",해체·삭제(정본 미러 존재·미참조 고아)
Script/CardEffectCommons/CardRequirementHelpers.cs,INVENTED,없음(AS-IS는 CardSource.cs 인라인 형질/이름/색 술어),AS-IS에 제네릭 HasName/HasColor/HasTrait 부재; TraitGroupValues(Bird→Avian 등) 하드코딩 그룹표는 단일 AS-IS 출처 없음(형질 그룹은 CardSource.cs:1861/:1897 등 카드별 인라인); 소비자=TargetFilterHelpers.cs,해체(TargetFilterHelpers 재배선; AS-IS 인라인 술어로 대체)
Script/CardEffectCommons/CanUseEffectHelpers.cs,INVENTED,없음(AS-IS는 ICardEffect maxcount 게이트 + per-timing CanTriggerXxx),AS-IS에 통합 CanTrigger/CanActivate/CanUse 평가기 부재(ICardEffect.cs:341/368 isOverMaxCountPerTurn + CanUseEffects/*.cs 타이밍별 CanTriggerXxx(Hashtable)로 분산); Request/Condition/Result 프레임워크는 발명이며 미러 src 미참조,해체·삭제(미참조·통합 프레임워크 발명)
Script/CardEffectCommons/DigivolveAndTrashBridge.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons.cs:541/675/733/756/1106/1408,partial class CardEffectCommons; AS-IS 동명 메서드가 CardEffectCommons.cs 모놀리스에 실존(TrashDigivolutionCardsFromTopOrBottom:675·ActivateMainOfOptionSide:733·DigivolveIntoHandOrTrashCard:756·DrawAndDiscardCards:1408) — AS-IS 시그니처 복원 오버로드,CardEffectCommons.cs 미러 partial로 파일명 정본화(흡수)
Script/CardEffectCommons/TurnOwnershipHelpers.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons/GameContextDeterminarion.cs:780-782,AS-IS IsOwnerTurn/IsOpponentTurn가 GameContextDeterminarion.cs:780-782에 실존; 미러 GameContextDeterminarion.cs도 존재하나 아직 미정의; 소비자=CardEffectCommons.cs,GameContextDeterminarion.cs로 이관
Script/CardEffectCommons/EffectTiming.cs,REHOUSED,DCGO/Assets/Scripts/Script/ICardEffect.cs:969,AS-IS enum EffectTiming의 정본 위치는 ICardEffect.cs:969; 미러 ICardEffect.cs도 존재하나 enum을 별도 CardEffectCommons/EffectTiming.cs로 분리 하우징(선별 부분집합+재정렬); ToTriggerName은 substrate 편의,ICardEffect.cs 미러 정본 위치로 enum 이관
Script/CardEffectCommons/PermanentBookkeepingStore.cs,SUBSTRATE,DCGO/Assets/Scripts/Script/Permanent.cs:3686-3941,필드셋(PlayingEffect:3686·LevelJustAfterPlayed:3890·CardNamesJustAfterPlayed:3898·IsBurstDigivolved:3938 등)은 AS-IS Permanent 인스턴스 필드; 뷰-기반 미러 Permanent가 인스턴스 상태를 못 담아 ConditionalWeakTable 매치스코프 스토어로 객체-수명 번역(R4 문서화 결정),Headless/State로 이주(뷰-Permanent 부기 필드 substrate 반영)
Script/CardEffectCommons/ContinuousAndRestrictionEffects.cs,MIXED,CardEffects/CanNotMoveClass.cs; CardEffects/CanNotSelectBySkillClass.cs; no AS-IS BareCauseEffect,"~90% tombstone comments (deleted invented old-model EffectBinding carriers). 3 live types: CanNotMoveEffect (ICanNotMoveEffect joint-carrier, AS-IS analogue=CanNotMoveClass.cs, consumed by CardEffectFactory+Permanent.CanMove), CanNotSelectBySkillEffect (ICanNotSelectBySkillEffect joint-carrier, AS-IS analogue=CanNotSelectBySkillClass.cs, consumed by SelectPermanentEffect+Permanent.CanSelectBySkill), BareCauseEffect (invented substrate cause-stub collapsing causing-effect to EffectSourceCard, ~30 live consumers incl MatchStateMutationSink/GiveEffect/*)",Split: rehouse the two restriction joint-carriers into the CardEffects/ kind-class neighborhood (next to CanNotMoveClass.cs / CanNotSelectBySkillClass.cs) or a properly-named RestrictionCarriers.cs; move BareCauseEffect to Headless/Bridge substrate (peer of ActivatedHashtableBridge.CauseStub); drop tombstone comments once the atomic registry-scan deletion lands
Script/CardEffectCommons/TriggeredEffects.cs,INVENTED,none (all content deleted),"49 lines: namespace + usings + 5 DELETED-tombstone comment blocks (StartOfMainAttackEffect / TriggeredMemoryEffect / TriggeredSetMemoryEffect / TriggeredGainMemoryEffect / PlaySelfAtEndOfBattleTriggerEffect). ZERO live symbols. Every documented type was an invented old-model registry/scheduler triggered effect, all retired to AS-IS inline ActivateClass idioms",Delete the file (empty tombstone shell); the deletion narratives already duplicate audit-log content
Script/CardEffectCommons/ProcessAccordingToResultBridge.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons.cs:437-644,8 AS-IS-signature Task overloads of the *AndProcessAccordingToResult mutation-helper family. All 8 exist in the AS-IS monolith CardEffectCommons.cs (Suspend:437 Delete:463 Bounce:489 DeckBounce:515 TrashLinkCards:567 TrashSecurity:593 TrashHand:619 PlacePermanentInSecurity:644) as IEnumerator methods. This file is a signature-adapter shim delegating to the mirror substrate translations (mirror CardEffectCommons.cs W6-S region); split off only because the substrate-edit ban blocked editing that file,"Fold these AS-IS-signature overloads into the mirror CardEffectCommons.cs partial (their true AS-IS home) once the substrate-edit prohibition lifts; faithful IEnumerator->Func<Task> translation, keep"
Script/CardEffectCommons/ActivatedEffectResolver.cs,SUBSTRATE,AutoProcessing.cs:57-118/770-887/1063-1088; MultipleSkills.cs:122/164/358-362; ICardEffect.cs:319-372/1116,"Headless execution seam: resolves a card's ActivateICardEffect effects at the ACTION layer that owns EngineContext+IChoiceProvider (the per-effect ResolveAsync lacks a choice provider). Heavily consumed by live actions (SecurityResolver, PlayCardAction, DigivolveAction, OptionActivateAction, MainSkillActivateAction, SkillWindowSupply). Bodies faithfully mirror AS-IS AutoProcessing/MultipleSkills/ICardEffect flow (gates CanActivateAt/CanCollectAt/CanDeclareAt = CanActivate/CanTrigger/CanUse; ResolveWithinCycleAsync = the deferred-choice + CEntityUseCycle register-before-body lifecycle). No AS-IS ActivatedEffectResolver type","Headless/ migration candidate (pure execution orchestration/plumbing, not AS-IS game-rule state); keep — it is load-bearing and its logic 1:1-cites the AS-IS resolution flow"
Script/CardEffectCommons/EffectChoiceHelpers.cs,INVENTED,none,"Substrate-flavored choice wrapper (EffectChoiceResolution record, ChoiceRequest builders, ResolveAsync over IChoiceProvider, EffectContext string-keyed values dict). Production consumers = 0 (whole-repo). Only consumer = its own dedicated white-box unit test tests/G3K-001.Effect.selection.helper.Tests. Live choice path is IChoiceProvider/ChoiceRequest directly (Headless/Choices); this EffectContext-values wrapper is superseded/unused","Delete file + retire G3K-001 test; dead invention (self-referential scaffolding, no real-card witness)"
Script/CardEffectCommons/RestrictionHelpers.cs,INVENTED,none (AS-IS = interface scans Permanent.CanMove/CanSelectBySkill/etc.),"Invented values-dictionary restriction model (CannotRestriction record, CannotRestrictionKind enum, Evaluate/Read from Metadata/Flags/EffectRequest.Values, string CannotXKey consts). No AS-IS analogue — AS-IS enforces restrictions via ICanNot* interface scans on Permanent/Player. Public Evaluate/Cannot*/RestrictionHelperFactory API: production-consumer 0, exercised only by white-box tests/G3H-002. ReadRestrictions has 1 consumer (ContinuousEffectEvaluator) but reads registry keys with no live writers (inert)",Dismantle: delete the dead public evaluator + factory + G3H-002 test; the CannotXKey/interface-mapping comments may be preserved as a reference note. ReadRestrictions dies with ContinuousEffectEvaluator's restriction sub-read (already inert)
Script/CardEffectCommons/OptionMainEffect.cs,REHOUSED,DCGO/Assets/Scripts/Script/CardEffectCommons.cs:711,"Byte-faithful 1:1 of AS-IS CardEffectCommons.OptionMainEffect(card) at monolith line 711 (verified exact: EffectList(OptionSkill).Find(e is ActivateClass && EffectDiscription.Contains([Main])) as ActivateClass). AS-IS home is the monolith, not a per-method sibling file; mirror split it into its own file",Fold into the mirror CardEffectCommons.cs partial (its true AS-IS home) for organizational fidelity; low priority — logic is exact
Script/CardEffectCommons/ZoneQueryHelpers.cs,INVENTED,none,"Invented zone read-model harness (ZoneQueryRequest/Card/Result records, Query with visibility rules, string-keyed values dict). No AS-IS analogue — AS-IS reads zones directly via Player fields. Production consumers = 0 (whole-repo); only consumer = dedicated white-box tests/G3F-002.Zone.query.helper.Tests",Delete file + retire G3F-002 test; dead invention
Script/CardEffectCommons/ReplacementHelpers.cs,INVENTED,none (AS-IS = immunity kind-classes / interface scans),"Invented values-dictionary replacement model (ReplacementEffect record, ReplacementEventKind/ActionKind enums, Evaluate/Read from Metadata/Flags, ImmuneFromX / PreventX keys). No AS-IS analogue — AS-IS handles prevention/immunity via ICannotReduceCostEffect/ImmuneFromDpMinus interface scans + kind-classes. Public Evaluate/Prevent*/Immune*/factory API: production-consumer 0, exercised only by white-box tests/G3I-001. ReadReplacements has 1 consumer (ContinuousEffectEvaluator) reading writer-less registry keys (inert)",Dismantle: delete dead public evaluator + factory + G3I-001 test; ReadReplacements dies with ContinuousEffectEvaluator's replacement sub-read (already inert)
Script/CardEffectCommons/ContinuousEffectEvaluator.cs,INVENTED,none (AS-IS computes continuous inline in Permanent/CardSource getters),Invented continuous-evaluation aggregator (ContinuousEvaluationRequest/Result records + values dict; Evaluate delegates to ModifierHelpers/RestrictionHelpers/ReplacementHelpers.ReadX). No AS-IS analogue — AS-IS scatters continuous computation into Permanent.DP/CardSource getters iterating field effects. LOAD-BEARING: consumed by Headless/Runtime ContinuousScopeEvaluation:49 -> ContinuousModifierGate/ContinuousRestrictionGate/BattleDeletionGate. Restriction/replacement sub-reads inert (no live writers); modifier read carries live continuous-DP signal. Also dedicated white-box tests/G3I-002. ResolveDp/Recalculate + registry-query overloads already deleted (comments),Retire toward AS-IS interface scans (endpoint = ContinuousScopeEvaluation reads AS-IS getters directly); cannot delete today (live continuous-modifier path). Not deletable in isolation — part of the invented continuous registry cluster being torn down
