headless_path,headless_area,purpose,asis_source_paths,asis_dependency,porting_notes
src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs,Bridge,ContinuousController global runtime/session flags replacement,DCGO/Assets/Scripts/Script/ContinuousController.cs,ContinuousController.instance; random/session/options/runtime flags,Keep AS-IS global option meaning but remove MonoBehaviour/Photon/scene lifecycle.
src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs,Bridge,Root dependency container for headless runtime services,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,GManager.instance; ContinuousController.instance; GetComponent<T>,Use as the single headless access point before replacing AS-IS singleton calls.
src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs,Bridge,GManager singleton and component lookup replacement,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/AttackProcess.cs,GManager.instance.turnStateMachine; autoProcessing; attackProcess; GetComponent<Effects>,Temporary bridge until direct EngineContext services replace AS-IS access.
src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs,Bridge,Policy for removed Unity-only objects during migration,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,GameObject; Transform; Image; SetActive; UI-only object references,Use to decide no-op/null-object behavior for visual-only dependencies.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs,Choices,Selectable entity exposed to AI/scripted policy,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectHandEffect.cs,RootCardSources; CanSelectedPermanets; hand card candidates,Maps UI candidate cards/permanents into stable ids and labels.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceOption.cs,Choices,One legal option in a choice result surface,DCGO/Assets/Scripts/Script/SelectCardPanel.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectCountEffect.cs,End selection buttons; selectable card/permanent/count options,Placeholder for UI option rows/buttons without UI.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs,Choices,Common request replacing Select*Effect SetUp data,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectHandEffect.cs; DCGO/Assets/Scripts/Script/SelectCountEffect.cs,SetUp parameters; canTargetCondition; canEndSelectCondition; maxCount; canNoSelect,Captures min/max count skip flag message candidates and source zone.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs,Choices,AI/scripted selected ids or selected count,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectCountEffect.cs,_targetCards; _targetPermanents; _selectedCount,Returned by IChoiceProvider instead of waiting for UI clicks.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceType.cs,Choices,Choice category enum,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectCountEffect.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,card selection; permanent selection; count selection; main phase action selection,Preserves the major decision types needed by RL action selection.
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceZone.cs,Choices,SelectCardEffect.Root replacement without UI dependency,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/CardEffectCommons.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,SelectCardEffect.Root Library/Trash/Clock/Security/Custom/Hand/Recollection/Execution/DigivolutionCards/LinkedCards/None,Keep this because Root is used by cost/rule/effect logic not only UI.
