gate,dependency,asis_kind,source_patterns,role_in_unity_client,headless_replacement_module,replacement_design,completion_criteria,priority,notes
Phase 1,UnityEngine,엔진 API,using UnityEngine; MonoBehaviour; GameObject; Transform,오브젝트; 씬; 컴포넌트; 프레임 루프; Unity 타입 제공,Runtime; State; Services; Bridge,모든 게임플레이 상태와 실행을 순수 .NET domain data와 service로 대체,Headless 기반 API가 UnityEngine 없이 후속 포팅을 받을 수 있음,HIGH,Phase 1 완료 전 후속 포팅 금지
Phase 1,MonoBehaviour,씬 생명주기,class X : MonoBehaviour; Awake; Start; Update; OnEnable; OnDisable,암묵적 생성과 lifecycle callback,Runtime/HeadlessGameLoop; EngineContext,initialize; reset; step; dispose contract로 대체,gameplay lifecycle이 Unity callback에 의존하지 않음,HIGH,Start/Update 기준부터 먼저 닫아야 함
Phase 1,Coroutine,비동기 순서 제어,IEnumerator; StartCoroutine; StopCoroutine; WaitForSeconds; WaitWhile,효과; 공격; 선택 대기; 애니메이션 gate,Coroutines; Effects; Runtime,deterministic engine task와 pending state로 대체,gameplay coroutine flow가 frame timing 없이 표현됨,HIGH,효과 포팅 선행 조건
Phase 1,GameObject Component,씬 오브젝트 그래프,GetComponent; FindObjectOfType; Instantiate; Destroy; activeSelf,카드; 효과; UI object를 scene hierarchy에 저장,State; Services; Effects; Bridge,stable id; repository; zone state; effect registry로 대체,rule/effect가 scene object를 검색하지 않음,HIGH,카드 이동 포팅 선행 조건
Phase 1,Transform,공간 계층,transform parent/children; SetParent; sibling index,zone membership와 card order 표현,State/ZoneState; IZoneMover,ordered zone collection과 card movement event로 대체,deck/security/source order가 data로 유지됨,HIGH,GameObject 제거의 핵심
Phase 1,Resources,Asset 로딩,Resources.Load; Resources.LoadAll,card; prefab; sprite; text; scriptable data 로드,DataLoading/CardAssetJsonLoader; CardDatabase,gameplay data는 file/JSON/database loader로 대체,match data loading이 Unity runtime을 요구하지 않음,HIGH,asset 포팅 전에 contract 필요
Phase 1,ScriptableObject,데이터 컨테이너,ScriptableObject card/master assets,card definition과 effect metadata 저장,DataLoading; CardDatabase,versioned JSON/domain record로 대체,필수 card data가 Unity serialization 없이 조회됨,HIGH,CardBaseEntity 변환 후 연결
Phase 1,Prefab,시각 오브젝트 템플릿,card prefabs; Instantiate(prefab),display card와 attached component 생성,State/CardInstance; EffectRegistry,card record에서 data card instance를 생성하고 effect는 registry로 binding,card instance가 prefab을 요구하지 않음,HIGH,prefab-only field는 제외
Phase 1,Unity UI,입력과 표시,Button; Text; Image; Canvas; EventSystem; Pointer events,버튼; 카드 클릭; 선택 popup; prompt,Choices; Runtime Action Model,UI input을 action과 choice request로 대체,gameplay-affecting UI input이 모두 action/choice equivalent 보유,HIGH,Select*Effect는 제외하면 안 됨
Phase 1,SelectCardEffect Family,UI 선택,SelectCardEffect; SelectPermanentEffect; SelectCountEffect; SelectHandEffect; SelectAttackEffect,modal choice 표시와 selected target 반환,Choices,ChoiceRequest와 ChoiceResult로 후보; zone; count; visibility 표현,모든 effect/action choice가 serializable하고 policy-resolvable,HIGH,룰 의미를 보존해야 함
