Goal ID,단계,영역,목표,상세 지시서,결과 문서,선행 Goal
G0-001,Phase 0 - 설계/테스트 정책 확정,설계,설계 산출물 확정,docs/goal-specs/G0-001_설계_산출물_확정.md,docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,없음
G0-002,Phase 0 - 설계/테스트 정책 확정,테스트,테스트 정책 확정,docs/goal-specs/G0-002_테스트_정책_확정.md,docs/test-results/goals/G0-002_test_policy_unit_test_results.md,G0-001
G0-003,Phase 0 - 설계/테스트 정책 확정,단계 완료 게이트,Phase 1 착수 게이트 검증,docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md,docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,G0-002
G1A-001,Phase 1 - Unity 대체 기반 구현,런타임,Runtime DTO 모델 고정,docs/goal-specs/G1A-001_runtime_dto_모델_고정.md,docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,G0-003
G1A-002,Phase 1 - Unity 대체 기반 구현,런타임,Match lifecycle 계약,docs/goal-specs/G1A-002_match_lifecycle_계약.md,docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,G1A-001
G1A-003,Phase 1 - Unity 대체 기반 구현,런타임,Action 입력 결과 계약,docs/goal-specs/G1A-003_action_입력_결과_계약.md,docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,G1A-001
G1A-004,Phase 1 - Unity 대체 기반 구현,런타임,Observation LegalAction 계약,docs/goal-specs/G1A-004_observation_legalaction_계약.md,docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,G1A-001
G1A-005,Phase 1 - Unity 대체 기반 구현,런타임,Runtime aggregate 결과 문서,docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md,docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,G1A-002; G1A-003; G1A-004
G1B-001,Phase 1 - Unity 대체 기반 구현,상태/존,Stable ID와 entity registry,docs/goal-specs/G1B-001_stable_id와_entity_registry.md,docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,G1A-001
G1B-002,Phase 1 - Unity 대체 기반 구현,상태/존,MatchState PlayerState,docs/goal-specs/G1B-002_matchstate_playerstate.md,docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,G1B-001
G1B-003,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneState,docs/goal-specs/G1B-003_zonestate.md,docs/test-results/goals/G1B-003_zone_state_unit_test_results.md,G1B-002
G1B-004,Phase 1 - Unity 대체 기반 구현,상태/존,CardInstanceState,docs/goal-specs/G1B-004_cardinstancestate.md,docs/test-results/goals/G1B-004_card_instance_state_unit_test_results.md,G1B-003
G1B-005,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneMover,docs/goal-specs/G1B-005_zonemover.md,docs/test-results/goals/G1B-005_zone_mover_unit_test_results.md,G1B-003; G1B-004
G1B-006,Phase 1 - Unity 대체 기반 구현,상태/존,State snapshot fingerprint,docs/goal-specs/G1B-006_state_snapshot_fingerprint.md,docs/test-results/goals/G1B-006_state_snapshot_fingerprint_unit_test_results.md,G1B-005
G1C-001,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,EngineContext,docs/goal-specs/G1C-001_enginecontext.md,docs/test-results/goals/G1C-001_engine_context_unit_test_results.md,G1A-002
G1C-002,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,GManagerBridge,docs/goal-specs/G1C-002_gmanagerbridge.md,docs/test-results/goals/G1C-002_gmanager_bridge_unit_test_results.md,G1C-001
G1C-003,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,ContinuousContext,docs/goal-specs/G1C-003_continuouscontext.md,docs/test-results/goals/G1C-003_continuous_context_unit_test_results.md,G1C-001
G1C-004,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,Unity-only exclusion policy,docs/goal-specs/G1C-004_unity_only_exclusion_policy.md,docs/test-results/goals/G1C-004_unity_exclusion_policy_unit_test_results.md,G1C-002; G1C-003
G1D-001,Phase 1 - Unity 대체 기반 구현,코루틴 대체,EngineTask contract,docs/goal-specs/G1D-001_enginetask_contract.md,docs/test-results/goals/G1D-001_engine_task_contract_unit_test_results.md,G1A-002
G1D-002,Phase 1 - Unity 대체 기반 구현,코루틴 대체,WaitCondition,docs/goal-specs/G1D-002_waitcondition.md,docs/test-results/goals/G1D-002_wait_condition_unit_test_results.md,G1D-001
G1D-003,Phase 1 - Unity 대체 기반 구현,코루틴 대체,CoroutineAdapter,docs/goal-specs/G1D-003_coroutineadapter.md,docs/test-results/goals/G1D-003_coroutine_adapter_unit_test_results.md,G1D-002
G1D-004,Phase 1 - Unity 대체 기반 구현,코루틴 대체,TaskRunner 안정화,docs/goal-specs/G1D-004_taskrunner_안정화.md,docs/test-results/goals/G1D-004_task_runner_unit_test_results.md,G1D-003
G1E-001,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice schema,docs/goal-specs/G1E-001_choice_schema.md,docs/test-results/goals/G1E-001_choice_schema_unit_test_results.md,G1A-003
G1E-002,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ChoiceResult validation,docs/goal-specs/G1E-002_choiceresult_validation.md,docs/test-results/goals/G1E-002_choice_result_validation_unit_test_results.md,G1E-001
G1E-003,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ScriptedChoiceProvider,docs/goal-specs/G1E-003_scriptedchoiceprovider.md,docs/test-results/goals/G1E-003_scripted_choice_provider_unit_test_results.md,G1E-002
G1E-004,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,PolicyChoiceProvider,docs/goal-specs/G1E-004_policychoiceprovider.md,docs/test-results/goals/G1E-004_policy_choice_provider_unit_test_results.md,G1E-002
G1E-005,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice pause resume contract,docs/goal-specs/G1E-005_choice_pause_resume_contract.md,docs/test-results/goals/G1E-005_choice_pause_resume_unit_test_results.md,G1E-003; G1E-004
G1F-001,Phase 1 - Unity 대체 기반 구현,효과 처리,Effect request context schema,docs/goal-specs/G1F-001_effect_request_context_schema.md,docs/test-results/goals/G1F-001_effect_context_schema_unit_test_results.md,G1B-001; G1E-001
G1F-002,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectResolutionQueue,docs/goal-specs/G1F-002_effectresolutionqueue.md,docs/test-results/goals/G1F-002_effect_resolution_queue_unit_test_results.md,G1F-001
G1F-003,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectScheduler,docs/goal-specs/G1F-003_effectscheduler.md,docs/test-results/goals/G1F-003_effect_scheduler_unit_test_results.md,G1F-002; G1E-005
G1F-004,Phase 1 - Unity 대체 기반 구현,효과 처리,TimingWindowResolver contract,docs/goal-specs/G1F-004_timingwindowresolver_contract.md,docs/test-results/goals/G1F-004_timing_window_contract_unit_test_results.md,G1F-003
G1F-005,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectRegistry contract,docs/goal-specs/G1F-005_effectregistry_contract.md,docs/test-results/goals/G1F-005_effect_registry_contract_unit_test_results.md,G1F-001
G1F-006,Phase 1 - Unity 대체 기반 구현,효과 처리,Continuous Replacement query contract,docs/goal-specs/G1F-006_continuous_replacement_query_contract.md,docs/test-results/goals/G1F-006_continuous_replacement_query_unit_test_results.md,G1F-005
G1G-001,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Player session model,docs/goal-specs/G1G-001_player_session_model.md,docs/test-results/goals/G1G-001_player_session_model_unit_test_results.md,G1B-001
G1G-002,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Action queue replay metadata,docs/goal-specs/G1G-002_action_queue_replay_metadata.md,docs/test-results/goals/G1G-002_action_queue_replay_unit_test_results.md,G1G-001; G1A-003
G1G-003,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Photon dependency guard,docs/goal-specs/G1G-003_photon_dependency_guard.md,docs/test-results/goals/G1G-003_photon_dependency_guard_unit_test_results.md,G1G-002
G1H-001,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Card repository contract,docs/goal-specs/G1H-001_card_repository_contract.md,docs/test-results/goals/G1H-001_card_repository_contract_unit_test_results.md,G1B-001
G1H-002,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Card JSON loader,docs/goal-specs/G1H-002_card_json_loader.md,docs/test-results/goals/G1H-002_card_json_loader_unit_test_results.md,G1H-001
G1H-003,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Deck list loader,docs/goal-specs/G1H-003_deck_list_loader.md,docs/test-results/goals/G1H-003_deck_list_loader_unit_test_results.md,G1H-001
G1H-004,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Banlist loader,docs/goal-specs/G1H-004_banlist_loader.md,docs/test-results/goals/G1H-004_banlist_loader_unit_test_results.md,G1H-001
G1H-005,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Unity asset exclusion guard,docs/goal-specs/G1H-005_unity_asset_exclusion_guard.md,docs/test-results/goals/G1H-005_unity_asset_exclusion_guard_unit_test_results.md,G1H-002; G1H-003
G1I-001,Phase 1 - Unity 대체 기반 구현,진단/결정성,Seeded random,docs/goal-specs/G1I-001_seeded_random.md,docs/test-results/goals/G1I-001_seeded_random_unit_test_results.md,G1A-001
G1I-002,Phase 1 - Unity 대체 기반 구현,진단/결정성,EngineTrace,docs/goal-specs/G1I-002_enginetrace.md,docs/test-results/goals/G1I-002_engine_trace_unit_test_results.md,G1A-001
