source_kind,dependency,category,dotnet_action,path,line,symbol,notes
using,Coffee.UIExtensions,UIEffect,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/ParticleEffectForUGUI-main/Samples~/Cartoon FX & War FX Demo/CFX_Demo_With_UIParticle.cs,4,Coffee.UIExtensions,UGUI visual effect add-on. Headless engine should not depend on it.
using,Coffee.UIExtensions,UIEffect,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/ParticleEffectForUGUI-main/Scripts/UIParticle.cs,7,Coffee.UIParticleExtensions,UGUI visual effect add-on. Headless engine should not depend on it.
using,Coffee.UIExtensions,UIEffect,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/ParticleEffectForUGUI-main/Scripts/UIParticleUpdater.cs,3,Coffee.UIParticleExtensions,UGUI visual effect add-on. Headless engine should not depend on it.
using,Coffee.UIExtensions,UIEffect,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/ParticleEffectForUGUI-main/Scripts/Editor/AnimatedPropertiesEditor.cs,5,Coffee.UIExtensions.AnimatableProperty.ShaderPropertyType,UGUI visual effect add-on. Headless engine should not depend on it.
using,TextMeshPro,UI,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/TextMesh Pro/Examples & Extras/Scripts/ChatController.cs,3,TMPro,Text rendering/UI dependency. Keep out of headless runtime.
using,TextMeshPro,UI,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/TextMesh Pro/Examples & Extras/Scripts/DropdownSample.cs,1,TMPro,Text rendering/UI dependency. Keep out of headless runtime.
using,TextMeshPro,UI,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/TextMesh Pro/Examples & Extras/Scripts/EnvMapAnimator.cs,3,TMPro,Text rendering/UI dependency. Keep out of headless runtime.
using,TextMeshPro,UI,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_ExampleScript_01.cs,4,TMPro,Text rendering/UI dependency. Keep out of headless runtime.
using,WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLInput/WebGLInput.cs,9,AOT,WebGL browser input helper. Not relevant to headless engine.
using,WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLInput/Mobile/WebGLInputMobile.cs,6,AOT,WebGL browser input helper. Not relevant to headless engine.
using,WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLInput/Wrapper/WrappedInputField.cs,3,WebGLSupport.Detail,WebGL browser input helper. Not relevant to headless engine.
using,TextMeshPro,UI,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLInput/Wrapper/WrappedTMPInputField.cs,7,TMPro,Text rendering/UI dependency. Keep out of headless runtime.
using,WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLInput/Wrapper/WrappedTMPInputField.cs,8,WebGLSupport.Detail,WebGL browser input helper. Not relevant to headless engine.
using,WebGLInput,PlatformInput,IGNORE_FOR_HEADLESS,DCGO/Assets/AddOn/WebGLInput-master/Assets/WebGLSupport/WebGLWindow/WebGLWindow.cs,2,AOT,WebGL browser input helper. Not relevant to headless engine.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/AttachCardPoolPrefab.cs,10,Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/AttachCardPoolPrefab.cs,11,Photon.Pun,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,WebSocketSharp,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/JSONLoader_CardEntity.cs,13,WebSocketSharp,WebSocket transport dependency from Photon stack. Not needed for local headless simulation.
using,WebSocketSharp,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/Fixing Scripts/FindInconsistentCardType.cs,12,WebSocketSharp,WebSocket transport dependency from Photon stack. Not needed for local headless simulation.
using,WebSocketSharp,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/Fixing Scripts/FindInconsistentNaming.cs,12,WebSocketSharp,WebSocket transport dependency from Photon stack. Not needed for local headless simulation.
using,WebSocketSharp,Network,REMOVE_OR_REPLACE,DCGO/Assets/Editor/Fixing Scripts/MatchClassNames.cs,8,WebSocketSharp,WebSocket transport dependency from Photon stack. Not needed for local headless simulation.
