port_file	original	port	what_differs
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:86	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:125	IDiscardHand ctor `Hashtable hashtable` param and the `hashtable` property dropped (dead in original Discard, never read)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:105	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:148	`CardEffectCommons.IsExistOnTrash(cardSource)` (which the mirror still provides) replaced by inline `zones.GetCards(Owner, ChoiceZone.Trash).Contains(InstanceId)`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:865	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:3601	`!card.CanPlayCardTargetFrame(targetPermanents[0].PermanentFrame, PayCost, CardEffect, root, fixedCost:-1)` replaced by inline `targetPermanents[0].OwnerId != card.Owner || !card.CanEvolve(targetPermanents[0], true)`, which omits the helper's `PermanentOfThisCard()!=null && this==TopCard && HasNoDigivolutionCards ⇒ false` branch (CardSource.cs:1128-1137)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1056	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:281	entire HatchDigiEggClass relocated to InMemoryZoneMover.HatchDigitamaAsync and reduced to a raw DigitamaLibrary→BreedingArea move (MoveFromZoneTop count:1)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1069	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:286	`if (_player == null) yield break;` silent skip became `ValidatePlayerId(playerId)` which throws on invalid id
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1070	ABSENT	`if (!_player.CanHatch) yield break;` guard absent from port's HatchDigitamaAsync (relocated to call sites BT1_089/TfxHatch)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1074	ABSENT	PlayPermanentClass path (SetIsBreedingArea/SetIsHatching + PlayPermanent) dropped, so no ETB OnEnterFieldAnyone window fires on hatch
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:1089	ABSENT	`card.PermanentOfThisCard().EnterFieldTurnCount = -1` not set on the hatched permanent (only PermanentBookkeepingStore.Reset to defaults via MoveCard)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2102	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:508	`!_player.CanAddSecurity(_cardEffect)` (Player.cs:1469-1517 = IsSecurityLooking guard AND the ICannotAddSecurityEffect restriction scan) became `!SecurityRuleGateSeam.CanAddSecurity(...)` which runs ONLY the IsSecurityLooking guard half, so the ICannotAddSecurityEffect scan (present in mirror Player.CanAddSecurity, src Player.cs:494-524) is bypassed for Recovery
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2141	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:682	`_permanent.ImmuneFromStackTrashing(_cardEffect)` wrapped in private `ImmuneFromStackTrashing()` that adds a `CauseEffectSourceId is null/empty -> return false` early-return before the AS-IS call (extra branch, claimed equivalent to null-cause no-match)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2335	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5376	instance call `autoProcessing_CutIn.HasAwaitingActivateEffects()` replaced by private static helper HasAwaitingActivateEffects(autoProcessing_CutIn) because port AutoProcessing surface does not expose HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2501	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5544	instance call `autoProcessing_CutIn.HasAwaitingActivateEffects()` replaced by private static helper HasAwaitingActivateEffects(autoProcessing_CutIn) because port AutoProcessing surface does not expose HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2662	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5707	instance call `autoProcessing_CutIn.HasAwaitingActivateEffects()` replaced by private static helper HasAwaitingActivateEffects(autoProcessing_CutIn) because port AutoProcessing surface does not expose HasAwaitingActivateEffects
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:2915	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2324	SkillInfo list/ctor `SkillInfo` → `CardEffectCommons.SkillInfo` (type relocated into CardEffectCommons)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3212	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2522	SkillInfo `SkillInfo` → `CardEffectCommons.SkillInfo` (type relocated)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3618	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5954	AS-IS `AddSecurityCard(topCard, faceUp:_isFaceup)` (toTop default true) plus the `if(!_toTop){SecurityCards.Remove;SecurityCards.Add}` demote block collapsed to single `AddSecurityCard(topCard, toTop:_toTop, faceUp:_isFaceup)`; the two-step insert-top-then-reposition dropped
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:3920	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4689	`turnStateMachine.isSecurityCehck = true` assignment dropped; mirror TurnStateMachine omits the field though its sibling isExecuting was mirrored (only reader is NextPhaseButton UI)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4226	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4995	`turnStateMachine.isSecurityCehck = false` assignment dropped
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4263	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:749	`public List<CardSource> DestroyedSecurity = new()` public field changed to get-only auto-property
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4282	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:765	`!_player.CanReduceSecurity()` changed to `!SecurityRuleGateSeam.CanReduceSecurity(_context, _playerId)` (rule relocated to substrate seam)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4731	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:5269	Pierce filter `.Filter(predicate)` changed to `.Where(predicate).ToList()`; AS-IS Filter extension (IEnumerableExtension.cs:44) not used, functionally equivalent
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4813	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:913	SelectCountEffect interactive count-choice block (4813-4835, sets `_degenerationCount=count`) replaced by no-op stub `if(_degenerationCountRuling is null){ _=maxCount; }` (design item MIG3-DEGEN-COUNTSELECT)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4852	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:939	StopCondition Level==3 branch drops inner `_permanent.TopCard != null` null-guard: nested `if(Level==3){if(TopCard!=null){if(TopCard.HasLevel)}}` flattened to `Level==3 && current.TopCard.HasLevel`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:4897	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:960	`_permanent.TopCard.SetChangedLocationTime()` (timestamp for continuous-effect start) not ported (design item MIG3-LOCATIONTIME)
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5219	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:1264	AceOverflow + RemoveFromAllArea + AddTrashCard(IsToken) loop replaced by `Permanent.TrashSpecificSourcesAsync`, which applies overflow over the FIXED list rather than the ORIG unfixed `_trashTargetCards`
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5295	ABSENT	live `if(autoProcessing_CutIn.HasAwaitingActivateEffects()){...TriggeredSkillProcess(false,HasExecutedSameEffect)}` drain block (executable in original, only the StackSkillInfos push is commented out) dropped entirely, reduced to a comment
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5616	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:1851	added defensive `if (permanent == null) continue;` in suspend loop (original would NPE)
