tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Runtime/OptionColorRequirement.cs,other,"옵션 카드의 색상요구조건 충족여부를 미러 CardSource.MatchColorRequirement에 위임하는 게이트; thin delegate이나 결과는 '옵션 플레이 가능여부'를 판정하는 규칙계산(ContinuousModifierGate 선례와 동형)"
src/HeadlessDCGO.Engine/Headless/Runtime/OverclockEffect.cs,other,"Overclock 키워드의 대상후보 산출(토큰/트레잇 일치 스캔)·선택요청 구성·강제삭제·유발공격 개시를 substrate가 직접 계산·실행하는 카드 규칙 로직(주석상 잔존=R3 몫으로 명시)"
src/HeadlessDCGO.Engine/Headless/Runtime/PlayCardAction.cs,other,"PlayCard 액션의 합법성 판정 전량(Option타입 배제·Assembly 재료 백트래킹매칭·비용 산정·필드배치 제한 CanEnterField)과 진입 파이프라인 실행을 substrate가 직접 계산·수행하는 게임 규칙 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/PlayerTurnCounterController.cs,Unity대체,"플레이어별 턴-스코프 정수 카운터(DigivolveCount_ThisTurn 등) 저장 딕셔너리; Increment/Get/Clear만 수행하는 판정없는 순수 상태홀더"
src/HeadlessDCGO.Engine/Headless/Runtime/ProgressImmunity.cs,other,"Progress 키워드의 공격중 상대효과 면역을 CanNotAffectedClass 조건함수(CardCondition/SkillCondition)로 직접 구축·등록하는 카드 규칙 로직"
src/HeadlessDCGO.Engine/Headless/Runtime/RevealAndSelect.cs,other,"라이브러리 리빌+다중조건 순차선택(mutualConditions)·잔여카드 배치순서(top/bottom 지정)·ProcessForAll 등 AS-IS RevealLibrary 규칙 전체를 계산·실행하는 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/SecurityFaceState.cs,Unity대체,"시큐리티 카드의 face-up 여부를 인스턴스 메타데이터 플래그로 저장(Stamp)/조회(IsFaceUpInSecurity)만 하는 순수 상태홀더 — 판정 로직 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/SecurityResolver.cs,other,"시큐리티체크 루프(Strike 카운트·StopSecurityCheck 재평가)·시큐리티 디지몬 전투 DP비교·PRE cut-in창·강제삭제 파이널라이즈 등 방대한 전투/체크 규칙을 계산·실행하는 대형 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/SessionContext.cs,Unity대체,"세션ID/플레이어목록/턴번호/로컬플레이어 관점을 보유하는 불변 레코드; 판정없는 순수 세션 상태홀더(엔진 라이브 소비자 없음, 테스트 전용 모델)"
src/HeadlessDCGO.Engine/Headless/Runtime/SpecialPlayAction.cs,other,"DigiXros/DNA/Blast/Burst 특수플레이의 합법행동 산출(재료 백트래킹 매칭·트레이트/탬버 조건 평가)과 실행 전량을 계산하는 카드 규칙 실소스"
src/HeadlessDCGO.Engine/Headless/Runtime/StepResult.cs,RL api,"IsTerminal/HasPendingChoice/Events/Observation/ActionMask를 담는 env step() 반환 계약 레코드; 원본에 없는 RL 표면 데이터모델, 규칙계산 없음"
src/HeadlessDCGO.Engine/Headless/Runtime/TerminalEvaluator.cs,other,"플레이어 패배플래그를 모아 PlayerRuleAdapter.EvaluateLoseFlag로 평가해 종료판정을 산출; thin bridge이나 결과는 승패 규칙판정(ContinuousModifierGate 선례와 동형)"
src/HeadlessDCGO.Engine/Headless/Runtime/TurnFlowDriver.cs,Photon대체,"에이전트 LegalAction을 AS-IS MainPhaseAction 패킷으로 변환·큐잉하는 네트워크/UI 입력전송 대체 — 주석상 명시적으로 'AS-IS network/UI transport seat'(NextPhaseButton.OnClick 패킷생산 규율)를 대체함"
src/HeadlessDCGO.Engine/Headless/Runtime/TurnFlowPump.cs,Unity대체,"AS-IS TurnStateMachine 코루틴 체인(yield return WaitUntil)의 async 대체 펌프(TurnFlowGate/TurnFlowPumpHost/TurnFlowPumpTask) — 명시적 코루틴-프레임 대체 인프라; 단계별 실제 규칙호출은 미러 위임"
src/HeadlessDCGO.Engine/Headless/Runtime/TurnStepCursor.cs,Unity대체,"페이즈 내부 진행위치를 나타내는 순수 열거형 상태홀더(구 9-value 페이즈모델을 (phase,cursor) 좌표쌍으로 대체); 판정 로직 없음"
src/HeadlessDCGO.Engine/Headless/Services/CardInstanceRecord.cs,Unity대체,"카드 인스턴스 저장 레코드(InstanceId/DefinitionId/OwnerId/Metadata); 순수 데이터 저장 모델, 판정 없음"
src/HeadlessDCGO.Engine/Headless/Services/CardQuery.cs,Unity대체,"카드정의 저장소 질의 필터 레코드(카드번호/이름/타입 매칭 Matches); 저장소 조회 유틸, 규칙계산 없음"
src/HeadlessDCGO.Engine/Headless/Services/CardRecord.cs,Unity대체,"카드 정의 저장 레코드(이름/타입/비용/메타데이터)+타입일치 헬퍼(IsCardType 메타데이터 조회); 순수 카드정의 저장 모델"
src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs,Unity대체,"결정론적 xoshiro256** 기반 PRNG(시드리셋/셔플/정수·실수뽑기); criteria에 명시된 Unity Random 대체 RNG 예시 그 자체"
src/HeadlessDCGO.Engine/Headless/Services/HeadlessEntityId.cs,Unity대체,"카드/개체 식별자 값타입+JSON변환기; criteria에 명시된 엔티티ID 대체 예시 그 자체"
src/HeadlessDCGO.Engine/Headless/Services/HeadlessEntityRegistry.cs,Unity대체,"플레이어/카드정의/카드인스턴스 등록소(중복검증·조회·정렬스냅샷); criteria에 명시된 레지스트리 대체 예시"
src/HeadlessDCGO.Engine/Headless/Services/HeadlessPlayerId.cs,Unity대체,"플레이어 식별자 값타입+JSON변환기; Unity/Photon 액터ID를 대체하는 순수 식별자 모델"
src/HeadlessDCGO.Engine/Headless/Services/ICardInstanceRepository.cs,Unity대체,"카드 인스턴스 저장소 인터페이스 계약(Upsert/TryGetInstance/Snapshot); 저장소 계약, 규칙없음"
src/HeadlessDCGO.Engine/Headless/Services/ICardRepository.cs,Unity대체,"카드 정의 저장소 인터페이스 계약(GetCard/Query/Snapshot); 저장소 계약, 규칙없음"
src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionController.cs,RL api,"합법행동 목록 추가/제거/초기화를 노출하는 컨트롤러 계약; ActionMask(RL api 선례)가 소비하는 에이전트향 액션공간 관리 표면, 규칙계산 없음"
src/HeadlessDCGO.Engine/Headless/Services/IHeadlessLegalActionSeeder.cs,RL api,"합법행동 목록을 시딩하는 최소 계약; 원본에 없는 RL/에이전트 액션공간 표면의 일부"
src/HeadlessDCGO.Engine/Headless/Services/IHeadlessMatchStateResettable.cs,Unity대체,"매치상태 리셋 메서드 1개짜리 생명주기 계약(ResetMatchState); Unity 씬 재시작/리셋을 대체하는 인터페이스, 규칙없음"
src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,Unity대체,"Info/Warn/Error 로깅 계약; GManagerBridge.Log가 소비하는 Unity Debug.Log 대체 인터페이스"
src/HeadlessDCGO.Engine/Headless/Services/IRandomSeedController.cs,Unity대체,"RNG 시드 리셋 계약(+CurrentSeed 리더 IRandomStateReader); GameRandomSource의 결정론 시드제어 인터페이스, Unity Random 대체 계열"
src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs,Unity대체,"정수/실수뽑기·셔플 RNG 계약; Unity Random 대체 인터페이스"
src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs,RL api,"GetLegalActions/IsTerminal을 노출하는 규칙질의 계약; 원본에 없는 RL env 표면(legal_actions/done)의 서비스 계약(DcgoMatch RL api 선례와 동형)"
