Goal ID,단계,영역,목표,짧은 Goal 프롬프트,상세 지시서,결과 문서,선행 Goal,완료 기준,프롬프트 글자 수
G0-001,Phase 0 - 설계/테스트 정책 확정,설계,설계 산출물 확정,"HeadlessDCGO.Engine Goal G0-001만 수행하라.
목표: 설계 산출물 확정
상세 지시서: docs/goal-specs/G0-001_설계_산출물_확정.md
선행 Goal: 없음
결과 문서: docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: 문서와 CSV가 검증됨",docs/goal-specs/G0-001_설계_산출물_확정.md,docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,없음,문서와 CSV가 검증됨,336
G0-002,Phase 0 - 설계/테스트 정책 확정,테스트,테스트 정책 확정,"HeadlessDCGO.Engine Goal G0-002만 수행하라.
목표: 테스트 정책 확정
상세 지시서: docs/goal-specs/G0-002_테스트_정책_확정.md
선행 Goal: G0-001
결과 문서: docs/test-results/goals/G0-002_test_policy_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: 테스트 정책 문서가 검증됨",docs/goal-specs/G0-002_테스트_정책_확정.md,docs/test-results/goals/G0-002_test_policy_unit_test_results.md,G0-001,테스트 정책 문서가 검증됨,337
G0-003,Phase 0 - 설계/테스트 정책 확정,단계 완료 게이트,Phase 1 착수 게이트 검증,"HeadlessDCGO.Engine Goal G0-003만 수행하라.
목표: Phase 1 착수 게이트 검증
상세 지시서: docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md
선행 Goal: G0-002
결과 문서: docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Phase 1 착수 가능 판정",docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md,docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,G0-002,Phase 1 착수 가능 판정,355
G1A-001,Phase 1 - Unity 대체 기반 구현,런타임,Runtime DTO 모델 고정,"HeadlessDCGO.Engine Goal G1A-001만 수행하라.
목표: Runtime DTO 모델 고정
상세 지시서: docs/goal-specs/G1A-001_runtime_dto_모델_고정.md
선행 Goal: G0-003
결과 문서: docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Runtime DTO 테스트 통과",docs/goal-specs/G1A-001_runtime_dto_모델_고정.md,docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,G0-003,Runtime DTO 테스트 통과,363
G1A-002,Phase 1 - Unity 대체 기반 구현,런타임,Match lifecycle 계약,"HeadlessDCGO.Engine Goal G1A-002만 수행하라.
목표: Match lifecycle 계약
상세 지시서: docs/goal-specs/G1A-002_match_lifecycle_계약.md
선행 Goal: G1A-001
결과 문서: docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: lifecycle 테스트 통과",docs/goal-specs/G1A-002_match_lifecycle_계약.md,docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,G1A-001,lifecycle 테스트 통과,365
G1A-003,Phase 1 - Unity 대체 기반 구현,런타임,Action 입력 결과 계약,"HeadlessDCGO.Engine Goal G1A-003만 수행하라.
목표: Action 입력 결과 계약
상세 지시서: docs/goal-specs/G1A-003_action_입력_결과_계약.md
선행 Goal: G1A-001
결과 문서: docs/test-results/goals/G1A-003_action_contract_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: action 계약 테스트 통과",docs/goal-specs/G1A-003_action_입력_결과_계약.md,docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,G1A-001,action 계약 테스트 통과,359
G1A-004,Phase 1 - Unity 대체 기반 구현,런타임,Observation LegalAction 계약,"HeadlessDCGO.Engine Goal G1A-004만 수행하라.
목표: Observation LegalAction 계약
상세 지시서: docs/goal-specs/G1A-004_observation_legalaction_계약.md
선행 Goal: G1A-001
결과 문서: docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: observation legal action 테스트 통과",docs/goal-specs/G1A-004_observation_legalaction_계약.md,docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,G1A-001,observation legal action 테스트 통과,405
G1A-005,Phase 1 - Unity 대체 기반 구현,런타임,Runtime aggregate 결과 문서,"HeadlessDCGO.Engine Goal G1A-005만 수행하라.
목표: Runtime aggregate 결과 문서
상세 지시서: docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md
선행 Goal: G1A-002; G1A-003; G1A-004
결과 문서: docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Runtime 영역 완료",docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md,docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,G1A-002; G1A-003; G1A-004,Runtime 영역 완료,392
G1B-001,Phase 1 - Unity 대체 기반 구현,상태/존,Stable ID와 entity registry,"HeadlessDCGO.Engine Goal G1B-001만 수행하라.
목표: Stable ID와 entity registry
상세 지시서: docs/goal-specs/G1B-001_stable_id와_entity_registry.md
선행 Goal: G1A-001
결과 문서: docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: stable id 테스트 통과",docs/goal-specs/G1B-001_stable_id와_entity_registry.md,docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,G1A-001,stable id 테스트 통과,376
G1B-002,Phase 1 - Unity 대체 기반 구현,상태/존,MatchState PlayerState,"HeadlessDCGO.Engine Goal G1B-002만 수행하라.
목표: MatchState PlayerState
상세 지시서: docs/goal-specs/G1B-002_matchstate_playerstate.md
선행 Goal: G1B-001
결과 문서: docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: state 모델 테스트 통과",docs/goal-specs/G1B-002_matchstate_playerstate.md,docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,G1B-001,state 모델 테스트 통과,375
