tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/ContinuousController.cs,non,1,"TO-BE is a 7-line skeleton placeholder comment (""Skeleton only""); AS-IS has 1844 lines of real logic (token data, deck load/save, prefs, EndBattle coroutine, Photon utility classes, RandomUtility) entirely unported"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/HandCard.cs,non,1,"TO-BE is a 7-line skeleton placeholder comment; AS-IS has 1025 lines of real UI/state logic (SetUpHandCardImage, ShowPlayCost, ShowCostLevel, click/drag handling etc.) entirely unported"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/BlastDNADigivolution.cs,non,1,"SelectCardCoroutine: AS-IS only materializes the played Permanent when a valid frameID exists (PreferredFrame()!=null && 0<=frameID<fieldCardFrames.Count guard, lines 200-211); TO-BE unconditionally calls CreateNewPermanent(selectedCardSource, isSuspended:false) with no frame-capacity check, dropping that branch (frameless zone-append always succeeds) — documented in-file as a deliberate FRAME ADAPTATION, not a pure substrate translation"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/PermanentDetail.cs,non,1,"TO-BE is a 7-line skeleton placeholder comment; AS-IS has 444 lines of real logic (OpenUnitDetail effect-string building, keyword flags, AddDetails scan, animation) entirely unported"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Retaliation.cs,1to1,0,"대조 심볼 3개(GainRetaliation/CanActivateRetaliation/RetaliationProcess) 전부 일치(substrate 번역만). RetaliationProcess의 new DestroyPermanentsClass(...).Destroy() -> DeletePeremanentAndProcessAccordingToResult(...,null,null) 치환은 AS-IS 정의(CardEffectCommons.cs:463) 대조로 null/null 경로가 정확히 동일 동작임을 확인. .Some -> .Exists, CreateBuffEffect(순수 VFX) 제거만 차이"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotUnsuspend.cs,1to1,0,"대조 심볼 4개(GainCanNotUnsuspend/GainCantUnsuspendUntilOpponentTurnEnd/GainCantUnsuspendNextActivePhase/내부 Impl) 전부 일치(substrate 번역만: GManager.instance.turnStateMachine.gameContext -> GameContext(card.Context), CreateDebuffEffect VFX 제거, IEnumerator->Task)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Blitz.cs,non,1,"BlitzProcess: AS-IS는 beforeOnAttackCoroutine 유무와 무관하게 항상 동일 경로(CanActivateBlitz(cardSource,activateClass)->SelectAttackEffect.SetUp(cardEffect:activateClass))를 탐; TO-BE는 beforeOnAttackCoroutine==null이면 activateClass를 버리고 별도 오버로드 BlitzProcess(cardSource)로 위임(주석상 'design item RD-W3-7 residual' — cause가 no-hook 경로에 스레딩되지 않음을 자인)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectDNACondition.cs,1to1,0,"대조 심볼 4개(SetUp/ResetSelectDNAConditionClass/Activate/필드) 전부 일치(substrate 번역만: IEnumerator->Task, jogressCondition 프로퍼티->JogressConditionOf() 접근자, commandText UI 스트립)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotAttack.cs,1to1,0,"대조 심볼 2개(GainCanNotAttack + 공유 Impl) 전부 일치(substrate 번역만: IEnumerator->Task, CreateDebuffEffect VFX 제거)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeAttacked.cs,1to1,0,"대조 심볼 2개(GainCanNotBeAttacked + 공유 Impl) 전부 일치(substrate 번역만: IEnumerator->Task, CreateBuffEffect VFX 제거)"
