goal_id,phase,area,goal,scope,deliverables,unit_test_scope,result_document,blocked_until,completion_gate,priority
G0-001,Phase 0,Design,설계 산출물 확정,핵심 설계 문서와 CSV 확정,architecture design; modules csv; dependency csv; porting sequence,문서 존재와 CSV 파싱,docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,None,문서와 CSV가 검증됨,HIGH
G0-002,Phase 0,Testing,테스트 정책 확정,단위테스트 정책과 매트릭스 확정,unit test plan; unit test matrix,테스트 계획 문서와 매트릭스 파싱,docs/test-results/goals/G0-002_test_policy_unit_test_results.md,G0-001,테스트 정책 문서가 검증됨,HIGH
G0-003,Phase 0,Gate,Phase 1 착수 게이트 검증,Unity 대체 기반 선행 조건 확인,phase0 validation result,Phase 1 선행 조건과 후속 포팅 금지 확인,docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,G0-002,Phase 1 착수 가능 판정,HIGH
G1A-001,Phase 1,Runtime,Runtime DTO 모델 고정,MatchConfig StepResult MatchResult GameEvent 계약 고정,runtime model files,DTO 생성과 기본 불변성 테스트,docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,G0-003,Runtime DTO 테스트 통과,HIGH
G1A-002,Phase 1,Runtime,Match lifecycle 계약,Initialize Reset Step Result 계약 고정,DcgoMatch lifecycle API,lifecycle 호출 순서와 상태 전이 테스트,docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,G1A-001,lifecycle 테스트 통과,HIGH
G1A-003,Phase 1,Runtime,Action 입력 결과 계약,action payload와 처리 결과 계약 고정,HeadlessAction ActionProcessResult IllegalAction model,legal illegal action 결과 테스트,docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,G1A-001,action contract 테스트 통과,HIGH
G1A-004,Phase 1,Runtime,Observation LegalAction 계약,observe와 legal action 반환 계약 고정,ObservationSnapshot LegalAction ActionMask contract,empty state observation과 legal action contract 테스트,docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,G1A-001,observation legal action 테스트 통과,HIGH
G1A-005,Phase 1,Runtime,Runtime aggregate 결과 문서,Runtime contract Goal 결과 집계,Runtime test summary,Runtime Goal 결과 문서 링크 검증,docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,G1A-002; G1A-003; G1A-004,Runtime 영역 완료,HIGH
G1B-001,Phase 1,State,Stable ID와 entity registry,player card definition card instance id 기준 확정,HeadlessPlayerId HeadlessEntityId registry,id equality serialization uniqueness 테스트,docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,G1A-001,stable id 테스트 통과,HIGH
G1B-002,Phase 1,State,MatchState PlayerState,양 플레이어와 전역 상태 모델 확정,MatchState PlayerState,initial state snapshot 테스트,docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,G1B-001,state model 테스트 통과,HIGH
G1B-003,Phase 1,State,ZoneState,ordered hidden visible zone 모델 확정,ZoneState ZoneId Visibility model,deck hand security source order 테스트,docs/test-results/goals/G1B-003_zone_state_unit_test_results.md,G1B-002,zone state 테스트 통과,HIGH
G1B-004,Phase 1,State,CardInstanceState,카드 인스턴스 mutable state 확정,CardInstanceState,suspend face-up source modifier flag 테스트,docs/test-results/goals/G1B-004_card_instance_state_unit_test_results.md,G1B-003,card instance state 테스트 통과,HIGH
G1B-005,Phase 1,State,ZoneMover,카드 이동 mutation boundary 확정,IZoneMover ZoneMoveRequest CardMoved event,move insert remove shuffle event 테스트,docs/test-results/goals/G1B-005_zone_mover_unit_test_results.md,G1B-003; G1B-004,zone mover 테스트 통과,HIGH
G1B-006,Phase 1,State,State snapshot fingerprint,상태 snapshot과 fingerprint 결정성 확정,Snapshot Fingerprint service,same state same fingerprint 테스트,docs/test-results/goals/G1B-006_state_snapshot_fingerprint_unit_test_results.md,G1B-005,state 결정성 테스트 통과,HIGH
G1C-001,Phase 1,Bridge,EngineContext,service container와 current match context 확정,EngineContext,service registration lookup 테스트,docs/test-results/goals/G1C-001_engine_context_unit_test_results.md,G1A-002,EngineContext 테스트 통과,HIGH
G1C-002,Phase 1,Bridge,GManagerBridge,GManager instance 대체 mapping 확정,GManagerBridge,turn effect attack state service access 테스트,docs/test-results/goals/G1C-002_gmanager_bridge_unit_test_results.md,G1C-001,GManagerBridge 테스트 통과,HIGH
G1C-003,Phase 1,Bridge,ContinuousContext,ContinuousController 대체 config 확정,ContinuousContext MatchConfig mapping,seed option deck session config 테스트,docs/test-results/goals/G1C-003_continuous_context_unit_test_results.md,G1C-001,ContinuousContext 테스트 통과,HIGH
G1C-004,Phase 1,Bridge,Unity-only exclusion policy,Unity-only 접근 제외 정책 확정,UnityNullObjectPolicy,UI scene animation access exclusion 테스트,docs/test-results/goals/G1C-004_unity_exclusion_policy_unit_test_results.md,G1C-002; G1C-003,Unity-only exclusion 테스트 통과,HIGH
G1D-001,Phase 1,Coroutines,EngineTask contract,Headless task 계약 확정,IEngineTask EngineTaskStatus,task step completion error 테스트,docs/test-results/goals/G1D-001_engine_task_contract_unit_test_results.md,G1A-002,EngineTask contract 테스트 통과,HIGH
G1D-002,Phase 1,Coroutines,WaitCondition,WaitForSeconds WaitWhile 대체 조건 확정,EngineWaitCondition,seconds condition deterministic 테스트,docs/test-results/goals/G1D-002_wait_condition_unit_test_results.md,G1D-001,wait condition 테스트 통과,HIGH
G1D-003,Phase 1,Coroutines,CoroutineAdapter,IEnumerator adapter 확정,CoroutineAdapter,nested enumerator completion 테스트,docs/test-results/goals/G1D-003_coroutine_adapter_unit_test_results.md,G1D-002,CoroutineAdapter 테스트 통과,HIGH
G1D-004,Phase 1,Coroutines,TaskRunner 안정화,task queue runner 확정,EngineTaskRunner,run until idle queue order error propagation 테스트,docs/test-results/goals/G1D-004_task_runner_unit_test_results.md,G1D-003,TaskRunner 테스트 통과,HIGH
G1E-001,Phase 1,Choices,Choice schema,choice request candidate zone type schema 확정,ChoiceRequest ChoiceCandidate ChoiceType ChoiceZone,schema validation 테스트,docs/test-results/goals/G1E-001_choice_schema_unit_test_results.md,G1A-003,Choice schema 테스트 통과,HIGH
G1E-002,Phase 1,Choices,ChoiceResult validation,선택 결과 검증 기준 확정,ChoiceResult ChoiceOption,select count skip invalid candidate 테스트,docs/test-results/goals/G1E-002_choice_result_validation_unit_test_results.md,G1E-001,ChoiceResult 테스트 통과,HIGH
G1E-003,Phase 1,Choices,ScriptedChoiceProvider,scripted deterministic choice 확정,ScriptedChoiceProvider,queued result deterministic 테스트,docs/test-results/goals/G1E-003_scripted_choice_provider_unit_test_results.md,G1E-002,Scripted provider 테스트 통과,HIGH
G1E-004,Phase 1,Choices,PolicyChoiceProvider,policy delegate choice 확정,PolicyChoiceProvider,delegate cancellation error 테스트,docs/test-results/goals/G1E-004_policy_choice_provider_unit_test_results.md,G1E-002,Policy provider 테스트 통과,HIGH
G1E-005,Phase 1,Choices,Choice pause resume contract,choice pending과 resume 계약 확정,PendingChoiceState runtime integration contract,pause resume result 테스트,docs/test-results/goals/G1E-005_choice_pause_resume_unit_test_results.md,G1E-003; G1E-004,choice pause resume 테스트 통과,HIGH
G1F-001,Phase 1,Effects,Effect request context schema,effect context 계약 확정,EffectRequest EffectContext EffectResult,source owner trigger target context 테스트,docs/test-results/goals/G1F-001_effect_context_schema_unit_test_results.md,G1B-001; G1E-001,Effect context 테스트 통과,HIGH
G1F-002,Phase 1,Effects,EffectResolutionQueue,effect queue ordering 확정,EffectResolutionQueue PendingEffect,enqueue dequeue order clear 테스트,docs/test-results/goals/G1F-002_effect_resolution_queue_unit_test_results.md,G1F-001,Effect queue 테스트 통과,HIGH
G1F-003,Phase 1,Effects,EffectScheduler,effect resolve orchestration 확정,EffectScheduler,resolve next resolve all choice pause 테스트,docs/test-results/goals/G1F-003_effect_scheduler_unit_test_results.md,G1F-002; G1E-005,EffectScheduler 테스트 통과,HIGH
