dependency,category,role_in_original_project,headless_implication
Photon,Network,"Online multiplayer SDK. Handles room creation, joining, player synchronization, RPC calls, network events, room/player properties, ownership, and network callbacks.","Do not port as transport. Replace gameplay-relevant network state with deterministic local match/session/action/event context."
WebSocketSharp,Network,"WebSocket transport library used by or near the Photon stack.","Not needed for local AI/RL simulation. If remote rollout orchestration is added later, keep transport outside core Headless."
WindowsRuntimeApi,PlatformAPI,"UWP/Windows-specific networking/storage/runtime APIs such as Windows.Foundation, Windows.Networking, and Windows.Storage.","Avoid in cross-platform Headless core. Replace only retained transport/file behavior with standard .NET APIs."
TextMeshPro,UI,"Unity text rendering package for UI labels, card text display, buttons, popups, logs, and input fields.","Remove from Headless. Preserve only meaningful text as plain strings in logs, traces, or data models."
Coffee.UIExtensions,UIEffect,"UGUI visual effect add-ons such as UIParticle, UIEffect, and Unmask.","Visual-only. Remove from Headless unless a hidden state-changing side effect is found."
DOTween,Animation,"Tween/animation library for card movement, UI transitions, visual timing, and effect presentation.","Remove animation. If logic waits for animation completion, replace the wait with deterministic task/step sequencing."
Shapes2D,VisualAddOn,"2D shape rendering/add-on used for visual UI elements, decorations, gauges, or graphic components.","Visual-only. No Headless replacement required."
AutoLayout3D,VisualAddOn,"3D object layout/placement helper, likely used to arrange objects or cards in scene space.","Replace visual placement with pure zone/order state where gameplay needs card order. Otherwise ignore."
Cinemachine,Camera,"Unity camera control package for camera movement, zoom, framing, scene shots, and presentation.","Camera-only. No Headless replacement required."
WebGLInput,PlatformInput,"WebGL browser input helper, often used for text input/IME behavior in browser builds.","Human/browser input is removed. Route decisions through action APIs or IChoiceProvider."
ProfanityFilter,ClientTextFiltering,"Chat/name/free-text profanity filtering for player-facing social or input features.","Outside AI/RL match simulation. Remove unless future runner exposes user chat or names."
NetPyoung.WebP,ImageCodec,"Unity WebP image loading/decoding package, likely for card images or UI image assets.","Headless should load card metadata/rules, not images. Remove image codec dependency."
JetBrains.Annotations,Annotation,"Static analysis annotations such as NotNull/CanBeNull used by IDE tooling.","Runtime-independent. Remove or replace with C# nullable reference types."
org.nuget.system.runtime.compilerservices.unsafe,NuGetRuntime,"Low-level runtime helper package, usually transitive for performance-oriented libraries.","Do not add directly now. Keep only if a selected .NET package needs it transitively."
Unity NuGet,PackageRegistry,"Unity scoped registry configuration for resolving Unity-side NuGet packages.","Not a runtime dependency. .NET Headless should use normal NuGet PackageReference only when needed."
Realtime,UnknownNonSystem,"Unresolved dependency name. Likely Photon.Realtime or a domain alias related to network/session state.","Manual review required. If Photon.Realtime, replace with local session/player state."
SelectCardEffect,ProjectSelectionFlow,"Project-specific card/effect selection flow, likely bridging gameplay choices through UI.","Do not ignore. Remove UI implementation but preserve selection semantics through ChoiceRequest, ChoiceCandidate, ChoiceZone, ChoiceResult, and IChoiceProvider."
