mapping_id,phase,category,asis_class,asis_function,asis_signature,asis_file,asis_location,asis_line,tobe_class,tobe_function,tobe_location,porting_method,status,notes
AFM-00001,Phase 4+,전투/공격,AttackProcess,ActiveAttack,public bool ActiveAttack(),AttackProcess.cs,DCGO/Assets/Scripts/Script/AttackProcess.cs,35,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00002,Phase 3.5,전투/공격,AttackProcess,ProcessNextState,public IEnumerator ProcessNextState(),AttackProcess.cs,DCGO/Assets/Scripts/Script/AttackProcess.cs,40,AttackPipeline,AdvanceAsync,src/HeadlessDCGO.Engine/Headless/Runtime/AttackPipeline.cs,직접포팅,PORTED,G3.5-005 공격 파이프라인
AFM-00003,Phase 4+,전투/공격,AttackProcess,Attack,"public IEnumerator Attack(Permanent attackingPermanent, Permanent defendingPermanent, ICardEffect attackEffect, bool withoutTap = false, Func<IEnumerator> beforeOnAttackCoroutine = null)",AttackProcess.cs,DCGO/Assets/Scripts/Script/AttackProcess.cs,73,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00004,Phase 3.5,전투/공격,AttackProcess,EndAttack,public IEnumerator EndAttack(),AttackProcess.cs,DCGO/Assets/Scripts/Script/AttackProcess.cs,473,AttackPipeline,AdvanceEndAttack,src/HeadlessDCGO.Engine/Headless/Runtime/AttackPipeline.cs,직접포팅,PORTED,EndAttackTriggerHook 수집
AFM-00005,Phase 4+,전투/공격,AttackProcess,SwitchDefender,"public IEnumerator SwitchDefender(ICardEffect cardEffect, bool isBlock, Permanent newDefendingPermanent)",AttackProcess.cs,DCGO/Assets/Scripts/Script/AttackProcess.cs,514,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00006,Phase 3,효과/스케줄러,AutoProcessing,PutStackedSkill,public void PutStackedSkill(SkillInfo skillInfo),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,57,EffectResolutionQueue,Enqueue,src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs,직접포팅,PORTED,스킬 큐 적재
AFM-00007,Phase 3.5,효과/자동처리,AutoProcessing,AutoProcessCheck,public IEnumerator AutoProcessCheck(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,122,GameFlowProcessor,AutoProcessAsync,src/HeadlessDCGO.Engine/Headless/Runtime/GameFlowProcessor.cs,직접포팅,PORTED,G3.5-006 이벤트→트리거→스케줄러
AFM-00008,Phase 3.5,효과/지속,AutoProcessing,RuleProcess,public IEnumerator RuleProcess(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,282,GameFlowProcessor,RuleProcess,src/HeadlessDCGO.Engine/Headless/Runtime/GameFlowProcessor.cs,계약고정_후속구현,CONTRACT,DP cleanup placeholder
AFM-00009,Phase 3.5,효과/트리거,AutoProcessing,TriggeredSkillProcess,"public IEnumerator TriggeredSkillProcess(bool CheckNewTriggredSkill_mainStack, Func<List<SkillInfo>, SkillInfo, bool> skipCondition)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,572,AutoProcessingTriggerCollector,CollectAndEnqueue,src/HeadlessDCGO.Engine/Headless/Effects/AutoProcessingTriggerCollector.cs,직접포팅,PORTED,게임 이벤트→트리거 수집
AFM-00010,Phase 4+,효과/자동처리,AutoProcessing,HasExecutedSameEffect,"public static bool HasExecutedSameEffect(List<SkillInfo> skillInfos, SkillInfo skillInfo)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,624,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00011,Phase 3.5,런타임/승패,AutoProcessing,EndTurnCheck,public IEnumerator EndTurnCheck(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,631,GameFlowProcessor,EndTurnCheck,src/HeadlessDCGO.Engine/Headless/Runtime/GameFlowProcessor.cs,직접포팅,PORTED,G3.5-008 PlayerRuleAdapter terminal
AFM-00012,Phase 2,런타임/턴,AutoProcessing,EndTurnProcess,public IEnumerator EndTurnProcess(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,675,HeadlessEndTurnCleanupFlow,ApplyAsync,src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessEndTurnCleanupFlow.cs,직접포팅,PORTED,턴 종료 정리
AFM-00013,Phase 4+,효과/자동처리,AutoProcessing,ShrinkSecurityDigimonDisplay,public IEnumerator ShrinkSecurityDigimonDisplay(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,731,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00014,Phase 4+,효과/자동처리,AutoProcessing,HasAwaitingActivateEffects,public bool HasAwaitingActivateEffects(),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,750,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
