asis_symbol,freq_cards,asis_source,status,mirror_symbol,mirror_path,signature_delta,example_card,example_line,notes
ActivateClass,3613,keywords,OK,ActivateClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
IsExistOnBattleArea,2455,commons,OK,IsExistOnBattleArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SelectPermanentEffect,2128,actions,OK,GManager.instance.GetComponent<SelectPermanentEffect>(),src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectPermanentEffect.cs,"GManager acquisition retained VERBATIM. canTargetCondition is Func<HeadlessEntityId,bool> -> keep AS-IS Func<Permanent,bool> predicate and bolt on PermanentOf(id) adapter. Mode.* / SetUp / SetUpCustomMessage / Activate() identity",BT17_026,177,id-adapter template in the guide.
HasMatchConditionPermanent,1785,commons,OK,HasMatchConditionPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs,"added LEADING `card` param (card-less overload removed): HasMatchConditionPermanent(card, Func<Permanent,bool>). Permanent-predicate overload exists (CardEffectCommons.cs:4079) - pass the predicate directly, no id-adapter",BT9_009,104,Scan family.
IsPermanentExistsOnOpponentBattleAreaDigimon,1508,commons,OK,IsPermanentExistsOnOpponentBattleAreaDigimon,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
MatchConditionPermanentCount,1473,commons,OK,MatchConditionPermanentCount,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,"added leading `card`; this one is id-only (:4333) so pass the id-adapter CanSelectPermanentById, not the Permanent predicate",BT17_026,707,Contrast HasMatchConditionPermanent (has Permanent overload).
IsOwnerTurn,1344,commons,OK,IsOwnerTurn,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenDigivolving,1281,commons,OK,CardEffectCommons.CanTriggerWhenDigivolving,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,"gate body identity (hashtable, card) BUT the effect must be REGISTERED under EffectTiming.WhenDigivolving (mirror dialect), not AS-IS OnEnterFieldAnyone; single-key, no double-register",AD1_011,140,trigger-wiring rule 3.
AddSelfDigivolutionRequirementStaticEffect,1186,primitive,OK,CardEffectFactory.AddSelfDigivolutionRequirementStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Blue/AD1_011.cs,"identity (level, permanentCondition, digivolutionCost, ignoreDigivolutionRequirement, card, condition)",P_223,61,Highest-frequency factory primitive (~1186 cards).
CanTriggerOnPlay,1183,commons,OK,CanTriggerOnPlay,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsPermanentExistsOnOwnerBattleAreaDigimon,1132,commons,OK,IsPermanentExistsOnOwnerBattleAreaDigimon,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnBattleAreaDigimon,1061,commons,OK,IsExistOnBattleAreaDigimon,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SelectHandEffect,943,actions,OK,GManager.instance.GetComponent<SelectHandEffect>(),src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectHandEffect.cs,GManager acquisition retained verbatim; Mode.Custom/Discard/PlayForFree identity,BT19_091,257,
SelectCardEffect,874,actions,OK,GManager.instance.GetComponent<SelectCardEffect>(),src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectCardEffect.cs,GManager acquisition retained verbatim; Mode.* / Root.* enums identity; customRootCardList wants .ToList() (IReadOnlyList->List),BT17_026,227,
PlayPermanentCards,792,commons,OK,CardEffectCommons.PlayPermanentCards,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/ActivatedEffects.cs,"identity (cardSources, cardEffect, payCost, isTapped, root, activateETB)",EX7_014,364,
CanTriggerOnAttack,767,commons,OK,CanTriggerOnAttack,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanPlayAsNewPermanent,748,commons,OK,CardEffectCommons.CanPlayAsNewPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,"AS-IS root: param DROPPED (substrate drop): (cardSource, payCost, cardEffect)",EX5_053,149,Contrast PlayPermanentCards which KEEPS root:.
HasMatchConditionOwnersCardInTrash,568,commons,OK,HasMatchConditionOwnersCardInTrash,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOptionMainEffect,510,commons,OK,CanTriggerOptionMainEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
HasMatchConditionOwnersPermanent,498,commons,OK,HasMatchConditionOwnersPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeDigimonDP,483,commons,OK,CardEffectCommons.ChangeDigimonDP,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Blue/BT1_096.cs,"identity; async bridge (targetPermanent, changeValue, EffectDuration, cardEffect)",EX11_074,189,
DrawClass,459,keywords,OK,DrawClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,"ctor GAINS Context first + a cause: new DrawClass(card.Context, card.Owner, n, cause, cardEffect) (CardController.cs:186)",EX10_045,439,Primitive-audit caveat: OnDraw trigger firing was flagged (verify sink).
CardEffectHashtable,421,commons,OK,CardEffectHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/HashtableSetting.cs,,,,
CanTriggerOnDeletion,381,commons,OK,CanTriggerOnDeletion,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsPermanentExistsOnOwnerBattleArea,375,commons,OK,IsPermanentExistsOnOwnerBattleArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
HasMatchConditionOwnersHand,368,commons,OK,HasMatchConditionOwnersHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SimplifiedSelectCardConditionClass,367,keywords,OK,SimplifiedSelectCardConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CardPortingFramework.cs,,,,
SimplifiedRevealDeckTopCardsAndSelect,362,commons,OK,CardEffectCommons.SimplifiedRevealDeckTopCardsAndSelect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/RevealLibrary.cs,identity; pairs with SimplifiedSelectCardConditionClass,LM_054,108,
ChangeSelfDPStaticEffect,329,primitive,OK,ChangeSelfDPStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeDP.cs,,,,
PlaySelfTamerSecurityEffect,327,primitive,OK,CardEffectFactory.PlaySelfTamerSecurityEffect,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Blue/BT1_086.cs,identity (card),EX11_070,58,
DigivolveIntoHandOrTrashCard,312,commons,OK,CardEffectCommons.DigivolveIntoHandOrTrashCard,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/AD1/Blue/AD1_011.cs,"identity; named-tuple params (reduceCostTuple, fixedCostTuple:(fixedCost,fixedCostCardCondition), ignoreDigivolutionRequirementFixedCost, isHand, successProcess, failedProcess, isOptional)",BT17_026,437,
SuspendPermanentsClass,300,keywords,OK,SuspendPermanentsClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,"ctor: (list, cardEffect, isBlock:false).Tap() - AS-IS hashtable arg replaced by (cardEffect, isBlock)",EX11_074,168,Primitive-audit caveat: DPWhenSuspended snapshot / already-suspended refire were flagged (P0#3).
CanActivateOnDeletion,289,commons,OK,CanActivateOnDeletion,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
BlockerSelfStaticEffect,287,primitive,OK,BlockerSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Blocker.cs,,,,
CanTriggerSecurityEffect,285,commons,OK,CanTriggerSecurityEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsOpponentTurn,284,commons,OK,IsOpponentTurn,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DeletePeremanentAndProcessAccordingToResult,279,commons,OK,CardEffectCommons.DeletePeremanentAndProcessAccordingToResult,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/ActivatedEffects.cs,identity - NOTE the AS-IS misspelling 'Pereman' is preserved verbatim in the mirror (do not 'correct' it),LM_054,191,Same for BouncePereman.../SuspendPereman.../DeckBouncePereman...
CanActivateSuspendCostEffect,257,commons,OK,CanActivateSuspendCostEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeCostClass,229,keywords,OK,ChangeCostClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeCostClass.cs,"identity; SetUpChangeCostClass(changeCostFunc, cardSourceCondition, rootCondition, isUpDown, isCheckAvailability, isChangePayingCost); SetNotShowUI(true)",P_223,102,
HasMatchConditionOpponentsPermanent,225,commons,OK,HasMatchConditionOpponentsPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnPermanentPlay,220,commons,OK,CanTriggerOnPermanentPlay,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsPermanentExistsOnBattleArea,192,commons,OK,IsPermanentExistsOnBattleArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddActivateMainOptionSecurityEffect,185,commons,OK,CardEffectCommons.AddActivateMainOptionSecurityEffect,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/BT1/Blue/BT1_101.cs,"identity; (card, ref cardEffects, effectName) - ref param retained",LM_054,255,
IsExistOnTrash,184,commons,OK,IsExistOnTrash,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsPermanentExistsOnOpponentBattleArea,150,commons,OK,IsPermanentExistsOnOpponentBattleArea,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeSelfSAttackStaticEffect,148,primitive,OK,ChangeSelfSAttackStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/ChangeSAttack.cs,,,,
PlaceDelayOptionCards,148,commons,OK,CardEffectCommons.PlaceDelayOptionCards,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,"AS-IS (card, cardEffect) -> mirror requires EXPLICIT root: param (AS-IS default was Root.Execution): PlaceDelayOptionCards(card, cardEffect, root: SelectCardEffect.Root.Execution)",LM_047,130,
IgnoreColorConditionClass,144,keywords,OK,IgnoreColorConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/IgnoreColorConditionClass.cs,identity; SetUpIgnoreColorConditionClass,EX8_068,46,
IsByEffect,142,commons,OK,CardEffectCommons.IsByEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Decoy.cs,identity,EX7_014,310,Paired with IsOwnerEffect/IsOpponentEffect whose ICardEffect arg -> cardEffect.EffectSourceCard.
ShowReducedCost,132,commons,OK,ShowReducedCost,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/ShowReducedCost.cs,,,,
ChangeDigimonSAttack,131,commons,OK,ChangeDigimonSAttack,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddThisCardToHand,127,commons,OK,AddThisCardToHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenRemoveField,126,commons,OK,CanTriggerWhenRemoveField,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnPermanentDeleted,123,commons,OK,CanTriggerOnPermanentDeleted,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SelectAttackEffect,121,actions,OK,GManager.instance.GetComponent<SelectAttackEffect>(),src/HeadlessDCGO.Engine/Assets/Scripts/Script/SelectAttackEffect.cs,"GManager acquisition retained verbatim; SetUp(attacker, canAttackPlayerCondition, defenderCondition, cardEffect), SetCanNotSelectNotAttack() identity",BT19_091,183,
PierceSelfEffect,120,primitive,OK,PierceSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Pierce.cs,,,,
CanDeclareOptionDelayEffect,119,commons,OK,CanDeclareOptionDelayEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnPermanentAttack,118,commons,OK,CanTriggerOnPermanentAttack,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsOpponentPermanent,118,commons,OK,IsOpponentPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenPermanentSuspends,115,commons,OK,CanTriggerWhenPermanentSuspends,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DestroyPermanentsClass,99,keywords,OK,DestroyPermanentsClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,"identity; new DestroyPermanentsClass(list, CardEffectCommons.CardEffectHashtable(cardEffect)).Destroy() then await",BT9_111,98,"Haiku-pilot false-STOP #3. CardController.cs:4152. Note primitive-audit caveat: CanBeDestroyedBySkill guard was a latent hole (P0#1, since remediated)."
CanTriggerWhenPermanentDigivolving,98,commons,OK,CanTriggerWhenPermanentDigivolving,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsExistOnHand,97,commons,OK,IsExistOnHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
TrashDigivolutionCardsFromTopOrBottom,97,commons,OK,TrashDigivolutionCardsFromTopOrBottom,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
RebootSelfStaticEffect,91,primitive,OK,RebootSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Reboot.cs,,,,
ActivateClassesForSharedEffects,84,primitive,OK,ActivateClassesForSharedEffects,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
SetMemoryTo3TamerEffect,83,primitive,OK,SetMemoryTo3TamerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
AddDigiXrosConditionClass,79,keywords,OK,AddDigiXrosConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddDigiXrosConditionClass.cs,,,,
IsPermanentExistsOnBattleAreaDigimon,78,commons,OK,IsPermanentExistsOnBattleAreaDigimon,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsOpponentEffect,77,commons,OK,IsOpponentEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
HasNoElement,76,commons,OK,HasNoElement,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,,,,
BlastDigivolveEffect,75,primitive,OK,BlastDigivolveEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/BlastDigivolution.cs,,,,
MatchConditionOwnersCardCountInHand,74,commons,OK,MatchConditionOwnersCardCountInHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenLoseSecurity,73,commons,OK,CanTriggerWhenLoseSecurity,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenPermanentWouldPlay,72,commons,OK,CanTriggerWhenPermanentWouldPlay,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
MatchConditionOwnersCardCountInTrash,72,commons,OK,MatchConditionOwnersCardCountInTrash,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
MatchConditionOwnersPermanentCount,71,commons,OK,MatchConditionOwnersPermanentCount,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
RetaliationSelfEffect,71,primitive,OK,RetaliationSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Retaliation.cs,,,,
AddSelfLinkConditionStaticEffect,70,primitive,OK,AddSelfLinkConditionStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/AddLinkRequirement.cs,,,,
CanTriggerWhenDeleteOpponentDigimonByBattle,70,commons,OK,CanTriggerWhenDeleteOpponentDigimonByBattle,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
JammingSelfStaticEffect,70,primitive,OK,JammingSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Jamming.cs,,,,
LinkEffect,70,primitive,OK,LinkEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Link.cs,,,,
GainBlocker,69,commons,OK,GainBlocker,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Blocker.cs,,,,
