relpath,verdict,deviations,notes
Script/CardController.cs,DEVIATION,"GAP@AS-IS:1056-1099(HatchDigiEggClass): class not physically mirrored in TO-BE CardController.cs; equivalent hatch logic is documented as re-housed to TurnStateMachine.cs's `ZoneMover.HatchDigitamaAsync` call (TurnStateMachine.cs:365-374, comment ""AS-IS :804 HatchDigiEggClass.Hatch() -> ZoneMover.HatchDigitamaAsync"", labelled ""P2a mapping""), not a literal class mirror.; GAP@AS-IS:2271-2436(DeckBottomBounceClass): class absent from TO-BE file; logic folded into SelectPermanentEffect.cs Mode.PutLibraryBottom sink route, which the file itself documents as having ""no mirror classes -- the sink routes ARE their established mirrors"" (SelectPermanentEffect.cs:542-546).; GAP@AS-IS:2437-2602(DeckTopBounceClass): same pattern, folded into SelectPermanentEffect.cs Mode.PutLibraryTop sink route (same doc comment as above).; GAP@AS-IS:2603-2837(HandBounceClaass): same pattern, folded into SelectPermanentEffect.cs Mode.Bounce sink route (same doc comment as above).; GAP@AS-IS:3503-3647(IPutSecurityPermanent): class absent from TO-BE file; per-permanent logic folded into SelectPermanentEffect.cs Mode.PutSecurityBottom/PutSecurityTop sink routes (SelectPermanentEffect.cs:580-594, comment ""Per-permanent IPutSecurityPermanent (AS-IS sequential)"").; GAP@AS-IS:3880-4234(ISecurityCheck): class absent from TO-BE CardController.cs; security-check game logic re-housed to Headless/Runtime/SecurityResolver.cs (858 lines, 16 tests) — an accepted 'temporary residence' decision recorded in project memory mig-goal3-cardcontroller (2026-07-13, user-approved, deferred to a later goal), i.e. game-rule logic sits in the Headless/ substrate tree rather than the Assets/Scripts mirror tree.; NOTE@PlayCardClass AS-IS:520-532/TO-BE:3336-3342: the `!card.Owner.isYou && GManager.instance.IsAI` and `card.Owner.isYou && ContinuousController.instance.autoMinDigivolutionCost` branches (which could reset costSelected/MoveToExecuteCardEffect) are stripped as 'Unity-client presentation steering, ChoiceProvider is the decider' (self-declared file adaptation (4)) — not listed in the canonical §9/9.1 substrate-translation table.; NOTE@PlayCardClass AS-IS:367-381/TO-BE:3188-3204: jogress evolution-root frame resolution changed from AS-IS fixed-slot `card.Owner.fieldCardFrames[JogressFrameID].GetFramePermanent()` to an index into the mirror's compacted field-permanent list (documented RD-P6C1-1 RESOLVED design item) — a structural adaptation not in the canonical §9 table, though internally justified.; NOTE@IMassDegeneration AS-IS:4970-4971/TO-BE:1063: null-guard changed from checking the live `_cardEffect`/`_cardEffect.EffectSourceCard` object to checking the threaded `_causeEffectSourceId` id field instead — a substitution not itemized in the canonical id-handle vocabulary table (§9.1); both fields are threaded in parallel through the ctor so behavior depends on callers keeping them in lockstep (not exhaustively re-verified across all call sites in this pass).; NOTE(file-wide) 'EMISSION-OWNERSHIP SEAM': per the file header (CardController.cs:21-27), AS-IS explicit `StackSkillInfos(<zone timing>)` calls for zone-crossing windows (OnDiscardHand/OnDiscardSecurity/OnDiscardLibrary/OnLoseSecurity/OnAddSecurity) are replaced by batch-id-stamped zone-derived emission (the substrate derives the window from the CardMoved events themselves) instead of a second manual emit, applied consistently across ~10 classes in this file (IDiscardHands, IReduceSecurity, IDestroySecurity, IAddSecurity, IDegeneration, IMassDegeneration, etc.) — a project-wide architectural translation, not itemized in the canonical §9 table but documented once at file scope.","MATCH-TRANSLATED in substance for the ~29/35 AS-IS classes it does carry (IDiscardHands/IDiscardHand, OnEnterFieldHashtableParams, DrawClass, IAddTrashCardsFromLibraryTop, IAddSecurityFromLibrary, IRecovery, IDigiBurst, IDestroySecurity, IDegeneration, IMassDegeneration, ITrashDigivolutionCards, ITrashLinkCards, ReturnToLibraryBottomDigivolutionCardsClass, IReduceSecurity, IAddSecurity, IFlipSecurity, SuspendPermanentsClass, IUnsuspendPermanents, ITrashDeckCards, AceOverflowClass, IPlacePermanentToDigivolutionCards, IPlacePermanentToLinkCards, ILinkCard, ITrashStack, PlayCardClass, PlayPermanentClass, UseOptionClass, IBattle, DestroyPermanentsClass) — verified via full/partial reads: canonical §9 substrate translations applied correctly throughout (IEnumerator->Task, StartCoroutine->await, Player wrapper, PermanentOfThisCard->Resolve*, UI/UnityEngine/PlayLog stripped with inline AS-IS line-anchor comments), AS-IS quirks preserved verbatim where required (e.g. the duplicate `Cost = card.GetPayingCostWithBaseCost(...)` call at AS-IS:814-815 / TO-BE:3598-3599; ITrashStack correctly has NO level-3 floor unlike IDegeneration/IMassDegeneration), and every non-canonical adaptation carries an inline AS-IS line anchor + design-item reference (RD-P6C1-*, MIG3-*, C1/C1b/C1c, R2-C, R3-A/W3c, RD-EXT3-02, RD9-87). Method-signature diffing (all 29 present classes) found only UI-local-function removals (showEffect/ShowEffect/log-only StopCondition duplicates) and documented substrate-helper additions (SetDpWhenSuspended/RD9-87, ImmuneFromDeDigivolve, NextPromotedSourceId, HasAwaitingActivateEffects, SetWillBeRemoveSources/ReadWillBeRemoveSources) that match known/reviewed design items already recorded in project memory (mig-goal3-cardcontroller.md), not silent inventions. Verdict is DEVIATION rather than MATCH-TRANSLATED strictly because of the 6 physically-absent classes (real structural gap in THIS file, even though each has a documented equivalent-behavior carrier elsewhere) plus the handful of non-canonical-but-documented adaptations listed above. AS-IS file = 35 top-level command classes + 1 data class (5,988 lines); TO-BE mirror = 29 of those 35 command classes + the 1 data class (5,228 lines), plus 2 file-local helper types (SecurityRuleGateSeam, CardSourceAsIsPlayAccessors) that are substrate helpers, not AS-IS inventions. DestroyPermanentsClass carries its own caveat (TO-BE:5010-5018, design item RD-R3-01): it is a faithful 1:1 mirror but its own doc comment states the LIVE runtime delete path still routes through MatchStateMutationSink.ApplyDelete, not through this class yet — noted for completeness, not counted as an additional deviation since it does not affect fidelity of the ported class itself. PlayCardClass/CardSourceAsIsPlayAccessors/IBattle live in a second `...CardEffectCommons` block-scoped namespace within the same file (documented R2-C decision to avoid rewiring ~30 consumers) — a directory/namespace-partial rehousing with identical content, not flagged as a deviation per audit instructions."
Script/Permanent.cs,DEVIATION,"GAP: AS-IS Permanent.HandBounceEffect (:3678, ICardEffect field, sibling of PlayingEffect/DigivolvingEffect/PlaceOtherPermanentEffect which ARE ported via PermanentBookkeepingStore) has NO TO-BE accessor anywhere — 4 real AS-IS card consumers (BT11_072/P_024 read-back pattern bouncePermanent.HandBounceEffect==activateClass) all currently unported stubs, but the Permanent-class surface itself is missing the member; GAP: AS-IS Permanent.LibraryBounceEffect (:3682, same bookkeeping cluster, same sibling asymmetry) also has zero TO-BE accessor — 9 AS-IS consumers (BT22_007/EX10_052/EX10_055/BT11_072/P_214/P_024/EX11_031/BT23_043/ST22_10 + CardController.cs DeckBounce writers) all unported stubs but member itself absent from Permanent.cs; GAP: AS-IS Permanent.DPWhenSuspended (:1958, public int field, default 114514, read by BT9_018.cs) is WRITE-ONLY in TO-BE — SuspendPermanentsClass (CardController.cs:1867-1871) defines DpWhenSuspendedKey and writes it, but Permanent.cs itself has no DPWhenSuspended getter and the key is never read anywhere in the tree (BT9_018.cs consumer is an unported stub); GAP: AS-IS Permanent.DigivolutionOrLinkCards (:892, cardSources.Filter(c=>c!=TopCard)) is completely absent from TO-BE — zero occurrences anywhere in src tree; sole AS-IS consumer BT25_085.cs is an unported stub","Exceptionally high-fidelity 1:1 substrate mirror overall — spot-verified line-by-line against AS-IS for GetDP(AS-IS:327-497→TO-BE:198-373 exact match incl. NotIsUpDown OrderBy(ActivatedTime) quirk), DP(:499-668→336-519 exact, quirk of omitting the OrderBy preserved), BaseDP(:193-326→2235-2358 exact), Level(:48-105→565-594; AS-IS's own redundant '!TopCard.HasLevel⇒1145140' branch is provably dead since TopCard.Level/TreatedLevel already applies the same sentinel internally — TO-BE's -1 sentinel via CardSource.PrintedLevel/HasLevel correctly supersedes it, not a deviation), HasBlocker(:2397-2482→780-871 exact incl. fake-Collision short-circuit), CanMove/CanAttack/CanBlock/CanAttackTargetDigimon/CanBeDestroyed(ByBattle/BySkill)/CanBeRemoved/CanSubstituteForDigiXrosCondition/CanSubstituteForAssemblyCondition/CanSwitchAttackTarget/CanUnsuspend/CanDeclareSkill(List)/ImmuneFromDeDigivolve/ImmuneFromStackTrashing/CanSelectBySkill/InvertSecutiryValue/SecurityAttackChanges/HasSecurityAttackChanges/Strike_AllowMinus/Strike/AddDigivolutionCardsTop(incl. dedicated ReRoot re-parenting arm for the App-Fusion self-fold edge)/AddDigivolutionCardsBottom/AddLinkCard/AddCardSource/RemoveCardSource/RemoveLinkedCard/DiscardEvoRoots(both putToTrash branches)/StackCards/LinkedCards/LinkedMax/HasNoLinkCards/IsPlaceToTrashDueToNotHavingDP/IsPlayedOptionPermanent/EnterFieldTurnCount — all MATCH-TRANSLATED with explicit AS-IS line-number citations and documented ADAPTATIONs (GManager.instance.turnStateMachine.gameContext→new GameContext(_context); TopCard nullable→non-null view; frame-slot-capacity model absent RD-P6C1-1/2). Legit rehousing confirmed (NOT gaps): CannotReturnToLibrary→CardEffectCommons/NewModelContinuousScan.cs:1591 HasCannotReturnToLibrary (explicit AS-IS Permanent.cs:785-822 citation); Permanent.battle field→hashtable 'battle' key + CardEffectCommons.CurrentBattleOpponent (documented design item RD-EXT2B-01-BATTLEFIELD, IBattle.Battle() doc-comment, verified live in ST2_01.cs port); Levels_ForJogress→CardSource.cs:1190; AddBoost/RemoveBoost→Headless/Runtime/DpBoostHelpers.cs (documented in EX10_010.cs port comment). AS-IS dead code correctly omitted (NOT gaps, zero AS-IS callers verified): Names_ForDNA, IsAddedAsSourceByAppFusion; SetCardSources omitted as pure architecture artifact (view-reconstruction model, no external caller even in AS-IS); OldIsSuspended omitted (only AS-IS consumer is FieldPermanentCard.cs Unity view-redraw detection, out of headless scope). 10 Show*/Hide*Effect method pairs + ShowingPermanentCard field correctly omitted as pure Unity GameObject.SetActive visual toggles (verified AS-IS bodies contain zero game-logic, established convention '미러 확립 관례상 스트립' cited across multiple card ports e.g. BT25_039/BT25_101/BT5_086). Line 4549 NotSupportedException (DetachEmbeddedSourceOrLinkAsync residual direct-path guard, design item MIG4-DETACH-LIVE-TOP) is a legitimate STOP seat per task instructions, not a gap. New substrate-only types PermanentView/OldIsTappedPlayCardStore/DestroyingEffectStore/PermanentEffectLists/PermanentEffectListStore are documented view-reconstruction infrastructure (each carries explicit AS-IS field/line citations), not inventions. TO-BE is 4640 lines vs AS-IS 4187 (larger due to extensive design-rationale XML-doc comments, not due to added logic)."
Script/CardSource.cs,DEVIATION,"Systematic unregistered substrate pattern (not in canonical §9/§9.1 table): AS-IS ~90 derived boolean convenience getters (Has*Traits e.g. HasBirdTraits/HasBeastTraits/HasAngelTraits/HasDragonTraits/HasAppmonTraits/HasCSTraits/HasWGTraits/... AS-IS L1713-4180 region block; Has*Name e.g. HasGreymonName/HasGarurumonName/HasImpmonName/HasDramonName/HasXAntiBodyName AS-IS L1595-1673; keyword flags HasBlocker/HasDigiBurst/HasBlitz/HasFortitude/HasRetaliation AS-IS L2533-2683; effect-presence flags HasOnPlayEffect/HasOnDeletionEffect/HasWhenDigivolvingEffect/HasInheritedEffect AS-IS L2608-2703) have NO member on TO-BE CardSource (confirmed 0 hits repo-wide for the bulk; a handful HasBlocker/HasFortitude/HasBlitz/HasRetaliation/HasOnDeletionEffect are rehoused onto Permanent.cs, not CardSource) -- every ported card that needs the AS-IS-equivalent instead INLINES EqualsTraits('X')/ContainsTraits('X') at the call site with a comment (e.g. BT22_035.cs:82 'AS-IS HasAppmonTraits', BT23_081.cs:62-64 'derived getter not present in mirror CardSource'), so behavior at each observed call site is correct but the AS-IS-named member surface itself is absent -- DEVIATION per registration protocol (unregistered translation), not GAP, since it is a deliberate structural choice not an unported feature; PhotonView/CardSprite/GetCardSprite/ShowingHandCard/SetShowingHandCard/SetBaseData/SetUpCardIndex+CardIndex/CardID/SetID/CardEntityIndex/CardKinds/AllCardColors/DigimonCardColors/OptionCardColors/BaseCardColorsFromEntity/BaseDualCardColorsFromEntity/BaseJPNCardNameFromEntity/PreferredFrame/HasUseCost/InheritedEffectDiscription_ENG+JPN/ContainsCardNameDigiXros/EqualsCardNameDigiXros also 0 hits repo-wide (legit Unity/Photon/frame-slot-model omissions, several with inline call-site substitution comments same pattern, e.g. EX8_037.cs:26 OptionCardColors, BT15_102.cs:24/BT21_030.cs:51 CardID to InstanceId.Value); ChangedLocationTime/SetChangedLocationTime is a tracked design-item gap (design item MIG3-LOCATIONTIME, 'no headless analog', cited at CardController.cs:884,974,1122,2779,2849) -- AS-IS is live-used (BT25_104.cs, KeyWordEffects/ArmorPurge.cs) but BT25_104.cs mirror explicitly notes the timestamp compare is unported; TO-BE GetCostItself (L1346) is SELF-DOCUMENTED to diverge from AS-IS GetCostItself (CardSource.cs:769, cost-fold-applied) -- TO-BE reads unfolded BasePlayCostFromEntity instead, with an admitted 'documented reduction' for any future caller needing the AS-IS folded semantics (no such caller today, so currently behavior-neutral but the named member is not equivalent); IsBeingRevealed (design item RD-P6C3-A2) and PermanentJustBeforeRemoveField (design item RD-P6C3-A3) writers are explicitly unported (getters default false/null until their producing slice lands, self-documented at CardSource.cs:2267-2268,2290-2292)","Very high-fidelity, heavily self-documented substrate mirror (MonoBehaviour to pure view class, sealed CardSource with EngineContext/InstanceId identity + value-equality override for AS-IS reference-identity reliance) -- every functional path spot-checked (BaseCardColors/CardColors/DualCardColors two-stage fold, MatchColorRequirement, CanNotPlayThisOption, CanEnterField, CanPlayCardTargetFrame, CanPlayJogress/CanJogressFromTargetPermanent(s), CanPlayBurst/CanBurstDigivolutionFromTargetPermanent, PayingCost/GetPayingCostWithBaseCost incl. DigiXros/Assembly discount regions incl. explicitly-justified AI-branch collapse, CardTraits/CardNames/CardNames_DigiXros/BaseCardNames, Level/Level_Assembly/JogressLevelsAgainst, BaseCardDP/BaseDP/CardDP, AddedDigivolutionCosts/EvoCosts, the 4 auxiliary data classes JogressCondition/DigiXrosConditionElement/DigiXrosCondition/BurstDigivolutionCondition) matches AS-IS branch-for-branch with only substrate translations (Owner to new Player(Context,Owner); PermanentOfThisCard() to PermanentView; raw fields jogressCondition/linkCondition/appFusionCondition/assemblyCondition/burstDigivolutionCondition to JogressConditionOf()/LinkConditionOf()/AppFusionConditionOf()/AssemblyConditionOf()/BurstDigivolutionConditionOf() accessors in companion file CardSourceAsIsPlayAccessors; IsPermanent to CardController.cs:4652 extension; IsACE/OverflowMemory to CardController.cs AceOverflowGate per completed C-2 goal; SetFace/SetReverse to CardObjectController.cs SecurityFaceState + SelectCardEffect.SetFaceMirror; SetDP to BaseDP property setter; CardKinds to CardRecord.IsCardType per C7). No invented logic, no hardcoded/nulled predicates found in the checked surface. All identified deviations are either (a) individually design-item-tracked with AS-IS line anchors, or (b) the systematic Has*Traits/Has*Name convenience-getter omission, itself consistently documented at every ported-card call site (dozens of cards) but never registered as a canonical substrate translation -- flagging per audit protocol despite being a mature, deliberate, low-risk project convention rather than an oversight. No forbidden Func<HeadlessEntityId,bool>/PermanentOf-shim/...ById adapter symbols present. Line counts: AS-IS 4357 (MonoBehaviour + UI/Photon + ~90 convenience getters), TO-BE 2839 (pure logic, no UI)."
Script/CardEffectCommons.cs,DEVIATION,"L717 AS-IS OptionSecurityEffect(card) getter has NO counterpart in TO-BE commons (GAP) — only OptionMainEffect folded (TO-BE L4407); sole consumer BT18_098.cs reimplements as private local OptionSecurityEffectOf w/ 'no mirror bridge' note; not rehoused anywhere; L723 AS-IS AddActivateMainOptionSecurityEffect drops effectDiscription param in TO-BE commons sig L4135 (factory L914 still defaults it; all live callers omit — behavior-neutral, sig not 1:1); L795-821 AS-IS DigivolveIntoHandOrTrashCard candidate filter uses cardSource.CanPlayCardTargetFrame(PayCost) folding cost-payability into candidacy vs TO-BE DigivolveIntoZoneCoreAsync.CanSelect L1921 checking only digivolution requirement (defers cost to MemoryController.CanPay L1997) — unaffordable-but-legal card offered in TO-BE, filtered in AS-IS; same for Execution variant L2705","Legit C0-C5 fold-back monolith (CanUseEffects/GetFromHashtable/GameContextDeterminarion/GiveEffect/KeyWordEffects/ContinuousController token table + AS-IS-sig bridges folded, all confirmed real originals not invention); 24/25 AS-IS symbols located 1:1-translated (typos Peremanent/Excecuting/Selef preserved); documented AS-IS-limit reductions (PlayToken 16-frame const, RD-W3-4 CanEnterField, DNA-trash STOP, cost-pipeline inline) are ledger items not deviations; no forbidden Func<HeadlessEntityId,bool>/PermanentOf/...ById in AS-IS-symbol surface"
Script/TurnStateMachine.cs,MATCH-TRANSLATED,"None break rule-layer fidelity; all substrate/documented: EndGame L3302-3360 marks WINNER vs TO-BE marks LOSER=winner.Enemy (terminal-model adaptation); MainPhaseAsync burst guard drops upper bound <=fieldCardFrames.Count-1 (RD-P6C1 frame-model); CardEffectCommons.CardPermanenceMap reset L1348/L3173 no mirror analog (dropped both sites, documented); attack-pump adds await WaitPendingChoiceUnderPump before ProcessNextState (S3b suspension→pump gate, outcome-neutral); isSecurityCehck field AS-IS L30 absent (pure UI-gating flag, readers UI-only); per-player TurnPlayer.TurnCount++ L552 rehoused to substrate (no card reads per-player TurnCount, grep 0); SwitchTurnPlayer relocated L312→TurnController.EndTurn; pump adds 2 extra Ended() end-guards (outcome-neutral); memory-gauge re-sign at flip TurnFlowPump L323 (turn-relative substrate, review3 P2-1)","Full phase-body logic present (StartGame/Active/Draw/Breeding/Main/End + setters + PassTurn + EndGame); size gap = stripped Unity/Photon/UI + driver chain relocated; rehousing verified by reading destinations: GameStateMachine→TurnFlowPump.RunAsync, StartGame mulligan→MulliganCoordinator, EndPhase buckets→HeadlessEndTurnCleanupFlow, main-action producer→TurnFlowDriver, breeding/attack→ZoneMover/AttackDeclarationCommons; quirks/typos preserved (feild, nonTurnPlayerFeid, SetAttackingPermaent, hatch-wins quirk, 5-pred CanSelect); GAP 0, invention 0; no forbidden id-predicate/PermanentOf/...ById"
Script/CardEffectFactory.cs,MATCH-TRANSLATED,"INVENTION(additive,test-only): SpecialPlayRecipeRegistry-based helpers DigiXrosEffect@1588/DigiXrosWithExtraMaterialsEffect@1599/BurstDigivolveEffect@1623/JogressEffect@1668/JogressEffectFromNames@1640/AddJogressLevelsEffect@1650/MaterialByName@1611/NameMaterials@1614 — parallel special-play repr on Register(...)+inert BareCauseEffect marker, no AS-IS counterpart, consumed only by Tfx* fixtures (faithful AS-IS forms DigiXrosEffectFromNames@1563/GetJogressConditionClass@1676 coexist and are what real cards use); INVENTION(internal helpers,no AS-IS): LinkedGate@104/ScopePred@111/OwnerControlsMatchingDigimon@692; ADAPT PlaySelfTamerSecurityEffect(AS-IS:167/TO-BE:1340) card.Owner.ExecutingCards.Contains(card)->CardEffectCommons.IsExistOnExecutingArea(card) — unregistered substrate re-expression, behaviorally equal; ADAPT PlaySelfDigimonAfterBattleSecurityEffect(AS-IS:353/TO-BE:1088) play root SelectCardEffect.Root.Security->ChoiceZone.Execution (cost-root vs from-zone, unregistered but documented); ADAPT Gain1MemoryTamerOwnerDigimonConditionalEffect(AS-IS:115/TO-BE:653) nullable params+null-guards + hardcoded default EffectDiscription when empty; ADAPT Gain1MemoryTamerOpponentDigimonEffect(AS-IS:91/TO-BE:156) .Enemy!->.Enemy?...Count??0","All 41 AS-IS methods present + faithfully mirrored (async Task / new Player / ResolvePermanentOfThisCard / CanAddSecurity(InstanceId) all registered per §9/9.1). No mirrored-method logic altered/simplified. ~888-line growth = relocation stubs+ledgers+XML docs, rehoused monolith-split kind-class factories (~16), async boilerplate, and the additive special-play registry. Inventions are documented (not silent), test-only; no §11 banned symbols."
Script/AutoProcessing.cs,MATCH-TRANSLATED,"DELEGATION DigimonLackDPProcess(AS-IS:469-484/TO-BE:580-584) stage delegates to GameFlowProcessor.StateBasedDeletionSweepAsync instead of in-file DestroyPermanentsClass({DPZero,true}) batch — tracked design item R2-P2-4, carrier exists; ADDED-GUARD(inert) IsNotDigimonInBreeding(TO-BE:142-145 !HasDefinition->false), IsNotHavingDP(TO-BE:171-174), IsDigimonLackDP(TO-BE:211-214 !IsDpDefined->false), IsDigimonLackLinkCondition(TO-BE:265-266/630-631 adds LinkConditionOf() is not null narrowing) — no AS-IS counterpart, suppress abstract fixtures only; GAP(dead) SkipSameEffect(AS-IS:16 [SerializeField] never read) dropped; GAP(UI) ShrinkSecurityDigimonDisplay(AS-IS:731-746 coroutine)+its call-sites stripped","Both halves (trigger-stack + 8-stage RuleProcess) near-verbatim: 5-zone scan order, is ActivateICardEffect->!IsBackgroundProcess->CanTrigger cascade, reverse-index executingMultipleSkills traversal, DoRuleProcess sequence, AS-IS quirks (commented IsAttackerNotADigimon return true; link allowBreeding true/false asymmetry) all preserved. ~500-line growth = header+anchor comments, GManager singleton translation, inlined accessor helpers, coroutine->park/resume async machinery. No silent simplification/invention; no §11 symbols."
Script/Player.cs,MATCH-TRANSLATED,"GAP(minor) Player.LostCards accessor absent — AS-IS Player.cs:514 public List<CardSource> LostCards is live game-logic (read at AS-IS SelectCardEffect.cs:259, OptionalSkill.cs:41, SelectPermanentEffect.cs:268/798, CardObjectController.cs:431-433); mirror exposes all sibling zones (Hand/Trash/Security/Library/DigitamaLibrary/Executing) and substrate zone exists (ChoiceZone.Recollection, read directly in SelectCardEffect.cs) but the per-player LostCards view is not mirrored and not relocated — confirmed grep 0 in mirror Player.cs","~669-line shrink legitimate: MonoBehaviour lifecycle(Start/Update/SetPlayerUI), all UI rendering(Text/Image/SpriteRenderer, align/shuffle/frame geometry), Photon selection-queue->ChoiceProvider substrate, counters relocated (TurnCount->TurnStateMachine, DigivolveCount_ThisTurn->CardEffectCommons, both with junction comments), dead members dropped (KeyCard/WinCount 0 real consumers, ExpectedMemory UI-only). Ported bodies match branch-for-branch (MaxMemoryCost, EffectList 8-bucket+triple GetCardEffect quirk, CanTapWhenAbsorbEvolution both splits). Documented-not-flagged: CanMove capacity half(RD-P6C1-2), IsSecurityLooking guard(MIG3 seam), FieldCardFrame no-slot(RD-P6C2-10), TurnStartTime junction(TurnStateMachine.cs:177). PlayerIdAsIsExtensions/PlayerEffectListStore=registered bridges. No §11 symbols."
Script/ICardEffect.cs,MATCH-TRANSLATED,,"광범위 AS-IS 라인앵커 주석(전체 936줄) — SetUp/CanTrigger/CanActivate/CanUse/IsSameEffect 등 전체 1:1; PermanentOfThisCard()→ResolvePermanentOfThisCard(§9 등재 표 그대로), UnityAction→Action, Debug.Log/PlayLog 스트립 모두 등재 번역. EffectTiming enum: AS-IS 61종 전량 보존+1종(WhenDigivolving) 추가 — 카드 파일 20+장에서 '[When Digivolving]→미러 방언 EffectTiming.WhenDigivolving' 정형 주석으로 광범위 사용 확인된 기등재 관례(신규 발명 아님). EffectDuration/CalculateOrder는 C2/C3 재하우징 폴드백(참조만, 재정의 아님) 확인."
Script/Effects.cs,BLOCKED,,"AS-IS 2306줄 순수 Unity 프레젠테이션/VFX MonoBehaviour(DOTween/TMPro/Cinemachine/UI Transform, '~エフェクト' 코루틴 전량) — 룰 로직 0. TO-BE는 빈 스켈레톤 스텁('Skeleton only. Port or implement deterministic .NET logic later.') 그대로. 룰층 아님 — StreamingAssetsUtility.cs BLOCKED 선례와 동형 판정."
