stage,area,module,path,responsibility,asis_sources,replaces,public_api,input,output,completion_criteria,priority,notes
Phase 1,Runtime,매치 Facade,src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs,매치 생명주기와 공개 Headless API 고정,GManager.cs; TurnStateMachine.cs; GameContext.cs,Unity scene 기반 match object,Initialize; Reset; Step; ApplyAction; Observe; GetLegalActions; GetResult,MatchConfig; HeadlessAction; ChoiceResult,StepResult; MatchResult; ObservationSnapshot,Unity scene 없이 match 실행 계약 확정,HIGH,Unity 대체 기반의 최상위 진입점
Phase 1,Runtime,게임 루프,src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs,action; effect; choice; phase progression 조정,TurnStateMachine.cs; AutoProcessing.cs; AttackProcess.cs,Update와 coroutine sequencing,RunUntilDecision; AdvanceInternal; ResolvePending,MatchState; pending queue,stable state 또는 pending choice,자동 전이가 deterministic하게 안정화,HIGH,frame rate 의미 제거
Phase 1,Runtime,액션 모델,src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionPayloads.cs,UI/RPC를 대체하는 typed action payload 정의,MainPhaseAction/*.cs; Select*Effect.cs,button; drag; RPC action,PlayCard; Digivolve; Attack; Block; Activate; Choose; Pass,policy intent,typed action,모든 player decision이 action schema에 존재,HIGH,후속 포팅 전 고정 필요
Phase 1,Runtime,액션 Queue,src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs,Photon/RPC 순서를 local deterministic action queue로 대체,Photon RPC; TurnStateMachine.cs,network action dispatch,Enqueue; Dequeue; Peek; Clear,HeadlessAction,ordered action stream,RPC 기반 gameplay 흐름이 local action으로 표현,HIGH,Photon 제거 기준
Phase 1,Runtime,Game Event,src/HeadlessDCGO.Engine/Headless/Runtime/GameEvent.cs,상태 변경과 gameplay event를 기록,PlayLog.cs; Debug.Log; Photon event,client log와 network event,Record; Serialize; Replay,event payload,GameEvent stream,모든 state change가 event로 남음,HIGH,replay와 parity의 기반
Phase 1,State,매치 상태,src/HeadlessDCGO.Engine/Headless/State/MatchState.cs,양 플레이어와 전역 흐름의 권위 있는 상태,GameContext.cs; GManager.cs,Unity scene hierarchy state,Snapshot; Clone; ApplyDelta,setup data; mutation,state snapshot,gameplay state가 data로 표현,HIGH,신규 구현 대상
Phase 1,State,플레이어 상태,src/HeadlessDCGO.Engine/Headless/State/PlayerState.cs,플레이어 zone과 memory perspective 보관,Player.cs; CPlayerElement.cs,Player MonoBehaviour field,GetZone; SetMemory; Flags,player setup; zone mutation,player snapshot,deck; hand; field; security; trash; raising 표현,HIGH,신규 구현 대상
Phase 1,State,카드 인스턴스 상태,src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs,카드별 mutable state 보관,CardController.cs; CardObjectController.cs; FieldPermanentCard.cs; HandCard.cs,Card GameObject component,Suspend; Unsuspend; AttachSource; AddModifier,card id; zone state,card snapshot,GameObject 없이 card state 추적,HIGH,신규 구현 대상
Phase 1,State,존 상태,src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs,ordered zone과 visibility 표현,Player.cs; CardController.cs,Transform child order와 pile,Move; Insert; Remove; Reveal; Shuffle,ZoneMoveRequest,zone delta,deck/security/source order가 data로 표현,HIGH,Transform 대체 핵심
Phase 1,Bridge,Engine Context,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs,service와 current match context 보관,GManager.cs; GameContext.cs,global singleton과 scene service,Services; CurrentMatch; CurrentState,configured services,service access,포팅 code가 Unity global 없이 service 접근,HIGH,Bridge는 얇게 유지
