Goal ID,단계,영역,목표,상세 목표 설명,해야 할 작업,하지 말아야 할 작업,참조/확인 대상,산출물,단위테스트 상세,결과 문서,결과 문서 필수 내용,선행 Goal,완료 기준,완료 체크리스트,우선순위
G0-001,Phase 0 - 설계/테스트 정책 확정,설계,설계 산출물 확정,"설계 산출물 확정 Goal은 '핵심 설계 문서와 CSV 확정'를 완성하기 위한 작업이다. 설계 문서가 서로 모순되지 않는지 확인하고, 후속 구현자가 읽을 기준 문서를 확정한다. 산출물은 '아키텍처 설계 문서; 모듈 CSV; 의존성 CSV; 포팅 순서 문서'이며, 완료 기준은 '문서와 CSV가 검증됨'이다.",1. 선행 Goal '없음' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G0-001_설계_산출물_확정.md'를 읽는다. 3. 작업 범위 '핵심 설계 문서와 CSV 확정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 '아키텍처 설계 문서; 모듈 CSV; 의존성 CSV; 포팅 순서 문서'을 작성하거나 갱신한다. 6. 단위테스트 '문서 존재와 CSV 파싱'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md'를 작성한다.,설계와 문서 검증만 수행한다. C# 구현과 원본 소스 수정은 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G0-001_설계_산출물_확정.md | docs/headless_goal_execution_prompt.md | docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,아키텍처 설계 문서; 모듈 CSV; 의존성 CSV; 포팅 순서 문서,"테스트는 '문서 존재와 CSV 파싱'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",없음,문서와 CSV가 검증됨,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 '문서와 CSV가 검증됨' 충족,높음
G0-002,Phase 0 - 설계/테스트 정책 확정,테스트,테스트 정책 확정,"테스트 정책 확정 Goal은 '단위테스트 정책과 매트릭스 확정'를 완성하기 위한 작업이다. 테스트 정책, 테스트 매트릭스, 결과 문서 규칙을 구현 작업의 완료 기준으로 고정한다. 산출물은 '단위테스트 계획서; 단위테스트 매트릭스'이며, 완료 기준은 '테스트 정책 문서가 검증됨'이다.",1. 선행 Goal 'G0-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G0-002_테스트_정책_확정.md'를 읽는다. 3. 작업 범위 '단위테스트 정책과 매트릭스 확정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 '단위테스트 계획서; 단위테스트 매트릭스'을 작성하거나 갱신한다. 6. 단위테스트 '테스트 계획 문서와 매트릭스 파싱'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G0-002_test_policy_unit_test_results.md'를 작성한다.,설계와 문서 검증만 수행한다. C# 구현과 원본 소스 수정은 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G0-002_테스트_정책_확정.md | docs/headless_goal_execution_prompt.md | docs/test-results/goals/G0-002_test_policy_unit_test_results.md,단위테스트 계획서; 단위테스트 매트릭스,"테스트는 '테스트 계획 문서와 매트릭스 파싱'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G0-002_test_policy_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G0-001,테스트 정책 문서가 검증됨,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 '테스트 정책 문서가 검증됨' 충족,높음
G0-003,Phase 0 - 설계/테스트 정책 확정,단계 완료 게이트,Phase 1 착수 게이트 검증,"Phase 1 착수 게이트 검증 Goal은 'Unity 대체 기반 선행 조건 확인'를 완성하기 위한 작업이다. 선행 Goal 결과 문서를 확인하고 다음 단계로 넘어갈 수 있는지 판정한다. 산출물은 'Phase 0 검증 결과 문서'이며, 완료 기준은 'Phase 1 착수 가능 판정'이다.",1. 선행 Goal 'G0-002' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md'를 읽는다. 3. 작업 범위 'Unity 대체 기반 선행 조건 확인'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'Phase 0 검증 결과 문서'을 작성하거나 갱신한다. 6. 단위테스트 'Phase 1 선행 조건과 후속 포팅 금지 확인'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md'를 작성한다.,설계와 문서 검증만 수행한다. C# 구현과 원본 소스 수정은 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md | docs/headless_goal_execution_prompt.md | docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,Phase 0 검증 결과 문서,"테스트는 'Phase 1 선행 조건과 후속 포팅 금지 확인'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G0-002,Phase 1 착수 가능 판정,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'Phase 1 착수 가능 판정' 충족,높음
G1A-001,Phase 1 - Unity 대체 기반 구현,런타임,Runtime DTO 모델 고정,"Runtime DTO 모델 고정 Goal은 'MatchConfig StepResult MatchResult GameEvent 계약 고정'를 완성하기 위한 작업이다. Headless 엔진의 외부 호출 계약을 고정한다. 매치 생성, 초기화, 스텝, 액션 적용, 결과 조회가 Unity 없이 설명되어야 한다. 산출물은 '런타임 모델 파일'이며, 완료 기준은 'Runtime DTO 테스트 통과'이다.",1. 선행 Goal 'G0-003' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1A-001_runtime_dto_모델_고정.md'를 읽는다. 3. 작업 범위 'MatchConfig StepResult MatchResult GameEvent 계약 고정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 '런타임 모델 파일'을 작성하거나 갱신한다. 6. 단위테스트 'DTO 생성과 기본 불변성 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1A-001_runtime_dto_모델_고정.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,런타임 모델 파일,"테스트는 'DTO 생성과 기본 불변성 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G0-003,Runtime DTO 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'Runtime DTO 테스트 통과' 충족,높음
G1A-002,Phase 1 - Unity 대체 기반 구현,런타임,Match lifecycle 계약,"Match lifecycle 계약 Goal은 'Initialize Reset Step Result 계약 고정'를 완성하기 위한 작업이다. Headless 엔진의 외부 호출 계약을 고정한다. 매치 생성, 초기화, 스텝, 액션 적용, 결과 조회가 Unity 없이 설명되어야 한다. 산출물은 'DcgoMatch 생명주기 API'이며, 완료 기준은 'lifecycle 테스트 통과'이다.",1. 선행 Goal 'G1A-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1A-002_match_lifecycle_계약.md'를 읽는다. 3. 작업 범위 'Initialize Reset Step Result 계약 고정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'DcgoMatch 생명주기 API'을 작성하거나 갱신한다. 6. 단위테스트 'lifecycle 호출 순서와 상태 전이 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1A-002_match_lifecycle_계약.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,DcgoMatch 생명주기 API,"테스트는 'lifecycle 호출 순서와 상태 전이 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1A-001,lifecycle 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'lifecycle 테스트 통과' 충족,높음
G1A-003,Phase 1 - Unity 대체 기반 구현,런타임,Action 입력 결과 계약,"Action 입력 결과 계약 Goal은 'action payload와 처리 결과 계약 고정'를 완성하기 위한 작업이다. Headless 엔진의 외부 호출 계약을 고정한다. 매치 생성, 초기화, 스텝, 액션 적용, 결과 조회가 Unity 없이 설명되어야 한다. 산출물은 'HeadlessAction/ActionProcessResult/IllegalAction 모델'이며, 완료 기준은 'action 계약 테스트 통과'이다.",1. 선행 Goal 'G1A-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1A-003_action_입력_결과_계약.md'를 읽는다. 3. 작업 범위 'action payload와 처리 결과 계약 고정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'HeadlessAction/ActionProcessResult/IllegalAction 모델'을 작성하거나 갱신한다. 6. 단위테스트 'legal illegal action 결과 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1A-003_action_contract_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1A-003_action_입력_결과_계약.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,HeadlessAction/ActionProcessResult/IllegalAction 모델,"테스트는 'legal illegal action 결과 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1A-001,action 계약 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'action 계약 테스트 통과' 충족,높음
G1A-004,Phase 1 - Unity 대체 기반 구현,런타임,Observation LegalAction 계약,"Observation LegalAction 계약 Goal은 'observe와 legal action 반환 계약 고정'를 완성하기 위한 작업이다. Headless 엔진의 외부 호출 계약을 고정한다. 매치 생성, 초기화, 스텝, 액션 적용, 결과 조회가 Unity 없이 설명되어야 한다. 산출물은 'ObservationSnapshot/LegalAction/ActionMask 계약'이며, 완료 기준은 'observation legal action 테스트 통과'이다.",1. 선행 Goal 'G1A-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1A-004_observation_legalaction_계약.md'를 읽는다. 3. 작업 범위 'observe와 legal action 반환 계약 고정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'ObservationSnapshot/LegalAction/ActionMask 계약'을 작성하거나 갱신한다. 6. 단위테스트 'empty state observation과 legal action 계약 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1A-004_observation_legalaction_계약.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,ObservationSnapshot/LegalAction/ActionMask 계약,"테스트는 'empty state observation과 legal action 계약 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1A-001,observation legal action 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'observation legal action 테스트 통과' 충족,높음
G1A-005,Phase 1 - Unity 대체 기반 구현,런타임,Runtime aggregate 결과 문서,"Runtime aggregate 결과 문서 Goal은 'Runtime 계약 Goal 결과 집계'를 완성하기 위한 작업이다. Headless 엔진의 외부 호출 계약을 고정한다. 매치 생성, 초기화, 스텝, 액션 적용, 결과 조회가 Unity 없이 설명되어야 한다. 산출물은 '런타임 테스트 요약'이며, 완료 기준은 'Runtime 영역 완료'이다.",1. 선행 Goal 'G1A-002; G1A-003; G1A-004' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md'를 읽는다. 3. 작업 범위 'Runtime 계약 Goal 결과 집계'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 '런타임 테스트 요약'을 작성하거나 갱신한다. 6. 단위테스트 'Runtime Goal 결과 문서 링크 검증'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,런타임 테스트 요약,"테스트는 'Runtime Goal 결과 문서 링크 검증'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1A-002; G1A-003; G1A-004,Runtime 영역 완료,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'Runtime 영역 완료' 충족,높음
G1B-001,Phase 1 - Unity 대체 기반 구현,상태/존,Stable ID와 entity registry,"Stable ID와 entity registry Goal은 'player card definition card instance id 기준 확정'를 완성하기 위한 작업이다. GameObject/Transform 대신 순수 데이터로 카드 위치, 카드 상태, 플레이어 상태, 존 순서를 표현한다. 산출물은 'HeadlessPlayerId/HeadlessEntityId 등록 구조'이며, 완료 기준은 'stable id 테스트 통과'이다.",1. 선행 Goal 'G1A-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1B-001_stable_id와_entity_registry.md'를 읽는다. 3. 작업 범위 'player card definition card instance id 기준 확정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'HeadlessPlayerId/HeadlessEntityId 등록 구조'을 작성하거나 갱신한다. 6. 단위테스트 'id equality serialization uniqueness 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1B-001_stable_id와_entity_registry.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,HeadlessPlayerId/HeadlessEntityId 등록 구조,"테스트는 'id equality serialization uniqueness 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1A-001,stable id 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'stable id 테스트 통과' 충족,높음
G1B-002,Phase 1 - Unity 대체 기반 구현,상태/존,MatchState PlayerState,"MatchState PlayerState Goal은 '양 플레이어와 전역 상태 모델 확정'를 완성하기 위한 작업이다. GameObject/Transform 대신 순수 데이터로 카드 위치, 카드 상태, 플레이어 상태, 존 순서를 표현한다. 산출물은 'MatchState/PlayerState'이며, 완료 기준은 'state 모델 테스트 통과'이다.",1. 선행 Goal 'G1B-001' 완료 여부를 확인한다. 2. 상세 지시서 'docs/goal-specs/G1B-002_matchstate_playerstate.md'를 읽는다. 3. 작업 범위 '양 플레이어와 전역 상태 모델 확정'에 해당하는 파일과 API만 확인한다. 4. 필요한 AS-IS 원본은 읽기 전용으로 분석한다. 5. 산출물 'MatchState/PlayerState'을 작성하거나 갱신한다. 6. 단위테스트 'initial state snapshot 테스트'를 작성한다. 7. 테스트를 실행하고 실패가 있으면 같은 Goal 범위 안에서 수정한다. 8. 결과 문서 'docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md'를 작성한다.,Unity 대체 기반만 구현한다. Phase 1 완료 전에는 Assets 룰/카드 효과 포팅을 하지 않는다. 원본 DCGO/Assets 파일은 수정하지 않는다. 다른 Goal을 함께 처리하지 않는다. 단위테스트 없이 완료라고 말하지 않는다. 결과 문서 없이 완료라고 말하지 않는다. 완성 기준을 충족하지 않는 자리표시 구현을 완료로 간주하지 않는다.,docs/headless_complete_goal_breakdown_ko.csv | docs/headless_goal_spec_index.csv | docs/goal-specs/G1B-002_matchstate_playerstate.md | docs/headless_goal_execution_prompt.md | src/HeadlessDCGO.Engine/Headless | docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,MatchState/PlayerState,"테스트는 'initial state snapshot 테스트'를 직접 검증해야 한다. 정상 케이스, 실패/예외 케이스, 결정성이 필요한 경우 동일 입력 반복 케이스를 포함한다. 테스트 파일명과 테스트 명령을 결과 문서에 기록한다. Goal 범위 밖 동작을 검증하기 위해 새 구현을 끌어오지 않는다.",docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,"실행 일시, 수정/생성 파일, 참조한 원본 파일, 테스트 명령, 전체/통과/실패/스킵 수, 실패 상세, 테스트하지 못한 항목, 미해결 리스크, 완료 판정을 포함한다.",G1B-001,state 모델 테스트 통과,선행 Goal 확인; 상세 지시서 확인; 작업 범위 준수; 원본 소스 미수정; 산출물 작성; 단위테스트 작성; 단위테스트 실행; 실패 0개; 결과 문서 작성; 완료 기준 'state 모델 테스트 통과' 충족,높음
