port_file	original	port	what_differs
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:4260	added `if (isEvolution)` WhenDigivolving dispatch: double-key guard throwing NotSupportedException plus `StackSkillInfos(timing: EffectTiming.WhenDigivolving)`; AS-IS has no EffectTiming.WhenDigivolving stack (uses CanTriggerWhenDigivolving hashtable gate within OnEnterFieldAnyone members) and no such guard
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:244	extra second ctor overload `(EngineContext, HeadlessPlayerId, int, HeadlessEntityId? causeEffectSourceId, ICardEffect?=null)` added as the id-only carrier for MatchStateMutationSink
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:257	extra field `_causeEffectSourceId` (substrate cause id derived from cardEffect.EffectSourceCard.InstanceId) added
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:321	extra field `_causeEffectSourceId` computed in ctor but never read in AddTrashCardsFromLibraryTop (TrashDeckCards is handed `_cardEffect`, not the id) — dead field
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:444	extra `_faceUp` ctor param/field (substrate face-up recovery, mirrors the SetFace branch of AddSecurityCard)
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:676	extra private `CauseEffectSourceId` property (`_cardEffect?.EffectSourceCard?.InstanceId`) added to derive the substrate cause id
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2629	added `_ = _notShowCards;` no-op discard (suppress unused-field warning), no AS-IS counterpart
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:746	extra field `HeadlessEntityId? _causeEffectSourceId` assigned in both ctors but never read (port comment :813 states the cause stamp is retired and MoveAsync passes Metadata:null)
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:777	extra local `long securityLossBatchId = _context.NextSecurityLossBatchId()` computed but never consumed (MoveAsync passes Metadata:null; port comment :813 says the batch id is retired)
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:987	extra `record.Metadata[CannotBeDeDigivolvedKey] is true` static-stamp OR-branch inside ImmuneFromDeDigivolve; AS-IS Permanent.ImmuneFromDeDigivolve is the live scan only, no static stamp exists in DCGO (grep CannotBeDeDigivolve = 0 hits)
CardController	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:994	extra static helper `NextPromotedSourceId(context,topId)` returning current top's DigivolutionCards[0].InstanceId as the promotion target for the pinned-view walk; no counterpart in DCGO (grep NextPromotedSourceId = 0 hits), AS-IS promotes implicitly via the live object
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:514	IsDigiEggType is a private helper with zero callers anywhere in the port engine tree and no counterpart of this name anywhere in DCGO/Assets/Scripts
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:444	GetOutcomeWatcher registers a DeletionOutcomeWatcher service but has zero callers anywhere in the port engine tree
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:456	OwnerOfInstance is a private helper with zero callers, functionally identical duplicate of OwnerOfId
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:470	OwnerOfId is a private helper with zero callers, functionally identical duplicate of OwnerOfInstance
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:2659	"ReadDp is a private helper reading a ""dp""/""DP"" metadata key with zero callers anywhere in the port engine tree"
CardEffectCommons	ABSENT	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:176	TrashDigivolutionCardsAndProcessAccordingToResult(Permanent,int trashCount,bool isFromTop,...) has a doc comment falsely attributing it to CardEffectCommons.cs:541, which is actually the unrelated List<CardSource>-shaped overload; no AS-IS method of this shape exists under this name
Permanent	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:18	PermanentView sealed class (read-only view over DigivolutionStack exposing DigivolutionCards/IsEmpty/TopInstanceId) has no counterpart anywhere in the original tree.
Permanent	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:96	Permanent value-equality suite (Equals/GetHashCode/operator==/operator!=) keyed on InstanceId plus _context is invented; the original Permanent defines none and relies on reference identity of the persistent Unity object.
Permanent	ABSENT	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:86	SnapshotZone (D-2 pre-removal field-zone snapshot consumed by OnLeaveFieldAnyone gates) is a headless-invented member and ctor param; no SnapshotZone/ChoiceZone snapshot concept exists in the original tree.
Permanent	Permanent.cs:1822	Permanent.cs:2847	Strike_AllowMinus seed changes from literal `int Strike = 1` to `ReadSubstrateStrikeSeed()`; AS-IS has NO randomizer/RNG anywhere in Strike (deterministic effect fold), so this is not an RNG substrate swap
Permanent	ABSENT	Permanent.cs:2983	"ReadSubstrateStrikeSeed private helper has no AS-IS counterpart; reads a ""strike"" metadata key attributed to SecurityResolver.StrikeKey, but no SecurityResolver class/StrikeKey and no ""strike"" metadata writer exist in DCGO/Assets/Scripts or src (defaults to 1 = AS-IS constant, so behaviour-identical in production)"
