Goal ID,단계,영역,목표,작업 범위,산출물,단위테스트 범위,상세 지시서,결과 문서,선행 Goal,완료 기준,우선순위
G0-001,Phase 0 - 설계/테스트 정책 확정,설계,설계 산출물 확정,핵심 설계 문서와 CSV 확정,아키텍처 설계 문서; 모듈 CSV; 의존성 CSV; 포팅 순서 문서,문서 존재와 CSV 파싱,docs/goal-specs/G0-001_설계_산출물_확정.md,docs/test-results/goals/G0-001_design_artifacts_unit_test_results.md,없음,문서와 CSV가 검증됨,높음
G0-002,Phase 0 - 설계/테스트 정책 확정,테스트,테스트 정책 확정,단위테스트 정책과 매트릭스 확정,단위테스트 계획서; 단위테스트 매트릭스,테스트 계획 문서와 매트릭스 파싱,docs/goal-specs/G0-002_테스트_정책_확정.md,docs/test-results/goals/G0-002_test_policy_unit_test_results.md,G0-001,테스트 정책 문서가 검증됨,높음
G0-003,Phase 0 - 설계/테스트 정책 확정,단계 완료 게이트,Phase 1 착수 게이트 검증,Unity 대체 기반 선행 조건 확인,Phase 0 검증 결과 문서,Phase 1 선행 조건과 후속 포팅 금지 확인,docs/goal-specs/G0-003_phase_1_착수_게이트_검증.md,docs/test-results/goals/G0-003_phase1_gate_unit_test_results.md,G0-002,Phase 1 착수 가능 판정,높음
G1A-001,Phase 1 - Unity 대체 기반 구현,런타임,Runtime DTO 모델 고정,MatchConfig StepResult MatchResult GameEvent 계약 고정,런타임 모델 파일,DTO 생성과 기본 불변성 테스트,docs/goal-specs/G1A-001_runtime_dto_모델_고정.md,docs/test-results/goals/G1A-001_runtime_models_unit_test_results.md,G0-003,Runtime DTO 테스트 통과,높음
G1A-002,Phase 1 - Unity 대체 기반 구현,런타임,Match lifecycle 계약,Initialize Reset Step Result 계약 고정,DcgoMatch 생명주기 API,lifecycle 호출 순서와 상태 전이 테스트,docs/goal-specs/G1A-002_match_lifecycle_계약.md,docs/test-results/goals/G1A-002_match_lifecycle_unit_test_results.md,G1A-001,lifecycle 테스트 통과,높음
G1A-003,Phase 1 - Unity 대체 기반 구현,런타임,Action 입력 결과 계약,action payload와 처리 결과 계약 고정,HeadlessAction/ActionProcessResult/IllegalAction 모델,legal illegal action 결과 테스트,docs/goal-specs/G1A-003_action_입력_결과_계약.md,docs/test-results/goals/G1A-003_action_contract_unit_test_results.md,G1A-001,action 계약 테스트 통과,높음
G1A-004,Phase 1 - Unity 대체 기반 구현,런타임,Observation LegalAction 계약,observe와 legal action 반환 계약 고정,ObservationSnapshot/LegalAction/ActionMask 계약,empty state observation과 legal action 계약 테스트,docs/goal-specs/G1A-004_observation_legalaction_계약.md,docs/test-results/goals/G1A-004_observation_legal_action_unit_test_results.md,G1A-001,observation legal action 테스트 통과,높음
G1A-005,Phase 1 - Unity 대체 기반 구현,런타임,Runtime aggregate 결과 문서,Runtime 계약 Goal 결과 집계,런타임 테스트 요약,Runtime Goal 결과 문서 링크 검증,docs/goal-specs/G1A-005_runtime_aggregate_결과_문서.md,docs/test-results/goals/G1A-005_runtime_aggregate_unit_test_results.md,G1A-002; G1A-003; G1A-004,Runtime 영역 완료,높음
G1B-001,Phase 1 - Unity 대체 기반 구현,상태/존,Stable ID와 entity registry,player card definition card instance id 기준 확정,HeadlessPlayerId/HeadlessEntityId 등록 구조,id equality serialization uniqueness 테스트,docs/goal-specs/G1B-001_stable_id와_entity_registry.md,docs/test-results/goals/G1B-001_stable_ids_unit_test_results.md,G1A-001,stable id 테스트 통과,높음
G1B-002,Phase 1 - Unity 대체 기반 구현,상태/존,MatchState PlayerState,양 플레이어와 전역 상태 모델 확정,MatchState/PlayerState,initial state snapshot 테스트,docs/goal-specs/G1B-002_matchstate_playerstate.md,docs/test-results/goals/G1B-002_match_player_state_unit_test_results.md,G1B-001,state 모델 테스트 통과,높음
G1B-003,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneState,ordered hidden visible zone 모델 확정,ZoneState/ZoneId/Visibility 모델,deck hand security source order 테스트,docs/goal-specs/G1B-003_zonestate.md,docs/test-results/goals/G1B-003_zone_state_unit_test_results.md,G1B-002,zone state 테스트 통과,높음
G1B-004,Phase 1 - Unity 대체 기반 구현,상태/존,CardInstanceState,카드 인스턴스 mutable state 확정,카드 인스턴스 상태,suspend face-up source 수치/비용 변경 flag 테스트,docs/goal-specs/G1B-004_cardinstancestate.md,docs/test-results/goals/G1B-004_card_instance_state_unit_test_results.md,G1B-003,card instance state 테스트 통과,높음
G1B-005,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneMover,카드 이동 mutation boundary 확정,IZoneMover/ZoneMoveRequest/CardMoved 이벤트,move insert remove shuffle 이벤트 테스트,docs/goal-specs/G1B-005_zonemover.md,docs/test-results/goals/G1B-005_zone_mover_unit_test_results.md,G1B-003; G1B-004,zone mover 테스트 통과,높음
G1B-006,Phase 1 - Unity 대체 기반 구현,상태/존,State snapshot fingerprint,상태 snapshot과 fingerprint 결정성 확정,스냅샷/핑거프린트 서비스,same state same fingerprint 테스트,docs/goal-specs/G1B-006_state_snapshot_fingerprint.md,docs/test-results/goals/G1B-006_state_snapshot_fingerprint_unit_test_results.md,G1B-005,state 결정성 테스트 통과,높음
