분류,기존_의존성_함수명,기존_위치,현재_포팅_함수명,현재_위치,상태,상태_설명,한글_설명,원문_메모
런타임/생명주기,GManager.Init,DCGO/Assets/Scripts/Script/GManager.cs,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Top-level match initialization entry point.
런타임/생명주기,TurnStateMachine.Init,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,IHeadlessTurnController.Initialize(...) / InMemoryHeadlessTurnController.Initialize(...),"src/HeadlessDCGO.Engine/Headless/Runtime/IHeadlessTurnController.cs:10, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:12",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Initializes turn order and phase state without Unity lifecycle.
런타임/생명주기,GameStateMachine loop,DCGO/Assets/Scripts/Script/TurnStateMachine.cs,DcgoMatch.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:103,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Public one-step match progression API.
런타임/생명주기,Update / frame loop,Unity MonoBehaviour methods,HeadlessGameLoop.StepAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs:39,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Explicit deterministic step replaces frame-driven update.
런타임/생명주기,Reset / match reset callbacks,Unity MonoBehaviour and game scripts,DcgoMatch.ResetAsync(...),src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:81,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Resets match-scoped services and current state.
런타임/생명주기,match-scoped service reset,"GameContext, Player, TurnStateMachine reset flows",EngineContext.ResetMatchState(),src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:174,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Calls resettable Headless services.
런타임/생명주기,"EndGame, SetLose, Surrender","TurnStateMachine.cs, Player.cs",DcgoMatch.GetResult() / MatchResult,"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:264, src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs",CONTRACT,계약 고정: API는 있으나 세부 게임 룰 구현은 이후 Phase에서 확장,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 단, 실제 룰/카드 효과의 완전한 의미 구현은 후속 Phase에서 이어진다.",Result model is fixed; full win/loss rules expand later.
런타임/생명주기,terminal state query,TurnStateMachine.endGame style checks,DcgoMatch.IsTerminal() / IRuleQueryService.IsTerminal(),"src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:252, src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs:10",PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"Unity 생명주기와 기존 매치 진행을 DcgoMatch/HeadlessGameLoop 중심의 명시적 초기화, 리셋, 스텝, 결과 조회로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Terminal query is service-based.
싱글톤/컴포넌트 접근,GManager.instance,DCGO/Assets/Scripts/Script/GManager.cs,EngineContext,src/HeadlessDCGO.Engine/Headless/Bridge/EngineContext.cs:15,PORTED,구현됨: 현재 Headless 함수/API가 실제로 존재함,"GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 현재 바로 사용할 수 있는 매핑이다.",Root injected dependency container.
싱글톤/컴포넌트 접근,GManager.instance.turnStateMachine,"GManager.cs, TurnStateMachine.cs",GManagerBridge.GetTurnStateMachine(),src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs:30,BRIDGE,"임시 브리지: 기존 구조를 옮기기 위한 연결부, 새 코드는 직접 서비스 사용 권장","GManager.instance, ContinuousController.instance, GetComponent 같은 전역/씬 접근을 EngineContext와 명시적 서비스 접근으로 바꾼다. 임시 호환용이므로 장기적으로는 직접 Headless 서비스로 옮기는 것이 좋다.",Temporary compatibility accessor. Prefer EngineContext.TurnController.
